           benchmark         aten time(%)         aten callees      aten per second        model time(s)   real model time(s)
     resnext50_32x4d               95.268%                8.797            18226.323                9.514                9.251
pytorch_mobilenet_v3               96.779%                5.977            16148.791               11.363               10.372
            resnet18               98.446%                4.761             4070.471               10.048                9.100
attention_is_all_you               90.042%                4.433            13312.217               22.446               19.624
     LearningToPaint               85.308%                5.333            17993.593                0.845                0.732
              demucs               99.166%               66.366            13340.870               35.852               34.382
     pytorch_stargan               99.066%               29.571             4629.316               36.982               36.402
       squeezenet1_1               94.159%               11.618            42634.091                2.012                1.879
                dlrm               51.337%                2.935           256918.137                0.047                0.023
        mobilenet_v2               84.433%                9.877            75380.522                2.237                1.960
         densenet121               89.379%               12.614            72154.461                8.170                7.172
             fastNLP               73.701%               14.600           319346.633                0.024                0.012
      pytorch_struct               83.989%                5.098           109553.034                0.228                0.171
               vgg16               98.406%                3.571             3740.891                5.132                5.084
  shufflenet_v2_x1_0               84.545%               10.344           129044.059                2.171                1.652
             alexnet               94.101%                3.500            13742.840                0.786                0.769
        BERT_pytorch               98.667%                3.505             6831.477               41.938               35.776
              yolov3               93.657%                0.917            11008.547               55.339               53.943
          mnasnet1_0               85.509%                9.935            79146.000                2.128                1.880
            resnet50               96.163%                8.797            15205.032               11.404               11.334

