           benchmark         aten time(%)         aten callees      aten per second        model time(s)   real model time(s)
attention_is_all_you               99.059%                4.433             1262.865              236.605              225.475
                dlrm               51.851%                2.935           331937.247                0.037                0.017
            resnet50               96.483%                8.797            19612.784                8.841                8.501
             fastNLP               72.264%               14.600           415535.996                0.019                0.009
             alexnet               98.992%                3.500             3725.220                2.899                2.883
     pytorch_stargan               99.838%               29.464              700.296              243.611              243.353
        mobilenet_v2               87.057%                9.877            85138.662                1.980                1.713
  shufflenet_v2_x1_0               86.236%               10.077           156729.837                1.746                1.298
      pytorch_struct               90.569%                5.098            88426.743                0.283                0.238
          mnasnet1_0               87.724%                9.935            90892.590                1.853                1.564
              yolov3               96.359%                0.909             6370.737               95.248               95.190
     LearningToPaint               98.219%                5.333             2384.571                6.374                6.238
       squeezenet1_1               95.467%               11.265            45422.257                1.836                1.690
        BERT_pytorch               96.567%                3.505            20742.961               13.812               11.050
            resnet18               97.086%                4.761             9915.621                4.125                4.037
               vgg16               99.658%                3.571              743.712               25.816               25.682
         densenet121               91.600%                8.582            53790.557                7.713                6.998
pytorch_mobilenet_v3               76.402%                5.977           164747.578                1.114                0.822
     resnext50_32x4d               96.326%                8.797            19051.189                9.102                8.739
              demucs               99.382%               70.592            12641.612               40.208               39.505
