kList(2),            Time(us),                Time%,   Calls (Top 214, sorted by calls)
-------------------------------------------------------------
('aten::empty_strided', 'aten::copy_'), 143275.89100000635, 4.992124076477959%, 1387
('aten::to', 'aten::empty_strided'), 10480.33900000116, 0.3651636872497579%, 1177
('aten::transpose', 'aten::as_strided'), 2942.2899999981223, 0.10251743434609181%, 540
('aten::empty_like', 'aten::empty_strided'), 3564.4200000002966, 0.12419414582932348%, 422
('aten::copy_', 'aten::empty'), 1866.2429999990673, 0.06502501256721123%, 403
('aten::zeros_like', 'aten::empty_like'), 322634.4660000015, 11.241467593596367%, 398
('aten::empty_strided', 'aten::zero_'), 313158.80399999896, 10.911309602041614%, 397
('aten::mul_', 'aten::to'), 67368.06299999892, 2.347287648610495%, 396
('aten::t', 'aten::transpose'), 4889.712000000431, 0.17037094539683761%, 370
('aten::mul', 'aten::empty'), 17803.79499999872, 0.6203329328600551%, 290
('aten::zero_', 'aten::zeros_like'), 162650.46299999906, 5.667187178005731%, 251
('aten::div', 'aten::to'), 143031.3790000023, 4.983604609359739%, 246
('aten::empty', 'aten::div'), 140896.40100000188, 4.909216134075002%, 246
('aten::reshape', 'aten::view'), 2150.3409999996356, 0.0749237642412246%, 223
('aten::mm', 'aten::empty'), 491684.2399999996, 17.131624276750482%, 221
('aten::sum', 'aten::empty'), 7441.6519999983375, 0.25928751766031877%, 218
('aten::empty', 'aten::fill_'), 670.3439999996513, 0.02335661916714691%, 218
('aten::new_empty_strided', 'aten::empty_strided'), 1944.5970000001253, 0.06775508032085456%, 198
('aten::add', 'aten::mul_'), 194138.92899999768, 6.764331492745631%, 198
('aten::copy_', 'aten::add_'), 47358.749000003096, 1.65010839901028%, 198
('aten::add_', 'aten::mul_'), 78364.66599999927, 2.7304393862309513%, 198
('aten::copy_', 'aten::addcmul_'), 47846.59000000474, 1.6671061142895465%, 198
('aten::addcmul_', 'aten::addcmul'), 93446.82899999944, 3.255943213233239%, 198
('aten::addcmul', 'aten::sqrt'), 181043.57999999775, 6.308053701859108%, 198
('aten::sqrt', 'aten::empty'), 135468.90700000152, 4.720107392309506%, 198
('aten::empty', 'aten::add_'), 21316.080999999773, 0.7427105874794281%, 198
('aten::add_', 'aten::to'), 22304.41900000116, 0.7771469877074663%, 198
('aten::copy_', 'aten::addcdiv_'), 138221.39900000487, 4.816011745007121%, 198
('aten::addcdiv_', 'aten::addcdiv'), 274433.9470000027, 9.562029624520212%, 197
('aten::addcdiv', 'aten::add'), 298074.922, 10.38574588037581%, 197
('aten::as_strided', 'aten::conj'), 351.83899999951245, 0.012259033468103971%, 196
('aten::conj', 'aten::mul'), 10929.111000001081, 0.3808001316676724%, 181
('aten::empty_like', 'aten::empty'), 1337.3529999998752, 0.04659703780902754%, 172
('aten::empty', 'aten::add'), 11984.094999999872, 0.41755866089358906%, 168
('aten::mul', 'aten::to'), 16878.979000000487, 0.5881098129221514%, 156
('aten::conj', 'aten::mm'), 304175.1189999995, 10.598293435323171%, 148
('aten::_unsafe_view', 'aten::view'), 1553.0740000001233, 0.054113347708667894%, 145
('aten::zero_', 'aten::fill_'), 623092.4760000004, 21.710246780539848%, 144
('aten::fill_', 'aten::zeros_like'), 469563.8390000004, 16.360888979676407%, 144
('aten::fill_', 'aten::view'), 726.9749999993364, 0.025329798161883986%, 122
('aten::div', 'aten::empty'), 3215.8879999997475, 0.11205033728985553%, 120
('aten::empty', 'aten::copy_'), 3388.0119999995304, 0.11804760841859395%, 110
('aten::div_', 'aten::to'), 3248.4490000003843, 0.11318485162386425%, 109
('aten::empty', 'aten::resize_'), 212.6999999995976, 0.0074110499935038324%, 100
('aten::expand', 'aten::as_strided'), 1419.7069999997289, 0.049466476507499954%, 99
('aten::as_strided', 'aten::t'), 1459.516999999937, 0.0508535658363363%, 98
('aten::empty', 'aten::conj'), 208.0400000005029, 0.007248682842760608%, 96
('aten::empty', 'aten::t'), 1263.582999999664, 0.04402668915823592%, 88
('aten::as_strided', 'aten::matmul'), 190971.47799999992, 6.653968833070024%, 85
('aten::empty', 'aten::eq'), 1794.758999999986, 0.06253431441145277%, 74
('aten::copy_', 'aten::mul'), 7900.870000000118, 0.27528792930082874%, 73
('aten::matmul', 'aten::view'), 189055.27199999985, 6.587202972873131%, 73
('aten::view', 'aten::mm'), 187277.56400000004, 6.525262761956934%, 73
('aten::empty', 'aten::_unsafe_view'), 975.9750000000449, 0.034005639480131265%, 73
('aten::view', 'aten::add_'), 1612.9569999999076, 0.05619983528158858%, 73
('aten::empty', 'aten::mul'), 2080.0469999998772, 0.0724745289415417%, 72
('aten::bmm', 'aten::empty'), 3372.7939999996006, 0.1175173716588345%, 72
('aten::empty', 'aten::sum'), 961.7289999995264, 0.03350926985995497%, 72
('aten::select', 'aten::as_strided'), 227.72500000065406, 0.007934562105212508%, 70
('aten::dropout', 'aten::empty_like'), 16796.195999999956, 0.5852254266898179%, 61
('aten::empty', 'aten::bernoulli_'), 9350.066999999697, 0.3257819180993853%, 61
('aten::bernoulli_', 'aten::empty'), 9276.35299999998, 0.32321352064183906%, 61
('aten::empty', 'aten::div_'), 1862.6650000000366, 0.06490034525705785%, 61
('aten::clone', 'aten::empty_like'), 2322.6830000005166, 0.08092863108649674%, 60
('aten::contiguous', 'aten::empty_like'), 2427.507999999899, 0.08458102091050207%, 50
('aten::as_strided', 'aten::contiguous'), 2208.5049999999046, 0.07695035715060386%, 49
('aten::copy_', 'aten::view'), 1962.2280000001429, 0.06836939260311053%, 49
('aten::mean', 'aten::sum'), 2643.3249999998848, 0.09210067571281019%, 48
('aten::fill_', 'aten::div_'), 742.4790000001519, 0.025869999944232575%, 48
('aten::sub', 'aten::empty'), 1725.799999999937, 0.060131594164610454%, 48
('aten::view', 'aten::transpose'), 594.3990000000376, 0.020710487565102482%, 48
('aten::neg', 'aten::empty'), 1438.4550000005402, 0.05011970812613882%, 48
('aten::empty', 'aten::neg'), 1122.6660000004922, 0.03911675529866649%, 48
('aten::neg', 'aten::resize_'), 1164.6720000002533, 0.04058035927622145%, 48
('aten::resize_', 'aten::mul'), 1448.5150000001304, 0.050470226052475226%, 48
('aten::reshape', 'aten::clone'), 4145.863000000536, 0.14445321090399568%, 48
('aten::copy_', 'aten::_unsafe_view'), 1601.8339999997988, 0.05581227952663464%, 48
('aten::conj', 'aten::bmm'), 2345.064000000013, 0.0817084463657689%, 48
('aten::eq', 'aten::empty'), 1065.1470000000504, 0.03711263595414167%, 38
('aten::add', 'aten::to'), 3638.4680000000576, 0.12677418076076793%, 36
('aten::add_', 'aten::view'), 726.5869999999941, 0.02531627918025441%, 36
('aten::eq', 'aten::item'), 851.5619999998362, 0.029670750139063642%, 36
('aten::item', 'aten::_local_scalar_dense'), 179.4790000000794, 0.0062535394536303674%, 36
('aten::_local_scalar_dense', 'aten::to'), 266.95900000013717, 0.00930158201796215%, 36
