kList(1),            Time(us),                Time%,   Calls (Top 81, sorted by time)
-------------------------------------------------------------
('aten::mm',), 490950.8439999995, 17.106070753379317%, 221
('aten::zeros_like',), 320582.9510000005, 11.169987197604552%, 398
('aten::zero_',), 311946.52499999956, 10.869070484622302%, 406
('aten::fill_',), 311872.3420000002, 10.866485745921482%, 363
('aten::matmul',), 192648.66399999987, 6.712406582456146%, 97
('aten::add',), 174479.418999999, 6.079340371645235%, 418
('aten::div',), 144356.25400000095, 5.029766879506199%, 366
('aten::copy_',), 144187.54300000903, 5.023888526636446%, 1501
('aten::addcdiv_',), 137795.434000002, 4.801169958874022%, 198
('aten::addcdiv',), 136644.3160000008, 4.761061858044465%, 197
('aten::sqrt',), 134863.3180000002, 4.6990070145260825%, 198
('aten::add_',), 69088.04499999952, 2.4072165277358137%, 501
('aten::mul_',), 64228.67199999816, 2.2379026761130545%, 396
('aten::addcmul_',), 47266.5670000019, 1.6468965259002126%, 198
('aten::addcmul',), 46180.26199999754, 1.6090466873330256%, 198
('aten::mul',), 32900.84700000008, 1.14635553336193%, 446
('aten::dropout',), 16427.182999999917, 0.5723680040698917%, 61
('aten::bernoulli_',), 9156.571999999855, 0.31904002285493505%, 61
('aten::to',), 8984.17800000417, 0.3130333441875607%, 1274
('aten::sum',), 7210.398999999013, 0.25123003038177627%, 218
('aten::std',), 5823.806000000021, 0.20291733624141697%, 24
('aten::pow',), 4578.22100000022, 0.15951774664962354%, 24
('aten::empty',), 3999.683999998837, 0.13935993456636034%, 1981
('aten::tanh',), 3749.476000000024, 0.13064200322282807%, 12
('aten::t',), 3673.35900000003, 0.12798987867014092%, 370
('aten::reshape',), 3641.0140000006295, 0.1268628903671983%, 271
('aten::empty_strided',), 3611.110999996533, 0.12582098802593583%, 1809
('aten::bmm',), 3320.7919999998994, 0.11570547969004888%, 72
('aten::empty_like',), 3145.186000001548, 0.1095868861538501%, 594
('aten::neg',), 2498.237000000372, 0.0870454128004646%, 96
('aten::view',), 2454.9079999989685, 0.08553571188283632%, 665
('aten::div_',), 2395.877000000068, 0.08347891032120394%, 109
('aten::transpose',), 2374.6209999997664, 0.0827382931201487%, 540
('aten::clone',), 2229.4080000001895, 0.07767867486577365%, 72
('aten::contiguous',), 2178.7369999998955, 0.07591315857887322%, 50
('aten::mean',), 1852.0550000000144, 0.06453066382578662%, 48
('aten::eq',), 1775.5900000001284, 0.061866414000899476%, 76
('aten::sub',), 1612.1699999999855, 0.056172414048187916%, 48
('aten::tanh_backward',), 1516.387000000046, 0.0528350722450442%, 12
('aten::new_empty_strided',), 1295.540999999852, 0.04514019332228968%, 198
('aten::_unsafe_view',), 1169.4979999999177, 0.040748510321196675%, 145
('aten::softmax',), 1164.964, 0.04059053335518821%, 12
('aten::_softmax',), 1116.6789999999728, 0.03890815183691265%, 12
('aten::as_strided',), 1060.6729999984955, 0.036956749552249236%, 718
('aten::expand',), 989.4080000000906, 0.034473681955746044%, 99
('aten::_softmax_backward_data',), 676.2349999998114, 0.023561877726211322%, 12
('aten::masked_fill',), 624.2009999999846, 0.021748870789862356%, 12
('aten::masked_fill_',), 546.1710000000238, 0.0190300920827918%, 50
('aten::embedding',), 438.53599999999983, 0.015279794169992216%, 2
('aten::conj',), 411.9600000009523, 0.014353813612302172%, 437
('aten::embedding_backward',), 303.89100000006147, 0.010588393951953877%, 2
('aten::embedding_dense_backward',), 288.10900000005495, 0.01003850588896494%, 2
('aten::resize_',), 260.8379999999463, 0.009088309629566582%, 191
('aten::index_select',), 223.74199999999996, 0.007795783486834374%, 2
('aten::select',), 180.13800000013725, 0.006276500816799888%, 70
('aten::item',), 136.7349999998678, 0.0047642215367310016%, 36
('aten::gt',), 129.379, 0.004507918369117754%, 2
('aten::result_type',), 92.58699999969758, 0.0032259844181833394%, 48
('aten::repeat',), 91.56900000000002, 0.0031905145127241958%, 1
('aten::nll_loss2d_backward',), 58.65499999996973, 0.002043700692851741%, 1
('aten::zeros',), 58.58000000013271, 0.002041087487641088%, 6
('aten::log_softmax',), 55.31200000003446, 0.0019272214256780202%, 2
('aten::_log_softmax',), 44.571999999985565, 0.001553010438697559%, 2
('aten::_local_scalar_dense',), 42.7440000002116, 0.0014893179168993667%, 36
('aten::nll_loss',), 42.17199999996228, 0.0014693878717741203%, 1
('aten::_log_softmax_backward_data',), 40.95600000000559, 0.0014270191045348312%, 2
('aten::slice',), 37.13499999996884, 0.0012938850094454846%, 4
('aten::addmm',), 31.539999999979045, 0.001098939900307465%, 1
('aten::slice_backward',), 31.515999999945052, 0.0010981036746370544%, 1
('aten::select_backward',), 29.8410000000149, 0.0010397420914747377%, 1
('aten::nll_loss2d',), 26.85899999999674, 0.0009358410520727403%, 1
('aten::unsqueeze',), 23.769999999999953, 0.0008282118398961874%, 2
('aten::nll_loss_forward',), 23.566999999980908, 0.0008211387644433181%, 1
('aten::nll_loss2d_forward',), 17.540999999968335, 0.0006111764359946497%, 1
('aten::unfold',), 17.204000000000065, 0.0005994344338903697%, 3
('aten::nll_loss_backward',), 16.92300000000978, 0.0005896436250135172%, 1
('aten::can_cast',), 12.74499999966065, 0.00044407067308354536%, 24
('aten::ones_like',), 11.262999999977183, 0.00039243373801985186%, 1
('aten::resize_as_',), 5.056999999971595, 0.00017619971705222975%, 2
('aten::expand_as',), 4.309999999999945, 0.0001501721930985498%, 1
('aten::alias',), 2.9329999999999927, 0.00010219374532669399%, 1
Total time: 2870038.6609999947us
