kList(4),            Time(us),                Time%,   Calls (Top 364, sorted by time)
-------------------------------------------------------------
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 782112.1220000021, 27.250926359559706%, 144
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 782055.7690000002, 27.248962866845567%, 144
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 635782.9450000005, 22.152417444386536%, 397
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 625063.7990000003, 21.778933067828852%, 144
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 470995.4880000008, 16.41077154813984%, 144
('aten::addcdiv_', 'aten::addcdiv', 'aten::add', 'aten::mul_'), 468505.73200000054, 16.324021636585243%, 197
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::add'), 436289.14900000487, 15.201507733278778%, 197
('aten::matmul', 'aten::view', 'aten::mm', 'aten::empty'), 376196.88299999986, 13.10772876031305%, 73
('aten::as_strided', 'aten::matmul', 'aten::view', 'aten::mm'), 376067.9669999999, 13.103236974130802%, 73
('aten::addcdiv', 'aten::add', 'aten::mul_', 'aten::to'), 332433.5020000001, 11.582892820132667%, 197
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 321263.456, 11.193697853814403%, 198
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 304814.14699999895, 10.620558919362916%, 148
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 304691.5489999994, 10.616287269588108%, 148
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 276457.8390000039, 9.63254755960949%, 198
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 275190.5540000063, 9.588391882641849%, 197
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 228915.73600000096, 7.976050605542745%, 198
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 228890.1700000025, 7.975159816148654%, 198
('aten::add', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 196259.55299999937, 6.838219835394745%, 198
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::matmul'), 190612.57700000014, 6.641463740198741%, 73
('aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::view'), 189422.75199999995, 6.600006981578438%, 73
('aten::view', 'aten::mm', 'aten::empty', 'aten::_unsafe_view'), 188253.53900000008, 6.559268401437064%, 73
('aten::mm', 'aten::empty', 'aten::_unsafe_view', 'aten::view'), 188194.30899999998, 6.5572046661708825%, 73
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 166940.8459999989, 5.8166758611478935%, 75
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 166723.05199999938, 5.809087322256098%, 75
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 164448.74199999892, 5.729844138848666%, 251
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 164162.3399999988, 5.719865109510422%, 251
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 163911.8149999996, 5.711136133019496%, 251
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 143964.2619999997, 5.016108805650683%, 246
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 141878.54500000132, 4.943436718394839%, 198
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 139941.83400000678, 4.875956407891993%, 198
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 94206.19000000157, 3.2824014282503686%, 198
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 80313.97800000198, 2.7983587500531626%, 198
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 79949.8629999978, 2.785671987155087%, 198
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 79295.21100000292, 2.762862120204835%, 198
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 69057.9690000047, 2.406168597601509%, 396
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 49479.373000004794, 1.7239967416593935%, 198
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 49431.78700000327, 1.722338715213682%, 198
('aten::dropout', 'aten::empty_like', 'aten::empty', 'aten::bernoulli_'), 26146.262999999657, 0.9110073447892034%, 61
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 23176.92400000128, 0.8075474492711484%, 198
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 23063.03400000464, 0.8035792100434248%, 198
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 23036.51600000169, 0.8026552503642993%, 198
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 22073.162999997614, 0.7690893959005681%, 198
('aten::mul', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 17503.643999999877, 0.609874850741598%, 156
('aten::mul', 'aten::empty', 'aten::dropout', 'aten::empty_like'), 13869.188000000002, 0.4832404590385421%, 12
('aten::copy_', 'aten::mul', 'aten::empty', 'aten::dropout'), 13797.476000000035, 0.48074181673889516%, 12
('aten::empty', 'aten::dropout', 'aten::empty_like', 'aten::empty'), 11690.503999999943, 0.4073291471246827%, 24
('aten::bernoulli_', 'aten::empty', 'aten::div_', 'aten::to'), 11559.026999999955, 0.40274812869498056%, 61
('aten::empty', 'aten::bernoulli_', 'aten::empty', 'aten::div_'), 11212.731999999734, 0.3906822633564432%, 61
('aten::empty_like', 'aten::empty', 'aten::bernoulli_', 'aten::empty'), 9838.86099999986, 0.34281283850621547%, 61
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::mul'), 8625.01900000005, 0.3005192618901821%, 73
('aten::empty_strided', 'aten::copy_', 'aten::mul', 'aten::empty'), 8195.634999999962, 0.28555834844205175%, 73
('aten::std', 'aten::empty', 'aten::resize_', 'aten::sub'), 6944.9259999999995, 0.2419802246698729%, 24
('aten::tanh', 'aten::empty', 'aten::add', 'aten::to'), 6845.248000000109, 0.2385071704091627%, 12
('aten::empty', 'aten::tanh', 'aten::empty', 'aten::add'), 6813.010000000097, 0.23738391027897407%, 12
('aten::empty', 'aten::add', 'aten::mul', 'aten::to'), 6740.0559999999605, 0.23484199330093877%, 12
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::view'), 6712.5259999980335, 0.23388277277279668%, 122
('aten::add', 'aten::mul', 'aten::to', 'aten::empty_strided'), 6692.90799999993, 0.2331992279737427%, 12
('aten::copy_', 'aten::empty', 'aten::add', 'aten::mul'), 6670.778999999922, 0.23242819306397958%, 12
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::std'), 6108.729000000005, 0.21284483317278968%, 24
('aten::copy_', 'aten::std', 'aten::empty', 'aten::resize_'), 5939.045000000009, 0.20693257832041517%, 24
('aten::empty_strided', 'aten::copy_', 'aten::std', 'aten::empty'), 5933.872000000034, 0.20675233684596156%, 24
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 5343.675999998629, 0.18618829330113468%, 402
('aten::pow', 'aten::result_type', 'aten::empty_like', 'aten::empty_strided'), 4910.6870000000745, 0.17110177178899277%, 24
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add'), 4893.490999999987, 0.1705026160969891%, 48
('aten::to', 'aten::mul', 'aten::to', 'aten::empty_strided'), 4636.748999999476, 0.16155702231495078%, 24
('aten::can_cast', 'aten::to', 'aten::mul', 'aten::to'), 4627.218999999095, 0.16122497103878225%, 24
('aten::reshape', 'aten::clone', 'aten::empty_like', 'aten::empty'), 4495.347000000707, 0.1566301897283298%, 48
('aten::result_type', 'aten::can_cast', 'aten::to', 'aten::mul'), 4469.203999999168, 0.15571929607533522%, 24
('aten::add_', 'aten::dropout', 'aten::empty_like', 'aten::empty'), 4317.765999999992, 0.15044278178801856%, 24
('aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 4309.975999999774, 0.1501713568728746%, 50
('aten::_unsafe_view', 'aten::view', 'aten::add_', 'aten::dropout'), 4291.109999999948, 0.1495140138113964%, 24
('aten::view', 'aten::add_', 'aten::dropout', 'aten::empty_like'), 4272.68699999996, 0.14887210608205698%, 24
('aten::copy_', 'aten::empty', 'aten::tanh', 'aten::empty'), 3905.438000000111, 0.1360761460488256%, 12
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::tanh'), 3865.6490000000013, 0.13468978841745324%, 12
('aten::mul', 'aten::empty', 'aten::conj', 'aten::mul'), 3834.859999999928, 0.13361701541204205%, 36
('aten::clone', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 3828.2270000001718, 0.13338590354271812%, 60
('aten::add', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 3786.331000000062, 0.13192613226613498%, 36
('aten::empty', 'aten::add', 'aten::to', 'aten::empty_strided'), 3784.9900000001035, 0.13187940815686838%, 36
('aten::conj', 'aten::mul', 'aten::to', 'aten::empty_strided'), 3757.1460000007064, 0.13090924700964204%, 36
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 3688.1990000000533, 0.1285069448756133%, 109
('aten::view', 'aten::add_', 'aten::mul', 'aten::to'), 3686.017000000016, 0.12843091802518486%, 12
('aten::add_', 'aten::mul', 'aten::to', 'aten::empty_strided'), 3680.9200000000237, 0.1282533245986832%, 12
('aten::_unsafe_view', 'aten::view', 'aten::add_', 'aten::mul'), 3665.420000000049, 0.12771326218730877%, 12
('aten::mul', 'aten::empty', 'aten::t', 'aten::transpose'), 3505.1520000000055, 0.12212908653915905%, 12
('aten::copy_', 'aten::mul', 'aten::empty', 'aten::t'), 3491.610000000095, 0.12165724620530126%, 12
('aten::empty', 'aten::pow', 'aten::result_type', 'aten::empty_like'), 3457.5429999999888, 0.12047025871056707%, 12
('aten::copy_', 'aten::empty', 'aten::pow', 'aten::result_type'), 3406.994999999939, 0.11870902808022994%, 12
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::pow'), 3400.906000000032, 0.11849687065940322%, 12
