kList(2),            Time(us),                Time%,   Calls (Top 99, sorted by calls)
-------------------------------------------------------------
('aten::empty_strided', 'aten::copy_'), 14682.710999999894, 2.2092320193020485%, 103
('aten::to', 'aten::empty_strided'), 538.3879999998608, 0.08100847373538117%, 83
('aten::empty_like', 'aten::empty_strided'), 245.5959999999468, 0.03695356715884364%, 41
('aten::zeros_like', 'aten::empty_like'), 18957.038999999902, 2.852368173013674%, 41
('aten::empty_strided', 'aten::zero_'), 17156.981000000116, 2.581522702432637%, 40
('aten::mul_', 'aten::to'), 8197.826000000176, 1.2334847214432916%, 40
('aten::zero_', 'aten::zeros_like'), 5224.019000000058, 0.7860312747586246%, 33
('aten::empty', 'aten::as_strided_'), 179.03100000006089, 0.026937873914960418%, 24
('aten::copy_', 'aten::empty'), 85.75600000002305, 0.012903264325458613%, 22
('aten::new_empty_strided', 'aten::empty_strided'), 152.05299999999988, 0.02287863298752775%, 20
('aten::copy_', 'aten::add_'), 6887.862000000052, 1.0363811747662997%, 20
('aten::add_', 'aten::mul_'), 10873.630000000208, 1.6360991891786174%, 20
('aten::copy_', 'aten::addcmul_'), 7079.129999999743, 1.065160287143243%, 20
('aten::addcmul_', 'aten::addcmul'), 14010.590000000026, 2.1081014287697526%, 20
('aten::addcmul', 'aten::sqrt'), 49848.888999999996, 7.50050598322302%, 20
('aten::sqrt', 'aten::empty'), 42927.05500000005, 6.459013216315494%, 20
('aten::empty', 'aten::div'), 15084.029000000097, 2.269616275010869%, 20
('aten::div', 'aten::to'), 15147.682999999757, 2.279193965054343%, 20
('aten::empty', 'aten::add_'), 3700.173000000039, 0.5567460034156542%, 20
('aten::add_', 'aten::to'), 3769.278000000195, 0.5671438773977964%, 20
('aten::copy_', 'aten::addcdiv_'), 9785.475999999995, 1.4723702525583917%, 20
('aten::t', 'aten::transpose'), 296.7850000000888, 0.04465571275282605%, 19
('aten::transpose', 'aten::as_strided'), 119.23500000008649, 0.017940677291930128%, 19
('aten::addcdiv_', 'aten::addcdiv'), 19290.34599999973, 2.9025191632944964%, 19
('aten::addcdiv', 'aten::mul_'), 13471.571999999927, 2.026998162174069%, 19
('aten::empty', 'aten::t'), 143.46700000006462, 0.021586741720473285%, 10
('aten::reshape', 'aten::view'), 154.5060000000085, 0.023247723283139166%, 8
('aten::relu', 'aten::threshold'), 6382.395999999997, 0.9603263050716867%, 7
('aten::threshold', 'aten::empty'), 3178.0749999999925, 0.47818860221%, 7
('aten::empty_like', 'aten::empty'), 87.35800000007293, 0.013144309027287322%, 7
