kList(5),            Time(us),                Time%,   Calls (Top 127, sorted by calls)
-------------------------------------------------------------
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 5682.765000000043, 0.8550564263077296%, 33
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 5517.839999999938, 0.8302410096735928%, 33
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 5448.164999999979, 0.8197573707226673%, 33
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 10348.455000000045, 1.557078807606214%, 33
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 10969.583000000217, 1.6505367436566771%, 20
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 11042.441000000195, 1.661499312249239%, 20
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 11036.923000000184, 1.6606690471651868%, 20
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 11035.26800000007, 1.6604200278258971%, 20
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 11031.324999999953, 1.6598267448924957%, 20
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 11226.53599999976, 1.6891991402028406%, 20
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 14168.28499999977, 2.131828984483631%, 20
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 56942.841999999684, 8.56789661094996%, 20
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 56973.35499999992, 8.572487745148917%, 20
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 71976.33799999999, 10.829909445313463%, 20
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 65041.90799999994, 9.786521423060016%, 20
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 58090.83099999977, 8.740628612322645%, 20
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 15247.356999999989, 2.2941913992674405%, 20
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 15234.203999999765, 2.2922123349958374%, 20
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 3863.500999999931, 0.5813211276722257%, 20
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 3855.799000000203, 0.5801622473392909%, 20
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 3855.4170000002487, 0.5801047697637076%, 20
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 3850.9870000002265, 0.5794382104446856%, 20
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 13570.4650000002, 2.041878083333414%, 20
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 19434.996999999858, 2.924284055406338%, 19
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 23266.250999999902, 3.5007531428166407%, 19
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 23354.259999999893, 3.5139954044661907%, 19
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 23337.276999999915, 3.511440059790146%, 19
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 13624.89599999992, 2.0500680359955625%, 19
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 44430.88700000013, 6.685287083999142%, 7
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 44376.78500000015, 6.6771466342750925%, 7
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 44419.46700000015, 6.683568775325738%, 7
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 44446.18100000016, 6.687588293530765%, 7
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 44445.37300000017, 6.687466717925853%, 7
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 156833.06200000003, 23.59786433551583%, 6
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 117584.38400000005, 17.692317590580476%, 6
('aten::reshape', 'aten::clone', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 52224.71800000005, 7.857984755309901%, 6
('aten::clone', 'aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::_unsafe_view'), 34792.243000000046, 5.23500988740691%, 6
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::_unsafe_view', 'aten::view'), 17419.82100000002, 2.6210708855953477%, 6
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 175338.90899999999, 26.382343968514455%, 6
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 87672.02700000007, 13.19155905510333%, 6
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 32305.460000000065, 4.8608364375136315%, 6
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty'), 32275.019000000117, 4.856256136784463%, 6
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty', 'aten::as_strided_'), 32257.36300000007, 4.853599529259267%, 6
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 51097.178999999946, 7.688329760274443%, 6
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 46219.47199999998, 6.954406271269329%, 6
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 46224.28700000001, 6.955130759558516%, 6
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 46224.11899999998, 6.955105481462439%, 6
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 41340.397000000026, 6.2202769463390695%, 6
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty'), 17246.944999999996, 2.595059122878713%, 4
('aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand'), 17197.661999999997, 2.5876437633032734%, 4
('aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided'), 17175.191, 2.5842626674889018%, 4
('aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 17575.367, 2.644475092330351%, 4
('aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::relu'), 930.4860000000017, 0.1400054434574313%, 4
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::relu', 'aten::threshold'), 1383.614000000002, 0.2081852834367312%, 4
('aten::as_strided', 'aten::copy_', 'aten::relu', 'aten::threshold', 'aten::empty'), 1384.5790000000034, 0.20833048202428286%, 4
