kList(5),            Time(us),                Time%,   Calls (Top 149, sorted by calls)
-------------------------------------------------------------
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 240411.47800000198, 2.248436483814462%, 48
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 230323.21000000183, 2.154086455195204%, 48
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 229968.52100000158, 2.1507692438264185%, 48
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 229962.7430000084, 2.150715205366623%, 48
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 229930.2360000112, 2.150411185253353%, 48
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 214033.82600000943, 2.001740795207846%, 48
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 244009.91600001068, 2.2820906976285125%, 48
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 984599.5920000088, 9.208419094705768%, 48
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 984853.5040000039, 9.210793794155297%, 48
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 1332099.9330000023, 12.458398884948336%, 48
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 1210704.6700000023, 11.3230556785335%, 48
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 1089204.4889999994, 10.186731231701286%, 48
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 348395.74799999874, 3.2583540400222497%, 48
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 348286.9329999997, 3.257336353104722%, 48
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 57529.07499999902, 0.5380378349077627%, 48
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 57442.37600000156, 0.5372269867888367%, 48
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 57436.555000002496, 0.5371725461736088%, 48
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 57401.769000000786, 0.5368472118252636%, 48
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 250660.1080000028, 2.3442862901249457%, 48
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 387103.8960000004, 3.6203700839654296%, 47
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 488216.54699999886, 4.566021162586533%, 45
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 488859.4640000027, 4.572034012101451%, 45
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 488784.4310000017, 4.571332269671781%, 45
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 295487.0620000004, 2.763528165223215%, 45
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 584071.2239999997, 5.462497298850922%, 18
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 583980.0020000001, 5.461644149597683%, 18
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 584192.5920000002, 5.4636323870814785%, 18
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 584328.7759999988, 5.464906041220856%, 18
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 584344.0429999977, 5.465048825084928%, 18
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 97326.49700000184, 0.9102412601808518%, 17
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 97025.46400000155, 0.9074258639041701%, 17
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 96997.79600000218, 0.9071671002995774%, 17
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 193307.25100000156, 1.8078965253658965%, 17
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 3166881.3239999996, 29.618101298774885%, 15
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 2375047.9929999993, 22.21251914715765%, 15
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::relu_'), 1600251.762999998, 14.96627564187089%, 15
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::relu_', 'aten::threshold_'), 825270.1089999971, 7.718297967774718%, 15
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty', 'aten::as_strided_'), 802406.9470000027, 7.504471373454844%, 15
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 613027.8939999989, 5.733313126029412%, 14
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 516752.855999999, 4.8329055842571265%, 14
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 516743.00999999885, 4.83281350002802%, 14
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 516714.70899999887, 4.832548816322159%, 14
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 420444.1199999994, 3.9321828836028234%, 14
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 2706675.295000001, 25.314047123478957%, 12
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 1353340.2349999999, 12.657047761205531%, 12
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 695181.9610000008, 6.501654983386739%, 12
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty'), 695140.1350000007, 6.50126380778583%, 12
('aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_'), 242489.40999999782, 2.267870240299567%, 12
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::fill_'), 325428.89999999665, 3.0435577275041528%, 12
('aten::fill_', 'aten::zero_', 'aten::zero_', 'aten::fill_', 'aten::zero_'), 245761.66099999705, 2.2984738062931864%, 12
('aten::empty', 'aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::max_pool2d'), 252827.3100000004, 2.3645549398796395%, 9
('aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices'), 479824.6819999994, 4.487536659308181%, 9
('aten::relu_', 'aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty'), 479821.0409999997, 4.487502607035365%, 9
('aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty'), 466952.6290000001, 4.367151418854763%, 9
('aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty', 'aten::resize_'), 454342.9109999992, 4.249219653542735%, 9
('aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_'), 227199.02899999885, 2.124867706569373%, 9
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty'), 210561.92000000348, 1.9692699656795338%, 9
('aten::transpose', 'aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand'), 210440.2510000015, 1.9681320623613168%, 9
('aten::as_strided', 'aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided'), 210372.61000000167, 1.9674994532468664%, 9
('aten::addmm', 'aten::empty', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 211249.13699999993, 1.9756971287582015%, 9
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 339.63099999842234, 0.0031763821668732307%, 9
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::sum'), 1083.3150000000605, 0.010131650076472556%, 9
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::sum', 'aten::empty'), 982.5309999990859, 0.009189072690101068%, 9
('aten::transpose', 'aten::as_strided', 'aten::sum', 'aten::empty', 'aten::fill_'), 886.135999999824, 0.008287543209650748%, 9
('aten::as_strided', 'aten::sum', 'aten::empty', 'aten::fill_', 'aten::view'), 840.852000000712, 0.007864026834400743%, 9
('aten::max_pool2d_with_indices_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_'), 93429.88399999938, 0.87379837939414%, 9
('aten::zeros_like', 'aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_'), 61032.32899999805, 0.570801845059003%, 9
('aten::empty_like', 'aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_'), 40677.645999998436, 0.3804356767944547%, 9
('aten::empty', 'aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_'), 40615.716000000015, 0.3798564795256825%, 9
('aten::zero_', 'aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_'), 54712.26200000162, 0.5116937303335336%, 9
('aten::fill_', 'aten::resize_as_', 'aten::resize_', 'aten::zero_', 'aten::fill_'), 48532.59700000251, 0.4538987183842739%, 9
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_', 'aten::conv2d'), 389409.6849999989, 3.6419348617984357%, 6
