kList(1),            Time(us),                Time%,   Calls (Top 60, sorted by time)
-------------------------------------------------------------
('aten::mkldnn_convolution_backward',), 1460687.0550000002, 13.661003597746173%, 15
('aten::mkldnn_convolution_backward_weights',), 802228.6420000001, 7.502803784741577%, 15
('aten::conv2d',), 791871.3140000002, 7.405937385750291%, 15
('aten::convolution',), 791771.3610000007, 7.405002580250425%, 15
('aten::_convolution',), 791656.6950000008, 7.403930172144133%, 15
('aten::mkldnn_convolution',), 791440.7879999988, 7.401910912581511%, 15
('aten::sqrt',), 740980.5340000009, 6.929983877233645%, 48
('aten::mkldnn_convolution_backward_input',), 658176.9059999997, 6.1555670326793175%, 12
('aten::mm',), 583582.8189999999, 5.457929515190954%, 18
('aten::div',), 347380.428000001, 3.248858309827781%, 48
('aten::zero_',), 322681.89000000065, 3.0178664520426954%, 97
('aten::fill_',), 322199.0139999991, 3.0133503780823587%, 61
('aten::add_',), 268799.2840000049, 2.5139320385061272%, 128
('aten::max_pool2d',), 227159.34199999995, 2.1244965358604158%, 9
('aten::max_pool2d_with_indices',), 227087.2099999991, 2.1238219248900845%, 9
('aten::zeros_like',), 225410.9099999998, 2.108144411864618%, 44
('aten::addmm',), 210280.80199999997, 1.9666408234575272%, 9
('aten::addcdiv_',), 193461.7760000024, 1.8093417128026763%, 48
('aten::mul_',), 193251.88200000022, 1.807378689525815%, 96
('aten::addcdiv',), 193080.9279999982, 1.8057798506772866%, 47
('aten::addcmul_',), 121868.8219999997, 1.139772143592444%, 48
('aten::addcmul',), 121557.89700000128, 1.1368642328739444%, 48
('aten::copy_',), 117106.8620000002, 1.0952361476926809%, 223
('aten::threshold_backward',), 60985.771999999124, 0.5703664230140767%, 21
('aten::max_pool2d_with_indices_backward',), 52640.3180000002, 0.4923159763228719%, 9
('aten::relu_',), 17233.66500000051, 0.1611770014401608%, 21
('aten::threshold_',), 16857.965999999913, 0.15766329508320417%, 21
('aten::_adaptive_avg_pool2d_backward',), 10426.375999999582, 0.0975121670037999%, 3
('aten::adaptive_avg_pool2d',), 6052.054999999469, 0.056601545721749726%, 3
('aten::_adaptive_avg_pool2d',), 6034.963000000222, 0.056441693635238016%, 3
('aten::dropout',), 4508.819000000425, 0.04216850718964721%, 6
('aten::bernoulli_',), 2676.5180000001565, 0.02503200251023963%, 6
('aten::mul',), 2463.344000000274, 0.023038303195266004%, 12
('aten::to',), 2099.8650000080816, 0.019638883785337354%, 198
('aten::empty',), 1469.430000002435, 0.013742771559421689%, 297
('aten::t',), 671.7140000023064, 0.00628217203628739%, 45
('aten::sum',), 638.5170000009239, 0.005971698732029027%, 9
('aten::div_',), 589.5329999998212, 0.005513578289353466%, 6
('aten::empty_strided',), 513.9490000000224, 0.00480668265938617%, 249
('aten::empty_like',), 430.75499999691965, 0.004028614879937491%, 53
('aten::transpose',), 330.8909999988391, 0.0030946417481915525%, 45
('aten::nll_loss_backward',), 226.11699999932898, 0.0021147480837381723%, 3
('aten::log_softmax',), 225.72500000038417, 0.002111081923093036%, 3
('aten::_log_softmax',), 207.72199999948498, 0.0019427097540232496%, 3
('aten::_log_softmax_backward_data',), 196.53000000037719, 0.0018380371263509337%, 3
('aten::new_empty_strided',), 161.38300000003073, 0.00150932654333374%, 16
('aten::resize_',), 134.96200000106182, 0.0012622254447058987%, 42
('aten::as_strided',), 118.77800000057323, 0.001110865383373255%, 54
('aten::as_strided_',), 113.23000000199681, 0.001058977987177464%, 57
('aten::view',), 107.16699999890989, 0.001002274078854469%, 15
('aten::nll_loss',), 77.565999999817, 0.0007254321871568032%, 3
('aten::zeros',), 66.35799999972991, 0.0006206099202649201%, 6
('aten::resize_as_',), 64.18200000055367, 0.0006002589876570848%, 12
('aten::nll_loss_forward',), 62.223000000522006, 0.0005819375368324129%, 3
('aten::conj',), 60.786999999312684, 0.0005685074176869509%, 24
('aten::flatten',), 53.078999999328516, 0.000496418728072863%, 3
('aten::reshape',), 48.131999999983236, 0.00045015215471084586%, 3
('aten::ones_like',), 37.729000000690576, 0.00035285861060006406%, 3
('aten::random_',), 36.05100000050152, 0.0003371651984067172%, 3
('aten::expand',), 35.31799999973737, 0.0003303098520727368%, 9
Total time: 10692384.673999997us
