kList(4),            Time(us),                Time%,   Calls (Top 145, sorted by time)
-------------------------------------------------------------
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 3166740.1580000008, 29.61678105072636%, 15
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 2375010.0099999993, 22.21216391302459%, 15
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 2011693.1960000005, 18.814261339584135%, 12
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 1583276.6319999986, 14.807516566907225%, 15
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 1353280.9620000008, 12.656493413398131%, 12
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 1210231.1110000026, 11.318626741355892%, 48
('aten::resize_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 1167884.5699999996, 10.922582806432988%, 6
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 1089146.773000001, 10.186191445659555%, 48
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 984719.5050000013, 9.209540575120553%, 48
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 984541.2520000045, 9.207873472734777%, 48
('aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 860034.3540000021, 8.043428853539977%, 6
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::relu_'), 808595.0679999972, 7.562345469726759%, 15
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty'), 802386.2710000012, 7.5042780021851785%, 15
('aten::resize_', 'aten::resize_', 'aten::conv2d', 'aten::convolution'), 778682.9649999989, 7.282594002565896%, 6
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 695163.3290000003, 6.501480728526214%, 12
