kList(2),            Time(us),                Time%,   Calls (Top 201, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided'), 319472.2319998679, 1.7459707609291881%, 7468
('aten::as_strided', 'aten::select'), 161196.452999849, 0.8809663736388483%, 3734
('aten::as_strided', 'aten::add_'), 104375.38000003248, 0.5704294251182532%, 3732
('aten::add_', 'aten::select'), 161746.01399998926, 0.8839698191389014%, 3730
('aten::empty_strided', 'aten::copy_'), 114486.01899996714, 0.625685808302766%, 1066
('aten::to', 'aten::empty_strided'), 69927.48599996138, 0.38216575248789764%, 859
('aten::transpose', 'aten::as_strided'), 44249.3010000241, 0.2418300496852844%, 737
('aten::t', 'aten::transpose'), 55113.17499999464, 0.30120299185189886%, 485
('aten::empty_like', 'aten::empty_strided'), 20297.164999979548, 0.11092750189235297%, 375
('aten::zeros_like', 'aten::empty_like'), 235259.9579999782, 1.285736182184249%, 375
('aten::empty_strided', 'aten::zero_'), 126052.88799998537, 0.6889007392002294%, 374
('aten::mul_', 'aten::to'), 102837.78199999407, 0.5620261872739971%, 374
('aten::reshape', 'aten::view'), 27361.092000009492, 0.14953307935423274%, 303
('aten::mm', 'aten::empty'), 7532068.18399998, 41.164049646087584%, 291
('aten::as_strided', 'aten::conj'), 7785.901999985799, 0.042551295160578824%, 266
('aten::div', 'aten::to'), 201034.99399998432, 1.0986908603928136%, 223
('aten::empty_like', 'aten::empty'), 51628.025000002686, 0.2821560469598594%, 219
('aten::empty', 'aten::add_'), 90366.48400003722, 0.49386839614938904%, 217
('aten::copy_', 'aten::empty'), 8755.207000010938, 0.04784871389982955%, 214
('aten::_unsafe_view', 'aten::view'), 21440.957999997976, 0.11717852759836325%, 209
('aten::zero_', 'aten::fill_'), 436527.84100001026, 2.385699821065759%, 202
('aten::fill_', 'aten::zeros_like'), 196355.99500001222, 1.0731193251353406%, 197
('aten::conj', 'aten::mm'), 4871973.92399999, 26.62617644752594%, 194
('aten::new_empty_strided', 'aten::empty_strided'), 10659.233999988064, 0.05825454932774605%, 187
('aten::copy_', 'aten::add_'), 59053.08600000106, 0.3227352839187641%, 187
('aten::add_', 'aten::mul_'), 95506.65800001658, 0.5219603321961379%, 187
('aten::copy_', 'aten::addcmul_'), 50721.87399999611, 0.27720377570581545%, 187
('aten::addcmul_', 'aten::addcmul'), 86007.16599999927, 0.4700439726055559%, 187
('aten::addcmul', 'aten::sqrt'), 136193.25599998608, 0.7443195964894306%, 187
('aten::sqrt', 'aten::empty'), 100938.31199998036, 0.5516452566355952%, 187
('aten::empty', 'aten::div'), 80719.34999998473, 0.4411451476046941%, 187
('aten::add_', 'aten::to'), 45542.685000030324, 0.24889861596576615%, 187
('aten::copy_', 'aten::addcdiv_'), 100845.33899999596, 0.5511371431807497%, 187
('aten::addcdiv_', 'aten::addcdiv'), 168752.97299997509, 0.9222640566706627%, 186
('aten::addcdiv', 'aten::mul_'), 118567.45199998282, 0.6479915424697399%, 186
('aten::zero_', 'aten::zeros_like'), 52387.86199998669, 0.2863086870085406%, 176
('aten::empty', 'aten::copy_'), 506237.76700000657, 2.7666765706900622%, 168
('aten::empty', 'aten::empty'), 6462.519999993758, 0.035318784644525425%, 162
('aten::empty', 'aten::resize_'), 5456.933999995008, 0.029823083992838485%, 143
('aten::as_strided', 'aten::matmul'), 2897672.6419999963, 15.836279967138164%, 115
('aten::empty', 'aten::t'), 12408.161999987904, 0.0678127420127721%, 109
('aten::expand', 'aten::as_strided'), 10072.250000000437, 0.05504658068929461%, 108
('aten::bmm', 'aten::empty'), 381249.8809999927, 2.0835962508127936%, 108
('aten::empty', 'aten::_unsafe_view'), 13383.682000000437, 0.07314412679717561%, 101
('aten::mul', 'aten::empty'), 246471.05600000097, 1.3470067633030471%, 100
('aten::matmul', 'aten::view'), 2678575.668000001, 14.638877275776204%, 97
('aten::view', 'aten::mm'), 2660437.562000001, 14.539749403108237%, 97
('aten::as_strided', 'aten::t'), 7374.913000002503, 0.040305169503452365%, 97
('aten::clone', 'aten::empty_like'), 187697.00599999557, 1.0257964591741988%, 94
('aten::view', 'aten::view'), 6294.0479999998715, 0.03439805615371653%, 87
('aten::view', 'aten::t'), 12274.83300000035, 0.06708407606861488%, 85
('aten::reshape', 'aten::clone'), 349572.8289999972, 1.9104757068512497%, 76
('aten::contiguous', 'aten::empty_like'), 334919.09799999965, 1.8303905435669243%, 74
('aten::as_strided', 'aten::contiguous'), 332267.0630000005, 1.8158967156120698%, 72
('aten::copy_', 'aten::view'), 329447.1770000019, 1.8004855530383126%, 72
('aten::copy_', 'aten::_unsafe_view'), 170308.2850000076, 0.9307641045752334%, 72
('aten::conj', 'aten::bmm'), 259473.93399998453, 1.4180697306657633%, 72
