kList(5),            Time(us),                Time%,   Calls (Top 342, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add_'), 373277.0309998691, 2.040023252639056%, 3732
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add_', 'aten::select'), 373077.45999986865, 2.03893256275797%, 3730
('aten::select', 'aten::as_strided', 'aten::add_', 'aten::select', 'aten::as_strided'), 373075.30399986915, 2.03892077984671%, 3730
('aten::as_strided', 'aten::add_', 'aten::select', 'aten::as_strided', 'aten::select'), 373076.04699986987, 2.0389248404696585%, 3730
('aten::add_', 'aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 373077.3149998691, 2.0389317703080034%, 3730
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 144198.2529999828, 0.788068283553181%, 205
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 379191.3089999929, 2.0723458003471373%, 198
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 314606.53700000606, 1.7193788998833066%, 197
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 314731.3790000081, 1.7200611829110832%, 197
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 314791.9550000038, 1.720392241182234%, 197
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 277335.01400001347, 1.5156836085400711%, 197
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 4892624.944999991, 26.739037833392338%, 194
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 4884628.045999984, 26.695333403293002%, 194
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 113953.75599998981, 0.6227768993523153%, 187
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 113833.72699999437, 0.6221209201983721%, 187
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 113804.7679999955, 0.6219626542766447%, 187
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 113791.76800001599, 0.6218916070381595%, 187
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 113805.8480000142, 0.6219685566627227%, 187
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 105460.55600001104, 0.5763600988252109%, 187
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 104306.35599999689, 0.5700521970721407%, 187
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 190309.41499999724, 1.040073724215478%, 187
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 190730.00699996948, 1.0423723319211786%, 187
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 263849.95099997707, 1.4419854171199125%, 187
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 228009.3069999609, 1.2461101259086056%, 187
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 192338.99899996072, 1.0511657502692084%, 187
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 99004.36599997431, 0.5410759087204752%, 187
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 56474.285000026226, 0.3086416923849219%, 187
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 56365.31500003114, 0.3080461525703381%, 187
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 56378.03400002979, 0.30811566409553975%, 187
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 56334.87800002284, 0.30787980912404783%, 187
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 149800.25600001775, 0.8186841946120885%, 187
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 186796.36299996264, 1.020874290088487%, 186
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 214371.4179999698, 1.1715767140820899%, 186
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 222058.86599997059, 1.213589941178993%, 186
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 221722.83699996397, 1.211753484829835%, 186
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 136782.2129999604, 0.7475383479125595%, 186
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 73892.01699997671, 0.40383259709437025%, 176
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 67420.6149999518, 0.3684652707901961%, 176
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 64346.460999971256, 0.3516644898116422%, 176
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 101645.99799995683, 0.5555128824888441%, 176
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::view'), 2696385.5409999993, 14.736211298577512%, 97
('aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::view', 'aten::mm'), 5341427.054999999, 29.191818648169576%, 97
('aten::as_strided', 'aten::matmul', 'aten::view', 'aten::mm', 'aten::empty'), 5339907.4279999975, 29.183513624935127%, 97
('aten::matmul', 'aten::view', 'aten::mm', 'aten::empty', 'aten::_unsafe_view'), 5347400.515, 29.224464635698112%, 97
('aten::view', 'aten::mm', 'aten::empty', 'aten::_unsafe_view', 'aten::view'), 2676107.128000001, 14.625386279594146%, 97
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 2475094.5369999837, 13.526817855453945%, 97
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 2477002.135999987, 13.537243212477101%, 97
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 2477153.9779999964, 13.538073055154312%, 97
('aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::t'), 20754.77399999462, 0.11342841387760713%, 97
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::t', 'aten::transpose'), 21894.016999995336, 0.11965457305001158%, 97
('aten::transpose', 'aten::as_strided', 'aten::t', 'aten::transpose', 'aten::as_strided'), 14978.528000010177, 0.08186023481936838%, 97
('aten::as_strided', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 13124.56800000742, 0.0717280241678385%, 97
('aten::view', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::matmul'), 2104022.793999999, 11.498846881484377%, 85
('aten::reshape', 'aten::clone', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 520197.37300000316, 2.842968221321206%, 76
('aten::as_strided', 'aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 663303.5430000024, 3.625068083223019%, 72
('aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::view'), 666283.1570000016, 3.641352186821907%, 72
('aten::clone', 'aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::_unsafe_view'), 345527.08600000665, 1.8883650246802233%, 72
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::_unsafe_view', 'aten::view'), 175224.0850000037, 0.957629798074919%, 72
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::bmm', 'aten::empty'), 265385.6179999793, 1.450378101716453%, 72
('aten::as_strided', 'aten::conj', 'aten::bmm', 'aten::empty', 'aten::resize_'), 263026.6229999792, 1.4374857878230187%, 72
('aten::view', 'aten::view', 'aten::t', 'aten::transpose', 'aten::as_strided'), 16331.377999997943, 0.0892537930297817%, 67
('aten::mm', 'aten::empty', 'aten::_unsafe_view', 'aten::view', 'aten::view'), 802815.8939999985, 4.387527105434952%, 54
('aten::expand', 'aten::as_strided', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 270374.47100000014, 1.4776430424409848%, 54
('aten::dropout', 'aten::empty_like', 'aten::empty', 'aten::bernoulli_', 'aten::empty'), 764786.9139999985, 4.179692181152743%, 50
('aten::empty_like', 'aten::empty', 'aten::bernoulli_', 'aten::empty', 'aten::div_'), 339441.5469999996, 1.855106506116673%, 50
('aten::empty', 'aten::bernoulli_', 'aten::empty', 'aten::div_', 'aten::to'), 323157.1249999999, 1.7661093357126945%, 50
('aten::bernoulli_', 'aten::empty', 'aten::div_', 'aten::to', 'aten::empty_strided'), 305137.5730000016, 1.6676293810697098%, 50
('aten::empty', 'aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 40980.549000000516, 0.2239657571267614%, 50
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::mul'), 175943.53400000097, 0.961561710748868%, 50
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::mul', 'aten::empty'), 145228.51499999996, 0.7936988427941706%, 50
('aten::empty', 'aten::_unsafe_view', 'aten::view', 'aten::view', 'aten::t'), 10832.956999997923, 0.059203975437863314%, 36
('aten::_unsafe_view', 'aten::view', 'aten::view', 'aten::t', 'aten::transpose'), 11376.965000000873, 0.06217707283594049%, 36
('aten::view', 'aten::expand', 'aten::as_strided', 'aten::contiguous', 'aten::empty_like'), 193873.44200000138, 1.0595517454951864%, 36
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::view', 'aten::bmm'), 309814.3780000004, 1.693188925739522%, 36
('aten::empty', 'aten::copy_', 'aten::view', 'aten::bmm', 'aten::empty'), 308554.6310000006, 1.6863041914563601%, 36
('aten::copy_', 'aten::view', 'aten::bmm', 'aten::empty', 'aten::resize_'), 308447.9149999984, 1.6857209701398757%, 36
('aten::view', 'aten::bmm', 'aten::empty', 'aten::resize_', 'aten::_unsafe_view'), 128134.14599999611, 0.7002751725624698%, 36
