kList(1),            Time(us),                Time%,   Calls (Top 80, sorted by time)
-------------------------------------------------------------
('aten::mm',), 7524775.632999992, 41.12419459909693%, 291
('aten::matmul',), 3069809.9650000003, 16.77704007934333%, 133
('aten::copy_',), 596730.3789999933, 3.2612342780783896%, 1234
('aten::dropout',), 457708.2140000001, 2.5014542067663967%, 50
('aten::mul',), 396874.58000000357, 2.1689879214176733%, 102
('aten::bmm',), 379389.9479999959, 2.073431396687747%, 108
('aten::contiguous',), 330944.221, 1.8086671562889585%, 74
('aten::embedding_backward',), 304707.90100000054, 1.6652811496002777%, 2
('aten::embedding_dense_backward',), 304648.6980000008, 1.664957595010535%, 2
('aten::threshold_backward',), 288200.1450000005, 1.5750634204282306%, 12
('aten::bernoulli_',), 265737.00199999916, 1.4522984757848112%, 50
('aten::add_',), 225726.2730000455, 1.233632951961102%, 4160
('aten::zero_',), 223516.9429999918, 1.2215585830646558%, 412
('aten::zeros_like',), 221824.6389999939, 1.2123098502902812%, 375
('aten::fill_',), 217003.42900001182, 1.18596110742905%, 231
('aten::select',), 216386.59399990947, 1.1825899979346357%, 7468
('aten::relu',), 207126.61799999955, 1.1319826345292445%, 12
('aten::threshold',), 205984.24700000026, 1.125739380298207%, 12
('aten::reshape',), 195234.9199999941, 1.0669924572113667%, 379
('aten::clone',), 193965.90299999606, 1.060057060781922%, 114
('aten::div',), 187389.42399999456, 1.0241154705786388%, 223
('aten::add',), 166732.3779999977, 0.91122115704976%, 67
('aten::layer_norm',), 128890.69900000005, 0.7044098649857559%, 32
('aten::native_layer_norm',), 127701.97900000057, 0.6979133054884294%, 32
('aten::log_softmax',), 120064.40199999977, 0.6561726319943019%, 1
('aten::_log_softmax',), 120037.52100000065, 0.6560257227004043%, 1
('aten::as_strided',), 118396.28099997492, 0.6470560634790871%, 8341
('aten::_log_softmax_backward_data',), 116159.04000000004, 0.6348291561618035%, 1
('aten::sqrt',), 97123.43499999307, 0.5307962969096625%, 187
('aten::addcdiv_',), 97099.69299999624, 0.5306665427913124%, 187
('aten::native_layer_norm_backward',), 95606.61899999902, 0.5225066362743047%, 32
('aten::nll_loss_backward',), 85837.56799999997, 0.4691170903308205%, 1
('aten::softmax',), 81678.73900000118, 0.4463883736963643%, 18
('aten::_softmax',), 81010.96900000039, 0.44273889565650903%, 18
('aten::mul_',), 80568.07100000978, 0.4403183818196195%, 374
('aten::addcdiv',), 80066.74299998023, 0.4375785379708839%, 186
('aten::sum',), 56772.01999999583, 0.310268865429659%, 27
('aten::to',), 54984.405999968934, 0.30049924709276415%, 931
('aten::empty',), 52241.46499996579, 0.2855086021938944%, 1522
('aten::addcmul_',), 46937.34500000626, 0.25652067302578785%, 187
('aten::empty_like',), 41635.58899998573, 0.22754566352442823%, 594
('aten::_softmax_backward_data',), 40504.70500000194, 0.2213651877265343%, 18
('aten::masked_fill_',), 39541.555000000444, 0.21610140712230247%, 38
('aten::addcmul',), 39069.82099999301, 0.21352329957976812%, 187
('aten::t',), 37972.01099999115, 0.20752357888711112%, 485
('aten::masked_fill',), 33957.31700000062, 0.18558258484771614%, 18
('aten::div_',), 32362.847000001195, 0.17686853173032685%, 50
('aten::transpose',), 31833.77700001076, 0.17397707307463847%, 737
('aten::view',), 30808.86800001259, 0.16837576890053824%, 848
('aten::empty_strided',), 27366.10099997508, 0.14956045440159338%, 1459
('aten::max',), 24768.281000000425, 0.1353629207576844%, 1
('aten::zeros',), 18523.264000001756, 0.10123282746210217%, 4
('aten::_unsafe_view',), 16959.95600000496, 0.092689080040817%, 209
('aten::eq',), 12207.915000000467, 0.06671835767535025%, 42
('aten::expand',), 7688.862999997989, 0.042020960315550436%, 108
('aten::embedding',), 7360.98399999992, 0.040229045119867426%, 2
('aten::new_empty_strided',), 7247.673000000417, 0.039609780992740214%, 187
('aten::conj',), 4990.218999986537, 0.02727240614956917%, 335
('aten::resize_',), 3911.6810000017877, 0.021378010255639974%, 174
('aten::index_select',), 2857.64199999988, 0.015617505615339556%, 2
('aten::unsqueeze',), 1305.2810000000386, 0.0071335854341087815%, 20
('aten::item',), 943.8480000004929, 0.005158291850426094%, 21
('aten::as_strided_',), 551.8649999999345, 0.0030160372560344164%, 27
('aten::ne',), 527.2310000001114, 0.0028814082040658604%, 6
('aten::_local_scalar_dense',), 455.65000000051805, 0.0024902057128352176%, 21
('aten::bitwise_and',), 365.6890000000003, 0.00199855335656746%, 2
('aten::nll_loss',), 304.8329999996349, 0.0016659648371753007%, 1
('aten::masked_select',), 247.4799999995157, 0.0013525208160003357%, 1
('aten::nll_loss_forward',), 238.7960000000894, 0.0013050612606205316%, 1
('aten::slice',), 227.87799999988783, 0.0012453925105421688%, 4
('aten::__and__',), 219.20899999999983, 0.0011980149327428381%, 1
('aten::triu',), 181.5530000000001, 0.0009922184083877065%, 2
('aten::rsub',), 139.42100000000005, 0.0007619597732663322%, 1
('aten::resize_as_',), 105.73600000002989, 0.0005778654477167117%, 2
('aten::squeeze_',), 84.33199999947101, 0.0004608889019494426%, 2
('aten::detach',), 70.6349999999793, 0.00038603243833175476%, 2
('aten::ones_like',), 62.22499999962747, 0.00034007034012963365%, 1
('aten::ones',), 59.40800000000013, 0.0003246749500448738%, 1
('aten::unsqueeze_',), 55.980000000447035, 0.0003059403397464505%, 2
('aten::is_floating_point',), 24.05199999921024, 0.00013144832174493117%, 2
Total time: 18297685.112999715us
