kList(3),            Time(us),                Time%,   Calls (Top 278, sorted by time)
-------------------------------------------------------------
('aten::matmul', 'aten::view', 'aten::mm'), 5334247.520000001, 29.1525812530802%, 97
('aten::conj', 'aten::mm', 'aten::empty'), 4875934.347999979, 26.64782084667004%, 194
('aten::as_strided', 'aten::conj', 'aten::mm'), 4874767.921999996, 26.641446127721824%, 194
('aten::transpose', 'aten::as_strided', 'aten::matmul'), 2904186.063999998, 15.871876939978048%, 115
('aten::as_strided', 'aten::matmul', 'aten::view'), 2680903.448999998, 14.651598999784579%, 97
('aten::mm', 'aten::empty', 'aten::_unsafe_view'), 2668824.847, 14.585587359921915%, 97
('aten::view', 'aten::mm', 'aten::empty'), 2663769.6890000007, 14.557960050954794%, 97
('aten::mm', 'aten::empty', 'aten::t'), 2472278.032999986, 13.51142517609257%, 97
('aten::embedding_backward', 'aten::embedding_dense_backward', 'aten::zeros'), 627716.1050000023, 3.4305766064038186%, 2
('aten::empty_like', 'aten::empty', 'aten::copy_'), 513749.6810000071, 2.8077304742500466%, 168
('aten::dropout', 'aten::empty_like', 'aten::empty'), 497637.1329999996, 2.7196726248526923%, 50
('aten::add_', 'aten::relu', 'aten::threshold'), 438581.5329999995, 2.396923601491023%, 12
('aten::relu', 'aten::threshold', 'aten::empty'), 413667.8369999995, 2.260765962717909%, 12
('aten::matmul', 'aten::expand', 'aten::as_strided'), 399467.85700000223, 2.1831606267844097%, 36
('aten::bmm', 'aten::empty', 'aten::resize_'), 383742.2059999951, 2.097217236115638%, 108
('aten::reshape', 'aten::clone', 'aten::empty_like'), 352249.42399999814, 1.9251037594353406%, 76
('aten::contiguous', 'aten::empty_like', 'aten::empty'), 337179.03799999994, 1.8427415048281097%, 74
('aten::as_strided', 'aten::contiguous', 'aten::empty_like'), 336178.24700000015, 1.837272009677115%, 72
('aten::empty', 'aten::copy_', 'aten::view'), 331676.06000000215, 1.812666782446489%, 72
('aten::embedding_dense_backward', 'aten::zeros', 'aten::empty'), 323073.13200000115, 1.7656502995041248%, 2
('aten::copy_', 'aten::view', 'aten::bmm'), 306563.3449999993, 1.67542147056733%, 36
('aten::empty_like', 'aten::empty', 'aten::bernoulli_'), 305665.9209999987, 1.6705168938711064%, 50
('aten::zero_', 'aten::fill_', 'aten::zeros_like'), 303526.5250000097, 1.6588247263276334%, 197
('aten::add_', 'aten::layer_norm', 'aten::native_layer_norm'), 301393.0750000004, 1.6471650546979502%, 30
('aten::bernoulli_', 'aten::empty', 'aten::div_'), 299512.6280000001, 1.6368880880303776%, 50
('aten::empty', 'aten::bernoulli_', 'aten::empty'), 286420.2289999973, 1.5653358729870595%, 50
('aten::select', 'aten::as_strided', 'aten::select'), 269088.22399983654, 1.4706134810936329%, 3734
('aten::expand', 'aten::as_strided', 'aten::contiguous'), 265596.52799999993, 1.4515307611852226%, 54
('aten::as_strided', 'aten::conj', 'aten::bmm'), 260558.9349999791, 1.4239994479676734%, 72
('aten::conj', 'aten::bmm', 'aten::empty'), 260537.78799998108, 1.4238838759711754%, 72
('aten::layer_norm', 'aten::native_layer_norm', 'aten::empty'), 257658.79899999982, 1.4081497053249887%, 32
