kList(4),            Time(us),                Time%,   Calls (Top 320, sorted by time)
-------------------------------------------------------------
('aten::matmul', 'aten::view', 'aten::mm', 'aten::empty'), 5337579.646999998, 29.170791900926734%, 97
('aten::as_strided', 'aten::matmul', 'aten::view', 'aten::mm'), 5336575.300999997, 29.165302977088565%, 97
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 4880667.621999996, 26.673689004148905%, 194
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 4878728.345999984, 26.66309052686593%, 194
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::matmul'), 2691619.8309999974, 14.71016587277326%, 97
('aten::transpose', 'aten::as_strided', 'aten::matmul', 'aten::view'), 2685755.202999999, 14.678114670865583%, 97
('aten::view', 'aten::mm', 'aten::empty', 'aten::_unsafe_view'), 2673590.557000002, 14.611632785726163%, 97
('aten::mm', 'aten::empty', 'aten::_unsafe_view', 'aten::view'), 2671341.4179999996, 14.599340853789897%, 97
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 2475603.62099999, 13.529600087178133%, 97
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 2473676.5479999827, 13.519068301391538%, 97
('aten::dropout', 'aten::empty_like', 'aten::empty', 'aten::bernoulli_'), 763374.1349999988, 4.171971100637504%, 50
('aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 662211.201000002, 3.6190982460919576%, 74
('aten::embedding_backward', 'aten::embedding_dense_backward', 'aten::zeros', 'aten::empty'), 627781.0330000017, 3.4309314491044027%, 2
('aten::add_', 'aten::relu', 'aten::threshold', 'aten::empty'), 439138.5049999992, 2.3999675493814805%, 12
('aten::view', 'aten::add_', 'aten::relu', 'aten::threshold'), 438896.5679999994, 2.3986453220149815%, 12
('aten::relu', 'aten::threshold', 'aten::empty', 'aten::t'), 415464.7539999998, 2.2705864235516326%, 12
('aten::clone', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 366642.6699999999, 2.003765327339228%, 94
('aten::reshape', 'aten::clone', 'aten::empty_like', 'aten::empty'), 353646.73000000074, 1.9327402773411484%, 76
('aten::embedding_dense_backward', 'aten::zeros', 'aten::empty', 'aten::zero_'), 341329.4050000012, 1.865423975175425%, 2
('aten::as_strided', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 338407.1300000004, 1.8494532390852914%, 72
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::view'), 335587.2440000018, 1.8340420765115342%, 72
('aten::add_', 'aten::select', 'aten::as_strided', 'aten::select'), 322753.02799983695, 1.7639008760213872%, 3730
('aten::select', 'aten::as_strided', 'aten::add_', 'aten::select'), 320437.4109999426, 1.7512456303682133%, 3730
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 319472.2319998679, 1.7459707609291881%, 3734
('aten::empty', 'aten::bernoulli_', 'aten::empty', 'aten::div_'), 318783.0759999985, 1.7422044047173864%, 50
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 310936.64300001226, 1.6993222972183797%, 197
('aten::empty', 'aten::copy_', 'aten::view', 'aten::bmm'), 307758.5520000003, 1.6819534826367253%, 36
('aten::copy_', 'aten::view', 'aten::bmm', 'aten::empty'), 307359.42399999953, 1.6797721793869649%, 36
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 307321.2610000055, 1.679563612020337%, 197
('aten::empty_like', 'aten::empty', 'aten::bernoulli_', 'aten::empty'), 307078.69999999844, 1.678237974386346%, 50
('aten::bernoulli_', 'aten::empty', 'aten::div_', 'aten::to'), 303886.6770000015, 1.6607930190256863%, 50
('aten::empty', 'aten::add_', 'aten::layer_norm', 'aten::native_layer_norm'), 302440.3860000012, 1.6528887896596844%, 30
('aten::add_', 'aten::layer_norm', 'aten::native_layer_norm', 'aten::empty'), 302414.26299999974, 1.6527460229663011%, 30
('aten::mul', 'aten::empty', 'aten::add_', 'aten::layer_norm'), 298755.7790000007, 1.6327517779161453%, 30
('aten::matmul', 'aten::expand', 'aten::as_strided', 'aten::contiguous'), 296967.67399999936, 1.6229794761798402%, 18
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 290849.14499996416, 1.5895406615852647%, 374
('aten::expand', 'aten::as_strided', 'aten::contiguous', 'aten::empty_like'), 268634.67899999954, 1.468134779569172%, 54
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add_'), 265465.2549998816, 1.4508133316343934%, 3732
('aten::as_strided', 'aten::add_', 'aten::select', 'aten::as_strided'), 264706.92599994875, 1.446668933065669%, 3730
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::bmm'), 264321.76399998274, 1.4445639564110409%, 72
('aten::conj', 'aten::bmm', 'aten::empty', 'aten::resize_'), 261941.6219999846, 1.4315560705211088%, 72
('aten::as_strided', 'aten::conj', 'aten::bmm', 'aten::empty'), 261622.78899997566, 1.4298135932730855%, 72
('aten::layer_norm', 'aten::native_layer_norm', 'aten::empty', 'aten::empty'), 258430.45799999952, 1.4123669546395017%, 32
('aten::log_softmax', 'aten::_log_softmax', 'aten::empty', 'aten::nll_loss'), 240439.84300000034, 1.314045145684457%, 1
('aten::view', 'aten::view', 'aten::log_softmax', 'aten::_log_softmax'), 240225.31000000145, 1.3128726858969266%, 1
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 240175.39400000498, 1.3125998863614214%, 198
