kList(1),            Time(us),                Time%,   Calls (Top 101, sorted by time)
-------------------------------------------------------------
('aten::mm',), 526935.4100000004, 11.913450708549126%, 179
('aten::add',), 406498.89500000345, 9.190508849390525%, 335
('aten::mkldnn_convolution_backward',), 281662.74199999974, 6.368095841673998%, 12
('aten::convolution',), 215679.95099999994, 4.876294924003661%, 24
('aten::_convolution',), 215543.05200000008, 4.873199782820137%, 24
('aten::lstm',), 189333.092, 4.280620387685078%, 1
('aten::linear',), 173176.88099999973, 3.915345593597084%, 88
('aten::fill_',), 159027.95400000166, 3.5954533616566704%, 231
('aten::zero_',), 158941.14500000078, 3.5934907022435008%, 272
('aten::mkldnn_convolution_backward_weights',), 153009.90300000052, 3.4593916117923973%, 12
('aten::conv1d',), 147402.789, 3.3326207116241546%, 18
('aten::mkldnn_convolution_backward_input',), 128426.25800000003, 2.9035814738022867%, 11
('aten::addmm',), 127991.37100000019, 2.893749140009636%, 84
('aten::mkldnn_convolution',), 121725.58500000004, 2.752086364563745%, 12
('aten::zeros_like',), 113041.11100000085, 2.5557396188996666%, 133
('aten::slow_conv_transpose2d_backward',), 101937.78399999987, 2.3047051725423526%, 6
('aten::_convolution_nogroup',), 92577.32600000012, 2.093075145643152%, 12
('aten::thnn_conv2d_backward',), 71858.6669999992, 1.62464824158721%, 6
('aten::conv_transpose1d',), 68421.34799999994, 1.5469341049038343%, 6
('aten::slow_conv_transpose2d',), 68038.08099999995, 1.5382688445587127%, 6
('aten::add_',), 64182.57600000201, 1.4510999659782429%, 305
('aten::addmm_',), 63149.88299999975, 1.4277518726083351%, 72
('aten::sqrt',), 62528.19700000016, 1.413696211560257%, 66
('aten::glu_backward',), 62396.79999999993, 1.4107254647608454%, 24
('aten::copy_',), 62007.365000003934, 1.4019207524781083%, 453
('aten::addcdiv_',), 56876.142000001855, 1.2859092430502295%, 66
('aten::addcdiv',), 56553.15799999982, 1.2786069173938948%, 66
('aten::mul_',), 52905.653000002145, 1.1961406981913196%, 145
('aten::matmul',), 47421.349000000046, 1.0721464018605344%, 5
('aten::div',), 44687.37299999996, 1.0103341043830176%, 67
('aten::addcmul_',), 44037.78200000245, 0.9956475408833518%, 66
('aten::addcmul',), 43727.0700000003, 0.9886226721303099%, 66
('aten::glu',), 27800.277999999962, 0.62853479829143%, 24
('aten::thnn_conv2d',), 24431.257999999987, 0.5523648295544346%, 6
('aten::thnn_conv2d_forward',), 24393.300999999992, 0.5515066620447879%, 6
('aten::mul',), 14923.536999998709, 0.33740534242459347%, 754
('aten::sigmoid',), 13612.592999999964, 0.3077662890809337%, 264
('aten::gather',), 12550.839, 0.28376115732559304%, 4
('aten::cat',), 9384.86699999909, 0.21218188849896877%, 97
('aten::threshold_backward',), 9324.537000000244, 0.21081789119001387%, 11
('aten::_cat',), 8918.314000001112, 0.20163362003395588%, 97
('aten::l1_loss_backward',), 8112.035999999964, 0.18340452965948048%, 2
('aten::l1_loss',), 7070.205000000016, 0.15984983580214832%, 2
('aten::relu',), 6392.9569999999585, 0.14453797686774086%, 11
('aten::threshold',), 6248.166000000048, 0.14126440593512793%, 11
('aten::sum',), 4948.342000001037, 0.11187676399666462%, 91
('aten::resize_',), 4942.955000000131, 0.11175496964054468%, 214
('aten::slice_backward',), 4146.8820000001, 0.0937566034918222%, 5
('aten::select',), 4120.113999999783, 0.09315140740418366%, 512
('aten::sub',), 4063.711000000015, 0.09187619539990492%, 3
('aten::empty',), 3909.7280000051405, 0.0883948030972061%, 2049
('aten::t',), 3369.272999998764, 0.07617568879861515%, 441
('aten::sigmoid_',), 2622.0099999998056, 0.05928086497796865%, 252
('aten::rsub',), 2403.327, 0.054336674301363096%, 1
('aten::stack',), 2274.662999999622, 0.05142771773310121%, 10
('aten::unsafe_chunk',), 2193.813999999955, 0.049599807598286916%, 84
('aten::unsafe_split',), 2024.5889999998908, 0.04577380984240449%, 84
('aten::tanh',), 2002.2460000002175, 0.04526865831125721%, 168
('aten::sigmoid_backward',), 1797.4999999981374, 0.04063956842185809%, 252
('aten::narrow',), 1719.5509999993374, 0.03887722421108205%, 412
('aten::to',), 1707.1910000037133, 0.03859777772122566%, 272
('aten::zeros',), 1656.18700000018, 0.03744463138023307%, 8
('aten::transpose',), 1556.5670000003593, 0.03519232884550016%, 471
('aten::as_strided',), 1478.1390000016731, 0.03341915495279396%, 1893
('aten::slice',), 1309.7130000004292, 0.02961122173939896%, 425
('aten::tanh_backward',), 1268.4190000019735, 0.02867760819928703%, 168
('aten::unsqueeze',), 1129.9989999998797, 0.025548078819011916%, 320
('aten::abs_',), 877.3489999999874, 0.01983593030063155%, 1
('aten::sgn_',), 872.094000000041, 0.019717120324523118%, 1
('aten::abs',), 870.1240000000107, 0.019672580714068386%, 1
('aten::sgn',), 861.8289999999688, 0.019485039562434806%, 1
