kList(4),            Time(us),                Time%,   Calls (Top 434, sorted by time)
-------------------------------------------------------------
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 481088.88700000325, 10.876909452157134%, 174
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 480977.7300000028, 10.87439631028949%, 174
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 409668.1130000015, 9.262161506834106%, 169
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 409111.4830000035, 9.249576692942256%, 169
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 404630.1359999996, 9.148258190561762%, 11
('aten::convolution', 'aten::_convolution', 'aten::unsqueeze', 'aten::as_strided'), 395295.79, 8.937218528286005%, 23
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::add'), 390744.6690000008, 8.834322509773731%, 80
('aten::conv1d', 'aten::convolution', 'aten::_convolution', 'aten::unsqueeze'), 387740.155, 8.766393635071317%, 17
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 289564.1100000001, 6.546737391305503%, 50
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 289463.44399999804, 6.544461439820195%, 50
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 275991.05700000015, 6.239865059685155%, 11
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 223682.34999999963, 5.057220677383262%, 132
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 221789.1029999971, 5.014416370848542%, 50
('aten::conv_transpose1d', 'aten::convolution', 'aten::_convolution', 'aten::unsqueeze'), 205227.43699999992, 4.639974669269936%, 6
('aten::as_strided', 'aten::conv_transpose1d', 'aten::convolution', 'aten::_convolution'), 205166.69400000008, 4.638601334469021%, 6
('aten::add', 'aten::conv1d', 'aten::convolution', 'aten::_convolution'), 199612.70200000005, 4.513031466375176%, 6
('aten::_convolution', 'aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze'), 197869.79600000006, 4.473626210386335%, 23
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::lstm'), 189375.204, 4.281572495337585%, 1
('aten::zero_', 'aten::lstm', 'aten::cudnn_is_acceptable', 'aten::unbind'), 189360.886, 4.2812487805444475%, 1
('aten::lstm', 'aten::cudnn_is_acceptable', 'aten::unbind', 'aten::select'), 189357.065, 4.281162391787318%, 1
('aten::empty', 'aten::zero_', 'aten::lstm', 'aten::cudnn_is_acceptable'), 189352.449, 4.2810580289234315%, 1
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 179089.50399999996, 4.049023728207048%, 50
('aten::linear', 'aten::t', 'aten::transpose', 'aten::as_strided'), 174136.68800000014, 3.9370458118159077%, 88
('aten::as_strided', 'aten::conv1d', 'aten::convolution', 'aten::_convolution'), 160693.169, 3.6331021065410143%, 5
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty'), 153153.44100000022, 3.4626368537240415%, 12
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 151199.17400000338, 3.41845294971234%, 66
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 150577.56700000586, 3.4043990747705153%, 66
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 150421.95200000284, 3.400880784678667%, 66
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 147646.3829999998, 3.3381281135880805%, 11
