kList(5),            Time(us),                Time%,   Calls (Top 482, sorted by time)
-------------------------------------------------------------
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 552064.574, 12.481594452506364%, 11
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 482367.46200000285, 10.905816676744069%, 174
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 481720.887000003, 10.891198301805328%, 174
('aten::mm', 'aten::empty', 'aten::t', 'aten::transpose', 'aten::as_strided'), 409875.1130000029, 9.266841557272711%, 169
('aten::conj', 'aten::mm', 'aten::empty', 'aten::t', 'aten::transpose'), 409818.3760000048, 9.265558793882738%, 169
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty', 'aten::t'), 409294.87700000254, 9.253723036759293%, 169
('aten::convolution', 'aten::_convolution', 'aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze'), 395441.28099999996, 8.94050792547614%, 23
('aten::conv1d', 'aten::convolution', 'aten::_convolution', 'aten::unsqueeze', 'aten::as_strided'), 387767.60400000005, 8.767014227846623%, 17
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 332980.48199999705, 7.528335511207894%, 50
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like'), 289825.17599999765, 6.55263981665712%, 50
('aten::empty_strided', 'aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 289800.2939999986, 6.552077261029061%, 50
('aten::zero_', 'aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 289750.01799999946, 6.550940573995991%, 50
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 276072.6409999998, 6.241709587390367%, 11
('aten::linear', 'aten::t', 'aten::transpose', 'aten::as_strided', 'aten::addmm'), 257842.46300000016, 5.8295445992543975%, 84
('aten::fill_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 246614.71400000015, 5.575697103449433%, 50
('aten::conv_transpose1d', 'aten::convolution', 'aten::_convolution', 'aten::unsqueeze', 'aten::as_strided'), 205237.4219999999, 4.640200419529013%, 6
('aten::as_strided', 'aten::conv_transpose1d', 'aten::convolution', 'aten::_convolution', 'aten::unsqueeze'), 205230.74500000005, 4.640049459641199%, 6
('aten::slice', 'aten::as_strided', 'aten::conv_transpose1d', 'aten::convolution', 'aten::_convolution'), 205180.2840000001, 4.638908589954337%, 6
('aten::as_strided', 'aten::add', 'aten::conv1d', 'aten::convolution', 'aten::_convolution'), 199623.555, 4.513276841193579%, 6
('aten::_convolution', 'aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 197884.0790000001, 4.473949133866598%, 23
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 195236.95600000583, 4.4141004905956915%, 66
('aten::as_strided', 'aten::zeros', 'aten::empty', 'aten::zero_', 'aten::lstm'), 189377.72199999998, 4.281629424646784%, 1
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::lstm', 'aten::cudnn_is_acceptable'), 189376.169, 4.2815943129640255%, 1
('aten::empty', 'aten::zero_', 'aten::lstm', 'aten::cudnn_is_acceptable', 'aten::unbind'), 189370.903, 4.2814752542895835%, 1
('aten::zero_', 'aten::lstm', 'aten::cudnn_is_acceptable', 'aten::unbind', 'aten::select'), 189365.44, 4.281351741654096%, 1
('aten::lstm', 'aten::cudnn_is_acceptable', 'aten::unbind', 'aten::select', 'aten::as_strided'), 189357.81100000002, 4.281179258056049%, 1
('aten::as_strided', 'aten::conv1d', 'aten::convolution', 'aten::_convolution', 'aten::unsqueeze'), 160743.23599999998, 3.634234068305786%, 5
('aten::slice', 'aten::as_strided', 'aten::conv1d', 'aten::convolution', 'aten::_convolution'), 160703.495, 3.6333355664483986%, 5
