kList(1),            Time(us),                Time%,   Calls (Top 69, sorted by calls)
-------------------------------------------------------------
('aten::as_strided',), 498229.2689992549, 0.49803632167003475%, 754644
('aten::select',), 1923412.3229972634, 1.92266745051826%, 752832
('aten::empty',), 23839.64399992753, 0.023830411712854986%, 6798
('aten::empty_strided',), 5133.402999917977, 0.005131415006718311%, 5469
('aten::copy_',), 25639.459999999963, 0.02562953070512015%, 4753
('aten::to',), 289698.19000003394, 0.28958599969826243%, 4377
('aten::add_',), 425415.3809999451, 0.42525063202456276%, 2912
('aten::empty_like',), 13776.431000024662, 0.013771095854674852%, 2210
('aten::mul_',), 52000.918000116944, 0.05198077980497382%, 2184
('aten::add',), 822355.3039998605, 0.8220368336299935%, 1968
('aten::narrow',), 11644.977999980561, 0.01164046829422113%, 1791
('aten::slice',), 9403.781000038609, 0.009400139234005527%, 1791
('aten::zero_',), 294391.1530000337, 0.2942771452725642%, 1492
('aten::div',), 303057.0169998603, 0.30293965327663097%, 1095
('aten::addcmul_',), 14472.74400005117, 0.014467139196248886%, 1092
('aten::addcmul',), 10212.871999982744, 0.010208916900395716%, 1092
('aten::sqrt',), 21777.492999916896, 0.02176905931411621%, 1092
('aten::addcdiv_',), 21408.406000092626, 0.021400115249192192%, 1092
('aten::addcdiv',), 17792.18299999833, 0.017785292689845054%, 1091
('aten::as_strided_',), 2549.667999911253, 0.00254868059980935%, 1077
('aten::zeros_like',), 232307.11099999025, 0.23221714632024282%, 743
('aten::fill_',), 290951.3480000198, 0.2908386723925783%, 473
('aten::new_empty_strided',), 2446.2129999948665, 0.0024452656645121465%, 364
('aten::batch_norm',), 8205536.211999962, 8.202358485608848%, 363
('aten::_batch_norm_impl_index',), 8203512.907999988, 8.200335965166017%, 363
('aten::native_batch_norm',), 8199892.584999979, 8.196717044194546%, 363
('aten::relu_',), 522870.133000063, 0.5226676430983879%, 363
('aten::threshold_',), 517438.9220000026, 0.5172385354224838%, 363
('aten::threshold_backward',), 2113714.585999974, 2.1128960158968537%, 363
('aten::native_batch_norm_backward',), 10241435.414999992, 10.23746925376929%, 363
('aten::conv2d',), 6587727.234999979, 6.585176031257618%, 360
('aten::convolution',), 6585224.011000033, 6.5826737766715855%, 360
('aten::_convolution',), 6583057.316000002, 6.580507920759179%, 360
('aten::mkldnn_convolution',), 6578775.47899999, 6.576227741969682%, 360
('aten::mkldnn_convolution_backward',), 13239675.31399997, 13.23454803595645%, 360
('aten::mkldnn_convolution_backward_weights',), 6505002.707999999, 6.502483540666454%, 360
('aten::mkldnn_convolution_backward_input',), 6720446.329999979, 6.717843728645093%, 357
('aten::resize_',), 2112.6710000343737, 0.002111852834076769%, 222
('aten::cat',), 1043594.1180000145, 1.0431899693271305%, 186
('aten::_cat',), 1039446.1950000464, 1.0390436526773197%, 186
('aten::t',), 174.19899999909103, 0.00017413153862358782%, 15
('aten::transpose',), 90.60700000543147, 9.057191098166774e-05%, 15
('aten::resize_as_',), 92.38499999325722, 9.234922241028922e-05%, 15
('aten::contiguous',), 7774.401000002399, 0.007771390237683577%, 12
('aten::avg_pool2d',), 171726.75800000504, 0.1716602540401347%, 9
('aten::view',), 62.7710000006482, 6.27466909173482e-05%, 9
('aten::avg_pool2d_backward',), 247190.72699999623, 0.24709499839963028%, 9
('aten::zeros',), 61.390000003218574, 6.136622573446628e-05%, 6
('aten::sum',), 1436.4599999971688, 0.0014359037076679612%, 6
('aten::expand',), 36.74000000115484, 3.6725771842921565e-05%, 6
('aten::conj',), 7.626000002026558, 7.623046710390401e-06%, 6
('aten::mm',), 7279.996000004932, 0.007277176704005409%, 6
('aten::max_pool2d',), 587449.377999998, 0.5872218787429495%, 3
('aten::max_pool2d_with_indices',), 587423.2420000006, 0.5871957528645401%, 3
('aten::adaptive_avg_pool2d',), 1552.929999999702, 0.0015523286027823774%, 3
('aten::mean',), 1525.7719999970868, 0.0015251811201537776%, 3
('aten::div_',), 131.99099999386817, 0.00013193988434789043%, 3
('aten::flatten',), 48.77599999960512, 4.875711070602975e-05%, 3
('aten::addmm',), 5024.9000000003725, 0.0050229540263394%, 3
('aten::random_',), 41.22900000400841, 4.121303340804112e-05%, 3
('aten::log_softmax',), 253.91299999784678, 0.0002538146680887194%, 3
('aten::_log_softmax',), 237.36999999918044, 0.00023727807463391873%, 3
('aten::nll_loss',), 78.58000000752509, 7.854956863370792e-05%, 3
('aten::nll_loss_forward',), 61.75800000037998, 6.173408321768677e-05%, 3
('aten::ones_like',), 32.412999998778105, 3.240044754116288e-05%, 3
('aten::nll_loss_backward',), 189.4980000052601, 0.00018942461384497487%, 3
('aten::_log_softmax_backward_data',), 222.3120000064373, 0.00022222590609481102%, 3
('aten::reshape',), 31.02099999692291, 3.100898661378473e-05%, 3
('aten::max_pool2d_with_indices_backward',), 217122.31899999827, 0.2170382348761384%, 3
Total time: 100038741.61799549us
