kList(4),            Time(us),                Time%,   Calls (Top 178, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 4829074.725992866, 4.8272045888312%, 751743
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 4819560.156992843, 4.817693704501653%, 750654
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 69717.6119999066, 0.06969061272894443%, 2184
('aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::narrow'), 29323.892999993637, 0.029312536848942836%, 1605
('aten::slice', 'aten::as_strided', 'aten::narrow', 'aten::slice'), 25683.597000082023, 0.025673650612436257%, 1605
('aten::as_strided', 'aten::narrow', 'aten::slice', 'aten::as_strided'), 18470.39500008803, 0.018463242041386774%, 1605
('aten::add', 'aten::add', 'aten::add', 'aten::add'), 1421717.6659997543, 1.4211670828774285%, 1119
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 578585.1399998115, 0.5783610735620576%, 1095
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 276626.65499997046, 0.27651952686119097%, 1095
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 28357.59999974817, 0.028346618061264237%, 1092
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 47879.64299989678, 0.04786110083504284%, 1092
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 52372.71699993312, 0.05235243481962397%, 1092
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 50325.97099999711, 0.0503064814551248%, 1092
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 22242.460000008345, 0.02223384624822915%, 1092
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 27180.91100001149, 0.027170384753342446%, 1092
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 48219.84499990009, 0.04820117108632847%, 1092
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 47822.28799988143, 0.04780376804667734%, 1092
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 328980.13299969584, 0.3288527301312207%, 1092
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 590646.6689996812, 0.5904179315400672%, 1092
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 569644.6359997224, 0.5694240319165028%, 1092
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 395676.5859999452, 0.3955233538531125%, 1092
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 400976.1470001489, 0.400820862512748%, 1092
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 398884.88800011575, 0.3987304133865297%, 1092
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 400442.4520001486, 0.40028737419475385%, 1092
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 30849.789000298828, 0.030837841921383596%, 1092
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 42556.972000133246, 0.04254049112556797%, 1091
('aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 14036.60899990167, 0.01403117309642037%, 1089
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 67775.88600018434, 0.0677496386939682%, 1089
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 71469.94100006856, 0.07144226311140661%, 1089
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 50858.86599991657, 0.050839170082851%, 1089
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 28594.28400003165, 0.02858321040184692%, 728
('aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 13965.498999953328, 0.013960090634967707%, 726
('aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty'), 11015.737000091001, 0.011011470978068994%, 726
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 11377.870000040159, 0.011373463736166638%, 507
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 11418.726000029594, 0.011414303914010385%, 507
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 11475.232000026852, 0.011470788031146753%, 507
('aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 16414634.542999905, 16.408277710729575%, 363
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 24609358.15199991, 24.599827780693566%, 363
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty'), 16404289.812999975, 16.39793698689337%, 363
('aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty'), 8201176.619999956, 8.198000581931236%, 363
('aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select'), 8202789.292999947, 8.199612630397569%, 363
('aten::empty', 'aten::empty', 'aten::select', 'aten::as_strided'), 3560.422999998511, 0.003559044168702382%, 363
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like'), 5945.877000006687, 0.005943574363131645%, 363
('aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty'), 8880.955999967366, 0.008877516706357502%, 363
('aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select'), 9039.556999975888, 0.009036056285567877%, 363
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::relu_'), 524075.96800013026, 0.523873011119381%, 363
('aten::select', 'aten::as_strided', 'aten::relu_', 'aten::threshold_'), 1041334.5410001422, 1.0409312673849365%, 363
('aten::native_batch_norm_backward', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 10248328.228000052, 10.24435939741622%, 363
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 4952.691000063904, 0.004950772990504099%, 363
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::select'), 4629.136000025086, 0.004627343292363419%, 363
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 26334784.040999997, 26.324585470658057%, 360
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 19750694.741999988, 19.743045966550955%, 360
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 13166272.698999938, 13.161173847304294%, 360
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty', 'aten::as_strided_'), 6509511.597999975, 6.506990684525975%, 360
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 7197021.480000092, 7.194234317223212%, 357
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution'), 13409373.573000079, 13.40418057656568%, 357
('aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 19126135.415000018, 19.118728510234988%, 357
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 12892473.148999965, 12.88748033060104%, 357
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 6174500.167999968, 6.172108993111591%, 357
