kList(3),            Time(us),                Time%,   Calls (Top 161, sorted by time)
-------------------------------------------------------------
('aten::conv2d', 'aten::convolution', 'aten::_convolution'), 19756008.562000014, 19.748357728688383%, 360
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 19747056.806000024, 19.739409439400447%, 360
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty'), 18729313.376999952, 18.72206014797654%, 345
('aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 16414218.095999923, 16.407861425005418%, 363
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 16409465.56699993, 16.40311073649902%, 363
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 16403821.939999947, 16.39746929508472%, 363
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 13165470.730999958, 13.160372189879372%, 360
('aten::threshold_', 'aten::conv2d', 'aten::convolution'), 12915772.794000011, 12.910770952437344%, 357
('aten::native_batch_norm_backward', 'aten::empty_like', 'aten::empty'), 10247084.816000018, 10.24311646694756%, 363
('aten::empty', 'aten::native_batch_norm', 'aten::empty'), 8200776.904999986, 8.197601021727355%, 363
('aten::native_batch_norm', 'aten::empty', 'aten::empty'), 8200760.172999974, 8.197584296207081%, 363
('aten::relu_', 'aten::threshold_', 'aten::conv2d'), 7196871.314000048, 7.194084209377377%, 357
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 6725439.720999965, 6.722835185873787%, 357
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 6583215.382999934, 6.580665926545113%, 360
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 6508782.867000013, 6.506262235738857%, 360
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 6172026.818999986, 6.169636601955947%, 357
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 6170525.745999951, 6.168136110270668%, 357
('aten::resize_', 'aten::add', 'aten::batch_norm'), 5835426.929999978, 5.83316706669796%, 186
('aten::select', 'aten::as_strided', 'aten::select'), 4334461.463993637, 4.332782873804094%, 751743
('aten::as_strided', 'aten::select', 'aten::as_strided'), 2908326.624995632, 2.907200328549982%, 751743
('aten::as_strided_', 'aten::add', 'aten::batch_norm'), 2377601.12899998, 2.376680364572164%, 177
('aten::cat', 'aten::_cat', 'aten::empty'), 2083317.4520000552, 2.082510653677892%, 186
('aten::as_strided_', 'aten::cat', 'aten::_cat'), 2033766.1540000527, 2.032978545218134%, 174
('aten::add', 'aten::add', 'aten::add'), 1360364.8749997942, 1.3598380517364332%, 1269
('aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices'), 1202497.0679999995, 1.2020313815939565%, 3
('aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty'), 1174882.6179999975, 1.1744276257356014%, 3
('aten::_cat', 'aten::empty', 'aten::resize_'), 1041594.4090000784, 1.0411910347467936%, 186
('aten::as_strided', 'aten::relu_', 'aten::threshold_'), 1040461.8680001074, 1.0400589323416116%, 363
('aten::empty', 'aten::as_strided_', 'aten::cat'), 1020414.3349999903, 1.020019163072352%, 174
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 676017.8170000035, 0.6757560181848569%, 3
('aten::relu_', 'aten::threshold_', 'aten::max_pool2d'), 642780.0099999984, 0.6425310830622961%, 3
('aten::zero_', 'aten::conv2d', 'aten::convolution'), 615393.7130000014, 0.615155391848013%, 2
('aten::mkldnn_convolution_backward', 'aten::contiguous', 'aten::empty_like'), 597931.7730000112, 0.597700214266242%, 12
('aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty'), 587435.7370000016, 0.5872082430256506%, 3
('aten::div', 'aten::to', 'aten::empty_strided'), 575750.9849997852, 0.5755280161343175%, 1095
('aten::empty', 'aten::div', 'aten::to'), 568869.1759997644, 0.568648872225951%, 1092
('aten::select', 'aten::as_strided', 'aten::relu_'), 523895.6190001396, 0.5236927319624526%, 363
('aten::empty', 'aten::zero_', 'aten::fill_'), 434801.8430000078, 0.4346334589656548%, 12
('aten::zero_', 'aten::fill_', 'aten::resize_as_'), 434758.63299999945, 0.4345902656994166%, 12
('aten::as_strided', 'aten::add', 'aten::add'), 417054.78099995013, 0.4168932698019146%, 162
('aten::empty', 'aten::add_', 'aten::to'), 398156.29500011913, 0.39800210254593676%, 1092
('aten::add_', 'aten::to', 'aten::empty_strided'), 397804.6830001008, 0.39765062671334284%, 1092
('aten::copy_', 'aten::empty', 'aten::add_'), 394901.1259999871, 0.3947481941625606%, 1092
('aten::max_pool2d_with_indices_backward', 'aten::zeros_like', 'aten::empty_like'), 360391.7669999972, 0.36025219946905856%, 3
('aten::slice', 'aten::as_strided', 'aten::add'), 358986.33900000807, 0.35884731574375556%, 174
('aten::avg_pool2d_backward', 'aten::zeros_like', 'aten::empty_like'), 321747.00199998077, 0.32162240027827704%, 9
('aten::sqrt', 'aten::empty', 'aten::div'), 318767.2609997131, 0.31864381323082497%, 1092
('aten::copy_', 'aten::mkldnn_convolution_backward_input', 'aten::empty'), 314259.9430000149, 0.3141382407628008%, 12
('aten::empty', 'aten::copy_', 'aten::mkldnn_convolution_backward_input'), 314212.2439999981, 0.314090560234992%, 12
('aten::fill_', 'aten::zero_', 'aten::conv2d'), 308432.32199999876, 0.3083128766031143%, 2
('aten::to', 'aten::empty_strided', 'aten::copy_'), 302762.9649999542, 0.3026457151531099%, 4374
('aten::zeros_like', 'aten::empty_like', 'aten::empty'), 218179.92699998245, 0.2180954333003476%, 15
('aten::empty_like', 'aten::empty', 'aten::zero_'), 217837.51599999145, 0.21775315490454522%, 15
('aten::fill_', 'aten::resize_as_', 'aten::resize_'), 217399.95900001004, 0.21731576735557717%, 12
('aten::empty', 'aten::as_strided_', 'aten::avg_pool2d'), 171963.41000001295, 0.17189681439283447%, 9
('aten::avg_pool2d', 'aten::empty', 'aten::resize_'), 171881.72199999844, 0.17181515802781697%, 9
('aten::as_strided_', 'aten::avg_pool2d', 'aten::empty'), 171790.38500000956, 0.17172385639955612%, 9
('aten::empty', 'aten::conv2d', 'aten::convolution'), 130078.742, 0.1300283669068072%, 1
('aten::resize_', 'aten::zero_', 'aten::fill_'), 114438.06200000923, 0.1143937440126931%, 12
('aten::mul_', 'aten::to', 'aten::empty_strided'), 65175.57099999301, 0.06515033070774742%, 2184
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 65144.89700013772, 0.06511966858689384%, 1089
('aten::resize_as_', 'aten::resize_', 'aten::zero_'), 57359.81500000041, 0.057337601485465135%, 15
('aten::addcdiv', 'aten::mul_', 'aten::to'), 50083.6249999702, 0.0500642293074995%, 1089
('aten::resize_', 'aten::cat', 'aten::_cat'), 49735.83699998984, 0.049716575994037795%, 12
('aten::add_', 'aten::mul_', 'aten::to'), 49587.41199996881, 0.04956820847399461%, 1092
('aten::copy_', 'aten::add_', 'aten::mul_'), 47098.29599995352, 0.04708005642434154%, 1092
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 46463.10899995081, 0.046445115410760816%, 1092
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 41828.97300014086, 0.04181277405494318%, 1091
('aten::addcmul', 'aten::sqrt', 'aten::empty'), 33349.54399983026, 0.03333662885042846%, 1092
('aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 26442.35199998319, 0.02643211177221226%, 1092
('aten::zero_', 'aten::fill_', 'aten::zeros_like'), 25208.445000018924, 0.02519868262265736%, 220
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 24774.76800013706, 0.02476517357119619%, 1092
('aten::narrow', 'aten::slice', 'aten::as_strided'), 22900.013000070117, 0.022891144600274284%, 1791
('aten::empty_strided', 'aten::copy_', 'aten::add_'), 21977.273999823257, 0.02196876294560454%, 1092
('aten::empty_strided', 'aten::zero_', 'aten::fill_'), 19271.81899999082, 0.019264355676905185%, 220
('aten::slice', 'aten::as_strided', 'aten::narrow'), 18715.15100002289, 0.018707903255608633%, 1605
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 18025.144000008702, 0.0180181634719466%, 728
('aten::as_strided', 'aten::narrow', 'aten::slice'), 17118.82400006801, 0.017112194459060037%, 1605
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 16968.039000028744, 0.016961467852946728%, 1092
('aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 16403.726000038907, 0.016397373392277977%, 220
('aten::zero_', 'aten::fill_', 'aten::zero_'), 15407.31500002183, 0.01540134826850949%, 220
('aten::zero_', 'aten::zero_', 'aten::fill_'), 15370.047999996692, 0.015364095700731852%, 220
('aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 14043.061000026762, 0.014037622597904233%, 728
('aten::resize_', 'aten::resize_', 'aten::cat'), 13255.080999996339, 0.013249947755852165%, 3
('aten::empty_like', 'aten::empty', 'aten::select'), 12903.084000005649, 0.01289808707238334%, 726
('aten::empty', 'aten::resize_', 'aten::cat'), 11908.337999993004, 0.01190372630382115%, 9
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_'), 11681.06500000786, 0.011676541318974977%, 364
('aten::empty', 'aten::select', 'aten::as_strided'), 11183.430999956938, 0.011179100035725763%, 1089
('aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 10870.525000028312, 0.010866315213698035%, 507
('aten::zero_', 'aten::zero_', 'aten::zero_'), 9882.470000024885, 0.00987864285394727%, 286
('aten::empty_like', 'aten::empty', 'aten::empty_like'), 9864.477000086568, 0.009860656822088709%, 726
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 9708.06700002402, 0.009704307394324204%, 507
('aten::contiguous', 'aten::empty_like', 'aten::empty'), 8073.081000005826, 0.008069954569034282%, 12
('aten::as_strided', 'aten::empty_like', 'aten::empty'), 8017.587999946176, 0.008014483059534937%, 363
('aten::empty_like', 'aten::empty', 'aten::copy_'), 7775.633000006899, 0.007772621760576182%, 12
('aten::to', 'aten::div', 'aten::to'), 7463.987999992445, 0.007461097450120049%, 3
('aten::as_strided', 'aten::to', 'aten::div'), 7432.680999992415, 0.007429802574261277%, 3
('aten::fill_', 'aten::zero_', 'aten::zero_'), 7398.361000025645, 0.00739549586526865%, 218
