kList(2),            Time(us),                Time%,   Calls (Top 149, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided'), 166.0069999999988, 2.12584497173704%, 30
('aten::transpose', 'aten::as_strided'), 194.3760000000002, 2.4891314355802%, 28
('aten::empty', 'aten::empty'), 51.59199999999663, 0.6606745124112295%, 27
('aten::t', 'aten::transpose'), 424.6000000000013, 5.437323576713972%, 24
('aten::empty', 'aten::resize_'), 46.50099999999952, 0.5954804136617359%, 20
('aten::sparse_dim', 'aten::select'), 80.483000000002, 1.0306455803690062%, 18
('aten::empty_strided', 'aten::copy_'), 96.20699999999829, 1.232003272126496%, 17
('aten::_indices', 'aten::_values'), 41.101000000003296, 0.5263293366145506%, 15
('aten::slice', 'aten::as_strided'), 96.76899999999887, 1.2392001064414193%, 14
('aten::empty', 'aten::t'), 141.44300000000152, 1.8112844057022144%, 12
('aten::narrow', 'aten::slice'), 167.9769999999985, 2.151072309104267%, 12
('aten::reshape', 'aten::view'), 93.00100000000043, 1.1909480215684807%, 11
('aten::as_strided', 'aten::conj'), 16.6099999999999, 0.2127035906952856%, 11
('aten::new_empty_strided', 'aten::empty_strided'), 80.21599999999967, 1.0272264437816412%, 10
('aten::as_strided', 'aten::copy_'), 47.99500000000043, 0.6146122116448155%, 9
('aten::conj', 'aten::mm'), 104.48700000000008, 1.3380349235989435%, 9
('aten::mm', 'aten::empty'), 110.72400000000084, 1.417904417588508%, 9
('aten::_nnz', 'aten::sparse_dim'), 8.231999999999061, 0.10541697523199288%, 9
('aten::as_strided', 'aten::sparse_dim'), 7.636999999998807, 0.09779755100178518%, 9
('aten::as_strided', 'aten::add_'), 36.76600000000053, 0.4708163886515972%, 9
('aten::add_', 'aten::_nnz'), 35.08299999999781, 0.44926430297184117%, 9
('aten::empty', 'aten::zero_'), 44.90000000000123, 0.5749783998927538%, 8
('aten::empty', 'aten::fill_'), 29.675000000000182, 0.3800107798845681%, 8
('aten::add_', 'aten::add_'), 45.53600000000279, 0.5831228600783368%, 8
('aten::zeros', 'aten::empty'), 92.86600000000067, 1.1892192446423029%, 7
('aten::to', 'aten::empty_strided'), 71.03699999999913, 0.9096824185563459%, 7
('aten::empty_like', 'aten::empty'), 47.462000000000444, 0.6077867442251534%, 7
('aten::as_strided', 'aten::narrow'), 52.41599999999926, 0.6712264545384707%, 7
('aten::sum', 'aten::empty'), 88.61500000000001, 1.134781980100111%, 6
('aten::resize_', 'aten::resize_'), 4.890999999998712, 0.06263294774776484%, 6
('aten::_values', 'aten::_indices'), 13.802999999999429, 0.17675783638572684%, 6
