kList(1),            Time(us),                Time%,   Calls (Top 68, sorted by time)
-------------------------------------------------------------
('aten::add_',), 828.4440000000027, 10.608850902466394%, 21
('aten::add',), 754.259, 9.658855967142467%, 5
('aten::_embedding_bag_backward',), 688.2580000000003, 8.813663330810162%, 3
('aten::coalesce',), 444.5310000000004, 5.692555079793296%, 3
('aten::_embedding_bag_sparse_backward',), 403.6869999999999, 5.169516822216029%, 3
('aten::embedding_sparse_backward',), 286.97100000000046, 3.6748803206151273%, 3
('aten::embedding_bag',), 284.8279999999999, 3.6474375876313756%, 3
('aten::t',), 282.01200000000074, 3.6113765815267547%, 24
('aten::_embedding_bag',), 262.14699999999993, 3.356990258277986%, 3
('aten::sort',), 204.45199999999932, 2.618162223048323%, 3
('aten::addmm',), 200.86899999999983, 2.572279202851989%, 5
('aten::arange',), 198.28599999999824, 2.5392019376643753%, 6
('aten::clone',), 172.78499999999985, 2.21264237918634%, 3
('aten::transpose',), 172.5010000000005, 2.2090055447638637%, 28
('aten::select',), 148.08899999999994, 1.8963914534903266%, 30
('aten::empty',), 131.22900000000004, 1.680486424042854%, 106
('aten::copy_',), 118.81800000000058, 1.5215541986293026%, 29
('aten::mm',), 97.17900000000031, 1.244450465995024%, 9
('aten::narrow',), 95.75499999999874, 1.2262150708625483%, 12
('aten::_sparse_coo_tensor_unsafe',), 93.32600000000002, 1.1951098919463181%, 3
('aten::mse_loss',), 91.78500000000008, 1.17537622347784%, 1
('aten::index_select',), 87.30999999999949, 1.1180704698136896%, 3
('aten::slice',), 86.02699999999959, 1.1016406861374686%, 14
('aten::sum',), 83.47600000000057, 1.0689732051101677%, 6
('aten::bmm',), 81.899, 1.0487785294613665%, 3
('aten::zeros',), 79.77100000000041, 1.0215278828027583%, 7
('aten::relu',), 76.56800000000001, 0.9805110495097367%, 5
('aten::to',), 72.31499999999983, 0.9260481734575335%, 20
('aten::cumsum',), 69.22400000000016, 0.886465584725501%, 3
('aten::as_strided',), 68.24999999999909, 0.8739927793469677%, 86
('aten::_sparse_coo_tensor_with_dims_and_tensors',), 67.95099999999957, 0.8701638585993585%, 3
('aten::mean',), 67.875, 0.8691906212186993%, 1
('aten::reshape',), 66.75099999999998, 0.8547969525888673%, 11
('aten::new_empty_strided',), 66.35400000000072, 0.8497130678504045%, 10
('aten::view',), 61.65500000000043, 0.7895388250642987%, 17
('aten::cat',), 60.19800000000009, 0.7708808400165501%, 2
('aten::index',), 53.896999999999935, 0.6901917777064336%, 1
('aten::ones_like',), 42.322000000000344, 0.5419651634801929%, 4
('aten::empty_like',), 40.08300000000099, 0.5132930780156167%, 8
('aten::_cat',), 39.254999999999995, 0.5026899128683615%, 2
('aten::mse_loss_backward',), 38.02399999999989, 0.48692602845259264%, 2
('aten::threshold_backward',), 37.840000000000146, 0.48456976953098646%, 5
('aten::threshold',), 37.58900000000017, 0.48135552502379125%, 5
('aten::resize_',), 35.49199999999996, 0.4545018567704463%, 35
('aten::div_',), 35.25800000000004, 0.4515053100984005%, 1
('aten::_index_put_impl_',), 31.039999999999964, 0.3974906354715049%, 1
('aten::_cumsum',), 29.467999999999847, 0.3773599885977532%, 3
('aten::slice_backward',), 28.110000000000127, 0.3599697732958784%, 1
('aten::expand',), 27.173000000000144, 0.34797078085268274%, 5
('aten::fill_',), 26.04700000000048, 0.33355150071283796%, 10
('aten::zero_',), 25.780000000000882, 0.33013236412550767%, 8
('aten::squeeze',), 24.5979999999995, 0.3149959617051511%, 3
('aten::empty_strided',), 23.751999999998134, 0.30416229296773367%, 18
('aten::_indices',), 22.55100000000084, 0.28878258120226324%, 18
('aten::_values',), 21.80600000000186, 0.2792422937207598%, 18
('aten::new_zeros',), 21.445999999999913, 0.274632221917586%, 1
('aten::sub_',), 16.337000000000444, 0.20920761957790462%, 3
('aten::zeros_like',), 16.220000000000027, 0.2077093462418759%, 1
('aten::resize_as_',), 13.778000000000247, 0.17643769251051863%, 3
('aten::index_add_',), 12.881000000000313, 0.1649509302676735%, 3
('aten::sparse_dim',), 12.263000000001284, 0.1570369736722803%, 27
('aten::is_coalesced',), 11.03800000000183, 0.14134992378657227%, 6
('aten::conj',), 8.60499999999979, 0.11019352185026483%, 11
('aten::_nnz',), 8.333999999997104, 0.10672316224286%, 21
('aten::detach_',), 3.1370000000000573, 0.04017165346243992%, 2
('aten::_coalesced_',), 2.830999999999676, 0.03625309242975847%, 6
('aten::dense_dim',), 2.412999999999556, 0.03090028683610071%, 6
('aten::broadcast_tensors',), 1.4600000000000364, 0.018696402312771015%, 1
Total time: 7808.989000000012us
