kList(3),            Time(us),                Time%,   Calls (Top 120, sorted by calls)
-------------------------------------------------------------
('aten::zeros', 'aten::empty', 'aten::zero_'), 9607.837999999998, 24.495520301093983%, 5
('aten::t', 'aten::transpose', 'aten::as_strided'), 70.37, 0.1794107856094143%, 5
('aten::empty', 'aten::t', 'aten::transpose'), 55.47799999999995, 0.1414431087684962%, 3
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_'), 8596.837, 21.9179377565167%, 3
('aten::empty_like', 'aten::empty_strided', 'aten::fill_'), 18.676999999999992, 0.04761766722789583%, 2
('aten::zero_', 'aten::ones_like', 'aten::empty_like'), 30.708999999999975, 0.0782936736575174%, 2
('aten::ones_like', 'aten::empty_like', 'aten::empty'), 28.76400000000004, 0.07333482787081426%, 2
('aten::empty_like', 'aten::empty', 'aten::fill_'), 13.682000000000073, 0.034882739359215854%, 2
('aten::to', 'aten::empty_strided', 'aten::copy_'), 29.90800000000013, 0.07625149603533304%, 2
('aten::empty', 'aten::empty', 'aten::resize_'), 33.160999999999376, 0.08454513374440352%, 2
('aten::transpose', 'aten::as_strided', 'aten::conj'), 9.802000000000021, 0.024990543136897577%, 2
('aten::as_strided', 'aten::conj', 'aten::mm'), 29.566000000000145, 0.07537955502810813%, 2
('aten::conj', 'aten::mm', 'aten::empty'), 33.785000000000196, 0.08613604365232481%, 2
('aten::mm', 'aten::empty', 'aten::t'), 48.32300000000009, 0.12320118506471145%, 2
('aten::empty', 'aten::embedding_bag', 'aten::_embedding_bag'), 720.63, 1.8372714854868868%, 1
('aten::embedding_bag', 'aten::_embedding_bag', 'aten::zeros'), 725.554, 1.8498253963628388%, 1
('aten::_embedding_bag', 'aten::zeros', 'aten::empty'), 365.20500000000004, 0.931102969425695%, 1
('aten::empty', 'aten::zero_', 'aten::slice'), 9.176000000000045, 0.023394534158760746%, 1
('aten::zero_', 'aten::slice', 'aten::as_strided'), 9.945000000000022, 0.0253551266574624%, 1
('aten::slice', 'aten::as_strided', 'aten::slice'), 12.897999999999996, 0.03288390383388127%, 1
