kList(1),            Time(us),                Time%,   Calls (Top 51, sorted by time)
-------------------------------------------------------------
('aten::copy_',), 8572.23, 21.855201346093356%, 10
('aten::_embedding_bag_backward',), 5457.028, 13.912884475949566%, 1
('aten::_embedding_bag_dense_backward',), 5441.224, 13.87259162308938%, 1
('aten::zeros',), 4822.774, 12.295831635024264%, 5
('aten::zero_',), 4761.110999999999, 12.13861965160756%, 8
('aten::fill_',), 4759.156000000001, 12.133635310469773%, 6
('aten::add_',), 3563.3700000000026, 9.08493692080459%, 2
('aten::embedding_bag',), 361.68, 0.9221158581670167%, 1
('aten::_embedding_bag',), 356.88, 0.9098780896445613%, 1
('aten::sort',), 168.45800000000054, 0.4294895853657924%, 1
('aten::dropout',), 103.55000000000007, 0.26400436052088766%, 1
('aten::empty',), 67.16899999999956, 0.17124972372600072%, 31
('aten::t',), 46.49000000000001, 0.11852788721019855%, 5
('aten::addmm',), 42.134000000000015, 0.10742211227607026%, 1
('aten::bernoulli_',), 40.07400000000007, 0.10217006995184995%, 1
('aten::empty_like',), 37.724999999999966, 0.09618121198117306%, 7
('aten::new_empty_strided',), 36.059999999999945, 0.09193623602494629%, 3
('aten::resize_',), 35.97300000000092, 0.09171442647047927%, 8
('aten::arange',), 35.21699999999964, 0.08978697792818928%, 2
('aten::nll_loss',), 33.548, 0.08553180383152809%, 1
('aten::div_',), 30.153999999999996, 0.07687868167210854%, 2
('aten::empty_strided',), 29.621999999999275, 0.07552232899420123%, 7
('aten::log_softmax',), 26.879999999999995, 0.0685315037257504%, 1
('aten::ones_like',), 26.597999999999956, 0.06781253482505605%, 3
('aten::nll_loss_forward',), 26.357000000000085, 0.06719809686382475%, 1
('aten::mm',), 26.15700000000004, 0.06668818984205566%, 2
('aten::nll_loss_backward',), 26.124000000000024, 0.06660405518346374%, 1
('aten::mul',), 24.989999999999895, 0.06371288237003331%, 2
('aten::cumsum',), 21.95599999999996, 0.05597759284979812%, 1
('aten::to',), 21.228000000000065, 0.054121531290559306%, 3
('aten::transpose',), 20.289999999999964, 0.05173006735846255%, 5
('aten::_log_softmax',), 20.148000000000025, 0.05136803337300673%, 1
('aten::max',), 16.50799999999998, 0.04208772557681125%, 1
('aten::sum',), 16.0, 0.0407925617415181%, 1
('aten::as_strided',), 14.61700000000016, 0.03726655468598604%, 15
('aten::_log_softmax_backward_data',), 13.983999999999924, 0.03565269896208662%, 1
('aten::slice',), 13.785000000000025, 0.03514534147542676%, 3
('aten::_cumsum',), 13.733000000000004, 0.03501276564976676%, 1
('aten::sub',), 12.242999999999995, 0.03121395833758787%, 1
('aten::select',), 11.83499999999998, 0.03017374801317912%, 3
('aten::index_select',), 10.714999999999236, 0.027318268691270957%, 1
('aten::zeros_like',), 10.653999999999996, 0.027162747049633354%, 1
('aten::expand_as',), 7.040999999999997, 0.017951276701376803%, 1
('aten::expand',), 6.82000000000005, 0.017387829442322218%, 2
('aten::sub_',), 5.909000000000049, 0.015065202958164527%, 2
('aten::maximum',), 5.4950000000000045, 0.014009695423102634%, 1
('aten::unsqueeze',), 4.158999999999992, 0.01060351651768584%, 1
('aten::resize_as_',), 4.11099999999999, 0.010481138832461281%, 1
('aten::view',), 3.8179999999999836, 0.009734125045569714%, 1
('aten::conj',), 2.675999999999931, 0.006822555951268726%, 3
('aten::index_add_',), 2.3839999999999577, 0.00607809169948609%, 1
Total time: 39222.836999999985us
