kList(1),            Time(us),                Time%,   Calls (Top 64, sorted by calls)
-------------------------------------------------------------
('aten::as_strided',), 278892.84199997934, 2.0119322610335684%, 420544
('aten::select',), 1307615.7019999376, 9.43313638679879%, 418688
('aten::empty',), 34962.00300004275, 0.25221580174561675%, 21163
('aten::empty_like',), 17451.35199998285, 0.12589400945407117%, 4101
('aten::copy_',), 8320.67400000876, 0.060025321317361345%, 3524
('aten::as_strided_',), 3721.415000002555, 0.02684627845414524%, 3520
('aten::empty_strided',), 2866.64100000905, 0.02067994096714811%, 3369
('aten::to',), 19832.014999998777, 0.1430681063510484%, 3155
('aten::mul',), 44363.61499999658, 0.3200390070770352%, 2880
('aten::sub',), 26895.355999983654, 0.1940230305672523%, 2880
('aten::conv2d',), 1003542.7779999985, 7.239555077521835%, 1408
('aten::convolution',), 997443.9449999995, 7.195558111592694%, 1408
('aten::_convolution',), 991814.4610000087, 7.154947028169641%, 1408
('aten::mkldnn_convolution',), 981349.0589999983, 7.079449644452248%, 1408
('aten::relu_',), 77254.59100000322, 0.5573144252510845%, 1408
('aten::threshold_',), 65790.69600000085, 0.47461391554202625%, 1408
('aten::batch_norm',), 1933019.5990000102, 13.944798527452276%, 1408
('aten::_batch_norm_impl_index',), 1926178.4820000036, 13.895446726613228%, 1408
('aten::native_batch_norm',), 1915910.2069999962, 13.821371416578272%, 1408
('aten::resize_',), 1031.6880000035753, 0.0074425946382967656%, 1280
('aten::t',), 7305.9399999983425, 0.05270503279239179%, 1120
('aten::transpose',), 3150.678000007394, 0.02272898317104914%, 1120
('aten::native_batch_norm_backward',), 1093428.1839999987, 7.887988170428228%, 768
('aten::threshold_backward',), 45090.80100000242, 0.32528492505288564%, 768
('aten::mkldnn_convolution_backward',), 497722.9820000016, 3.590572340840886%, 768
('aten::mkldnn_convolution_backward_weights',), 271604.44699999876, 1.9593537978271953%, 768
('aten::view',), 3494.7920000014346, 0.025211420701881742%, 736
('aten::mkldnn_convolution_backward_input',), 218049.41000000312, 1.5730078955499844%, 576
('aten::add',), 4258.849000007085, 0.030723325979034773%, 564
('aten::fill_',), 979.0390000016605, 0.0070627848846458756%, 549
('aten::zero_',), 383.7840000024371, 0.0027686168111602785%, 422
('aten::conj',), 284.10800000087147, 0.0020495543977407664%, 385
('aten::mm',), 3516.7610000058194, 0.025369905012681913%, 384
('aten::sum',), 6947.4710000013165, 0.05011903832762703%, 384
('aten::eq',), 3418.344000000925, 0.02465992502207318%, 384
('aten::addmm',), 11176.763999994468, 0.08062914739686694%, 352
('aten::expand',), 1171.613000004525, 0.008452013236523297%, 352
('aten::log_softmax',), 6694.10199999693, 0.048291234998581116%, 352
('aten::_log_softmax',), 5700.921999997513, 0.04112643697550279%, 352
('aten::nll_loss',), 6329.972999996091, 0.04566440930801845%, 352
('aten::nll_loss_forward',), 5462.864000005267, 0.03940908716205163%, 352
('aten::zeros_like',), 1849.103999999189, 0.013339431607229486%, 228
('aten::add_',), 1719.459999997227, 0.012404180117148566%, 222
('aten::nll_loss_backward',), 3953.5319999983285, 0.028520769908557897%, 192
('aten::resize_as_',), 585.850999996037, 0.004226327641104862%, 192
('aten::_log_softmax_backward_data',), 1912.6419999988248, 0.013797794579488298%, 192
('aten::reshape',), 921.8950000034147, 0.006650548212322168%, 192
('aten::softmax',), 3677.304000000644, 0.026528061811029298%, 192
('aten::_softmax',), 3127.3589999947, 0.022560759963583008%, 192
('aten::argmax',), 5652.698000001481, 0.04077854916076961%, 192
('aten::is_floating_point',), 80.51699999629272, 0.0005808494355484141%, 192
('aten::item',), 862.3879999974888, 0.006221264863883789%, 192
('aten::_local_scalar_dense',), 320.1770000011493, 0.002309756073063018%, 192
('aten::ones_like',), 1518.4730000016007, 0.010954260404474177%, 161
('aten::mul_',), 384.0709999995306, 0.002770687228417775%, 36
('aten::div',), 314.8950000004843, 0.002271651738337504%, 21
('aten::new_empty_strided',), 55.8070000000298, 0.0004025915576978796%, 18
('aten::addcmul_',), 100.63299999758601, 0.0007259662089848448%, 18
('aten::addcmul',), 44.87399999983609, 0.0003237209231827371%, 18
('aten::sqrt',), 179.87799999956042, 0.0012976394397721351%, 18
('aten::addcdiv_',), 145.40999999828637, 0.0010489873744176808%, 18
('aten::addcdiv',), 87.13600000180304, 0.0006285988849475799%, 18
('aten::zeros',), 13.526000000536442, 9.757652999864853e-05%, 2
('aten::detach_',), 2.7939999997615814, 2.0155908973986947e-05%, 1
Total time: 13861939.956999682us
