kList(5),            Time(us),                Time%,   Calls (Top 180, sorted by time)
-------------------------------------------------------------
('aten::threshold_', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 5842858.403000006, 42.15036582992567%, 1408
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty'), 5778915.85599999, 41.68908445662316%, 1408
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 4200846.509999742, 30.304896161943734%, 410624
('aten::relu_', 'aten::threshold_', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 4004202.7870000163, 28.886308838598502%, 1408
('aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 4003786.518000031, 28.883305875079134%, 1408
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 3980979.0760000115, 28.718773045830346%, 1408
('aten::as_strided', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 3975143.7560000033, 28.67667706202065%, 1408
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty'), 3847275.481, 27.75423564763958%, 1408
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 3373845.245999761, 24.33891112258147%, 410624
('aten::select', 'aten::as_strided', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 2998588.783, 21.63181194191973%, 1408
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 2978979.448000026, 21.49035024852903%, 1408
('aten::empty', 'aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::batch_norm'), 2084436.8690000335, 15.03712233255983%, 1408
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::relu_'), 2058790.0940000294, 14.852106562187418%, 1408
('aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select', 'aten::as_strided'), 1927360.5959999873, 13.903974494037202%, 1408
('aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select'), 1927360.036999987, 13.903970461412603%, 1408
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::conv2d', 'aten::convolution'), 1431257.3789999948, 10.32508713383419%, 1056
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::relu_', 'aten::threshold_'), 1132766.3290000218, 8.171773449559804%, 1408
('aten::native_batch_norm_backward', 'aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty'), 1101024.0259999982, 7.942784555519797%, 768
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 849981.8429999988, 6.131766878493761%, 576
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::conv2d'), 721879.2909999928, 5.207635390423653%, 1056
('aten::empty', 'aten::select', 'aten::as_strided', 'aten::conv2d', 'aten::convolution'), 464935.5369999957, 3.3540437950405586%, 160
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 424468.6719999956, 3.0621159326668215%, 576
