kList(1),            Time(us),                Time%,   Calls (Top 60, sorted by calls)
-------------------------------------------------------------
('aten::as_strided',), 487626.8079997455, 1.5220984483477829%, 341310
('aten::select',), 1145198.7629998997, 3.574670694095345%, 341280
('aten::empty',), 16130.201000061414, 0.05034947527688869%, 2823
('aten::empty_strided',), 3347.4620000359137, 0.010448906074418472%, 2382
('aten::copy_',), 7853.447999970755, 0.02451407678747171%, 2066
('aten::to',), 10488.31100002653, 0.032738646926355405%, 1908
('aten::add_',), 22380.737000029534, 0.06986015637729776%, 1264
('aten::mul_',), 19743.377000018954, 0.06162779199967579%, 951
('aten::empty_like',), 7800.748000002073, 0.024349576832046166%, 949
('aten::zero_',), 10102.55400001019, 0.0315345291019628%, 644
('aten::div',), 21711.173999975203, 0.06777015478851242%, 477
('aten::addcmul_',), 8592.663999992423, 0.02682149612571987%, 474
('aten::addcmul',), 7183.869999986142, 0.02242402837728479%, 474
('aten::sqrt',), 11237.174000010826, 0.03507617880852739%, 474
('aten::addcdiv_',), 11216.300999978557, 0.03501102496456257%, 474
('aten::addcdiv',), 9673.063000007533, 0.030193898164617518%, 473
('aten::as_strided_',), 1057.7320000030631, 0.00330164832933734%, 465
('aten::zeros_like',), 7463.10899999761, 0.023295656519263117%, 319
('aten::add',), 57029.0139999942, 0.17801271853011097%, 216
('aten::new_empty_strided',), 1320.5280000036582, 0.0041219506122936915%, 158
('aten::conv2d',), 1917504.9230000004, 5.985379023704248%, 156
('aten::convolution',), 1916375.8240000072, 5.981854607475021%, 156
('aten::_convolution',), 1915299.170999995, 5.978493898355172%, 156
('aten::mkldnn_convolution',), 1913323.3060000006, 5.972326351777959%, 156
('aten::batch_norm',), 2876793.2610000065, 8.979741242585156%, 156
('aten::_batch_norm_impl_index',), 2875851.8160000006, 8.976802577298086%, 156
('aten::native_batch_norm',), 2874249.9850000027, 8.971802555889063%, 156
('aten::native_batch_norm_backward',), 3347155.687999999, 10.447949939384616%, 156
('aten::mkldnn_convolution_backward',), 4902276.799999994, 15.302169175766933%, 156
('aten::mkldnn_convolution_backward_weights',), 3286004.753999996, 10.257070889608356%, 156
('aten::mkldnn_convolution_backward_input',), 1612992.276000003, 5.034860676687498%, 153
('aten::relu_',), 157796.85100000186, 0.49255360476693577%, 105
('aten::threshold_',), 155985.51100000786, 0.48689961331652604%, 105
('aten::threshold_backward',), 390796.8120000062, 1.2198493015683012%, 105
('aten::fill_',), 8225.820000011474, 0.025676414120390522%, 89
('aten::t',), 163.68899999954738, 0.0005109456018895527%, 15
('aten::transpose',), 73.73699999903329, 0.00023016571575451122%, 15
('aten::resize_',), 124.09600000083447, 0.0003873583772439665%, 9
('aten::conj',), 10.891999999061227, 3.3998738432739735e-05%, 9
('aten::zeros',), 58.39999999750398, 0.00018229217081879086%, 6
('aten::sum',), 1668.8189999999013, 0.005209120517579244%, 6
('aten::div_',), 219.64299999945797, 0.0006856027273418518%, 6
('aten::expand',), 35.05999999959022, 0.00010943773132029565%, 6
('aten::mm',), 7360.856999998679, 0.02297648290537331%, 6
('aten::unsqueeze',), 40.4850000012666, 0.00012637155027645658%, 6
('aten::mean',), 1780.7759999996051, 0.005558587719106257%, 3
('aten::dropout_',), 597.469000000041, 0.0018649644008834694%, 3
('aten::bernoulli_',), 405.79999999841675, 0.0012666808719373009%, 3
('aten::addmm',), 4535.994999998715, 0.014158842044662459%, 3
('aten::random_',), 34.13700000010431, 0.0001065566410192816%, 3
('aten::log_softmax',), 248.18399999849498, 0.0007746917829477754%, 3
('aten::_log_softmax',), 230.5599999993574, 0.00071967950180924%, 3
('aten::nll_loss',), 192.96200000029057, 0.0006023195525186967%, 3
('aten::nll_loss_forward',), 178.6870000003837, 0.000557760978228757%, 3
('aten::ones_like',), 32.16099999821745, 0.00010038867304158834%, 3
('aten::nll_loss_backward',), 238.175999999512, 0.0007434523986079287%, 3
('aten::resize_as_',), 11.631999999983236, 3.630860498376278e-05%, 3
('aten::_log_softmax_backward_data',), 191.3099999986589, 0.0005971629315169338%, 3
('aten::view',), 17.470999998040497, 5.4534700619075556e-05%, 3
('aten::mul',), 239.08000000170432, 0.0007462741815330465%, 3
Total time: 32036482.825999707us
