kList(5),            Time(us),                Time%,   Calls (Top 166, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 4399504.718999208, 13.732795647057488%, 340344
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 3743191.433999044, 11.684152265807402%, 340344
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 25904.78799996758, 0.08086027464583018%, 477
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 22716.071000047028, 0.07090688176796814%, 474
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 22212.933000056073, 0.06933636604461717%, 474
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 22105.833000040613, 0.06900205968334414%, 474
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 21698.491000059992, 0.06773056554900665%, 474
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 22003.034000026062, 0.06868117864102471%, 474
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 22267.734000004828, 0.06950742414811248%, 474
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 19855.55799997691, 0.061977958403919495%, 474
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 28445.987999990582, 0.08879248122988331%, 474
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 28850.10300000757, 0.09005390247331962%, 474
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 43328.18200000096, 0.13524637593748992%, 474
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 37106.58999999892, 0.11582604183342027%, 474
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 30254.392000021413, 0.09443730812880617%, 474
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 19858.99500000477, 0.0619886867976902%, 474
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 10841.39300000202, 0.033840771656754774%, 474
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 11068.742000037804, 0.03455042821072354%, 474
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 11412.344000034966, 0.03562296167784405%, 474
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 11344.563000022434, 0.035411387266318685%, 474
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 21996.208000000566, 0.06865987168275914%, 474
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 24919.871000001207, 0.07778591406350355%, 473
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 32307.332999979146, 0.10084544291410051%, 471
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 34340.28799998853, 0.10719119257410847%, 471
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 34288.226000002585, 0.10702868409816649%, 471
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 23878.709000037983, 0.07453598801632133%, 471
('aten::empty', 'aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 7590.342999981931, 0.023692809979196185%, 468
('aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 9128.834999986146, 0.028495122418923893%, 312
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 9014.694999995641, 0.028138841111108568%, 275
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 7771.930999993347, 0.024259626258616364%, 275
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 7273.4160000011325, 0.02270354095830482%, 275
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 10051.921000003815, 0.03137648116554799%, 275
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 3912.632000014186, 0.012213051043290022%, 174
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 7665689.7110000085, 23.92800031337647%, 156
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 5748561.885000008, 17.943798375815067%, 156
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::add'), 3834487.755, 11.96912837100851%, 156
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::add', 'aten::batch_norm'), 4795981.845000011, 14.970375715238493%, 156
('aten::empty', 'aten::as_strided_', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 5758510.355000012, 17.974851940758622%, 156
('aten::as_strided_', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 5755555.48900001, 17.96562850004558%, 156
('aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 8629428.377000012, 26.93625396979179%, 156
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty'), 8627458.337000016, 26.93010460561004%, 156
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty'), 5750839.512000018, 17.95090785475625%, 156
('aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select'), 2875838.1310000075, 8.976759860374175%, 156
('aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select', 'aten::as_strided'), 2875882.136999997, 8.976897222519165%, 156
('aten::empty', 'aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 2113.37899999609, 0.006596788453571889%, 156
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like'), 4214.71199999722, 0.013155976025485249%, 156
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty'), 6262.361000000004, 0.019547592143659687%, 156
('aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select'), 6681.035000001561, 0.02085445845066195%, 156
