kList(4),            Time(us),                Time%,   Calls (Top 158, sorted by time)
-------------------------------------------------------------
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 8627126.683000013, 26.929069367123326%, 156
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 7662503.224000003, 23.9180538813124%, 156
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 6463112.343999986, 20.174225676093087%, 153
('aten::as_strided_', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 5755323.868000006, 17.964905508694553%, 156
('aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 5755178.392000008, 17.964451413902726%, 156
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty'), 5750665.076000009, 17.95036336302488%, 156
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 5748184.788000006, 17.942621289672214%, 156
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 4846883.774999986, 15.129263100837095%, 153
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 3832186.0610000025, 11.961943768340051%, 156
('aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 3794181.0790000167, 11.843313448631102%, 102
('aten::native_batch_norm_backward', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 3351623.987000031, 10.461897472340404%, 156
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty', 'aten::as_strided_'), 3288398.400999995, 10.264542518166957%, 156
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 3260923.118999294, 10.178780038715239%, 340812
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 3256708.3439992974, 10.165623866038956%, 340344
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 3235054.346999971, 10.098032185900609%, 153
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 3232979.1079999804, 10.091554449217522%, 153
('aten::empty', 'aten::as_strided_', 'aten::add', 'aten::batch_norm'), 2882658.5390000106, 8.998049363460536%, 156
('aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select'), 2875606.5100000035, 8.976036869023151%, 156
('aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty'), 2874987.696000017, 8.974105277458161%, 156
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution'), 2737845.506000017, 8.546023984187414%, 102
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::add'), 1919188.5840000045, 5.990634472653337%, 156
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 1524637.1240000068, 4.759065257821198%, 102
('aten::as_strided', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 1093289.8870000006, 3.4126401856845665%, 21
('aten::add', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 864014.798999992, 2.696971461232902%, 30
('aten::select', 'aten::as_strided', 'aten::conv2d', 'aten::convolution'), 729045.0760000019, 2.275671396138199%, 21
('aten::as_strided', 'aten::add', 'aten::conv2d', 'aten::convolution'), 585762.4419999972, 1.8284230674804682%, 30
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::conv2d'), 364641.27199999907, 1.1382063192781848%, 21
('aten::select', 'aten::as_strided', 'aten::relu_', 'aten::threshold_'), 314120.53700000443, 0.9805088114887412%, 105
('aten::select', 'aten::as_strided', 'aten::add', 'aten::conv2d'), 307373.2550000034, 0.9594475669175201%, 30
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::relu_'), 158193.09800000367, 0.49379046651032366%, 105
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 111111.75000000093, 0.3468288032849426%, 3
('aten::zero_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 92517.32499999925, 0.28878739748832655%, 2
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 88232.726, 0.27541327329601034%, 1
('aten::fill_', 'aten::zero_', 'aten::conv2d', 'aten::convolution'), 62685.805999999866, 0.19567006259852668%, 2
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 34735.51800000854, 0.10842487981177006%, 474
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 33570.86000000499, 0.10478946825198938%, 471
('aten::zero_', 'aten::fill_', 'aten::zero_', 'aten::conv2d'), 32847.95899999887, 0.10253297522829377%, 2
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 31636.14599997457, 0.0987503721048297%, 471
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 29922.720000012778, 0.09340201345613548%, 474
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::add'), 28720.706999999005, 0.08965000045726078%, 30
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 28127.296999972314, 0.08779770598645481%, 474
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 28063.177000045776, 0.08759755917172864%, 948
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 27736.514000024647, 0.08657789979839686%, 474
('aten::empty', 'aten::empty', 'aten::as_strided_', 'aten::add'), 26637.433999997564, 0.0831471861148863%, 30
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 25306.35699996678, 0.07899230741843176%, 477
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 23091.36400002241, 0.07207833683066561%, 471
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 22327.718999976292, 0.06969466380328082%, 473
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 21379.800000041723, 0.06673579030557816%, 474
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 20889.44500004314, 0.06520517596610195%, 474
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 19459.08900004346, 0.06074040370078058%, 474
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 19017.218000010587, 0.059361129320278774%, 474
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 17208.813999979757, 0.05371630242135593%, 474
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 15263.99199999217, 0.0476456547458588%, 474
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 14450.363999997266, 0.045105962719071795%, 316
