kList(1),            Time(us),                Time%,   Calls (Top 62, sorted by calls)
-------------------------------------------------------------
('aten::as_strided',), 487882.7120004281, 1.4180498596316804%, 307029
('aten::select',), 1063361.5110002123, 3.090701113857585%, 307008
('aten::empty',), 14553.299999989344, 0.042299725968040686%, 2826
('aten::empty_strided',), 2481.2380000150297, 0.007211813641043745%, 2382
('aten::copy_',), 7065.345000006026, 0.020535696877693726%, 2066
('aten::to',), 9529.56300004595, 0.027698041234456686%, 1908
('aten::add_',), 19923.144999958575, 0.057907386910213125%, 1264
('aten::empty_like',), 7208.499999989392, 0.020951782388901198%, 949
('aten::mul_',), 15989.453999983147, 0.046473962783586835%, 948
('aten::zero_',), 9270.239999991994, 0.02694430896483395%, 644
('aten::div',), 21004.134999992093, 0.06104932590519321%, 477
('aten::addcmul_',), 7577.594000012614, 0.0220245682902048%, 474
('aten::addcmul',), 5804.053999993019, 0.01686970609439748%, 474
('aten::sqrt',), 10572.865999998525, 0.030730441514782176%, 474
('aten::addcdiv_',), 9944.573000002652, 0.028904283754859476%, 474
('aten::addcdiv',), 7990.08999999892, 0.023223503773040062%, 473
('aten::as_strided_',), 1068.0040000104564, 0.003104194686651598%, 465
('aten::zeros_like',), 7416.362999996869, 0.021555944189950965%, 319
('aten::add',), 44368.32699999673, 0.1289582482159824%, 216
('aten::new_empty_strided',), 1246.2459999974817, 0.003622261912329087%, 158
('aten::conv2d',), 2279130.9169999985, 6.624381634025259%, 156
('aten::convolution',), 2277988.051000003, 6.621059850057495%, 156
('aten::_convolution',), 2276978.201000003, 6.6181246822076725%, 156
('aten::mkldnn_convolution',), 2275139.645999983, 6.612780851414787%, 156
('aten::batch_norm',), 3277381.734000013, 9.525836012517027%, 156
('aten::_batch_norm_impl_index',), 3276516.41, 9.52332091504263%, 156
('aten::native_batch_norm',), 3274944.9520000117, 9.518753411949184%, 156
('aten::native_batch_norm_backward',), 4018310.519000009, 11.67937401196431%, 156
('aten::mkldnn_convolution_backward',), 4228449.588999996, 12.29015129795339%, 156
('aten::mkldnn_convolution_backward_weights',), 1930377.2220000017, 5.610715611277682%, 156
('aten::mkldnn_convolution_backward_input',), 2294842.397000004, 6.670047654690886%, 153
('aten::hardtanh_',), 186201.73299999896, 0.5412024957006315%, 105
('aten::clamp_',), 184594.17399999744, 0.536530063662704%, 105
('aten::clamp',), 184014.6770000023, 0.5348457333528007%, 105
('aten::hardtanh_backward',), 658488.9640000004, 1.9139234902186733%, 105
('aten::fill_',), 7275.512000003131, 0.02114655534329323%, 69
('aten::t',), 165.61200000112876, 0.00048135764514385253%, 15
('aten::transpose',), 60.89199999696575, 0.00017698493905296198%, 15
('aten::view',), 61.049000000581145, 0.00017744126559951273%, 9
('aten::resize_',), 9.021999998716637, 2.6222789857259632e-05%, 9
('aten::conj',), 10.881000001449138, 3.1626044836558435e-05%, 9
('aten::zeros',), 95.57199999915804, 0.0002777836923711412%, 6
('aten::sum',), 1733.9010000014678, 0.005039649918288464%, 6
('aten::div_',), 230.7180000001099, 0.0006705907372146665%, 6
('aten::reshape',), 73.6019999999553, 0.0002139270427119704%, 6
('aten::mul',), 301.34299999964423, 0.0008758650149712828%, 6
('aten::expand',), 36.179999998770654, 0.00010515856097742997%, 6
('aten::mm',), 6874.758000001544, 0.01998174843484802%, 6
('aten::adaptive_avg_pool2d',), 1890.8259999989532, 0.00549575846394019%, 3
('aten::mean',), 1864.9750000005588, 0.005420621538573937%, 3
('aten::dropout',), 648.652999999933, 0.0018853348826977211%, 3
('aten::bernoulli_',), 391.710999999661, 0.0011385230812712564%, 3
('aten::addmm',), 4714.161000001477, 0.013701890187753507%, 3
('aten::random_',), 32.15599999926053, 9.346265027162449e-05%, 3
('aten::log_softmax',), 276.9920000000857, 0.0008050878972708409%, 3
('aten::_log_softmax',), 255.73800000129268, 0.0007433123291402904%, 3
('aten::nll_loss',), 100.08500000066124, 0.0002909009003828975%, 3
('aten::nll_loss_forward',), 83.25499999942258, 0.0002419838583309202%, 3
('aten::ones_like',), 29.264000000199303, 8.505694108814354e-05%, 3
('aten::nll_loss_backward',), 200.9900000016205, 0.0005841851622924882%, 3
('aten::resize_as_',), 8.927000001072884, 2.594666871172575e-05%, 3
('aten::_log_softmax_backward_data',), 138.38500000024214, 0.00040222132286847915%, 3
Total time: 34405187.42600131us
