kList(1),            Time(us),                Time%,   Calls (Top 75, sorted by calls)
-------------------------------------------------------------
('aten::as_strided',), 48682.25499997673, 3.0665934974884905%, 110457
('aten::select',), 263802.4370000153, 16.617447937164183%, 109872
('aten::empty',), 4078.627000001838, 0.2569209465932218%, 2865
('aten::empty_strided',), 2060.856000002679, 0.1298174788507923%, 2235
('aten::copy_',), 6914.182999999975, 0.43553834201508385%, 1984
('aten::to',), 10662.941999998264, 0.6716802375179052%, 1887
('aten::add_',), 14824.447999999888, 0.9338218995951943%, 1016
('aten::mul_',), 12863.041000000929, 0.8102689139718271%, 762
('aten::view',), 1163.5550000007006, 0.07329467784460837%, 759
('aten::zero_',), 11921.507999999703, 0.7509598500125679%, 739
('aten::empty_like',), 2420.767999999062, 0.1524890621383272%, 683
('aten::div',), 20291.546999999897, 1.2782054998112047%, 585
('aten::transpose',), 1213.0429999997623, 0.07641202684581846%, 429
('aten::addcmul_',), 6479.431000000361, 0.4081524360783195%, 381
('aten::addcmul',), 5041.111999999761, 0.31754981931954174%, 381
('aten::sqrt',), 25500.464999999967, 1.6063257577523908%, 381
('aten::addcdiv_',), 7928.316000000283, 0.4994206265023353%, 381
('aten::addcdiv',), 6672.897000000172, 0.4203392498893234%, 380
('aten::conj',), 307.88900000079593, 0.019394549520171694%, 369
('aten::add',), 7484.732999999913, 0.4714784380519807%, 309
('aten::resize_',), 623.9619999994775, 0.039304625717917666%, 300
('aten::t',), 1791.6860000003353, 0.1128619172867982%, 285
('aten::mul',), 9505.552999999913, 0.5987739684582376%, 258
('aten::zeros_like',), 5349.535000000105, 0.33697800657745325%, 257
('aten::mm',), 13066.603999999486, 0.8230917581914534%, 237
('aten::reshape',), 722.1419999998107, 0.04548918207391608%, 198
('aten::fill_',), 9411.768000000257, 0.5928662620226782%, 173
('aten::addmm_',), 9818.518000000127, 0.6184882654632264%, 147
('aten::resize_as_',), 519.9629999999306, 0.03275351880752355%, 147
('aten::new_empty_strided',), 628.0140000000538, 0.039559869376075994%, 127
('aten::conv2d',), 27795.49399999967, 1.7508942665026526%, 108
('aten::convolution',), 27298.124000000047, 1.7195639263644356%, 108
('aten::_convolution',), 26809.434999999863, 1.6887804199369818%, 108
('aten::as_strided_',), 120.78299999998126, 0.007608364945446177%, 105
('aten::batch_norm',), 197008.00499999945, 12.409931854768583%, 105
('aten::_batch_norm_impl_index',), 196622.69300000014, 12.38566027421623%, 105
('aten::native_batch_norm',), 195896.03699999995, 12.339886746171716%, 105
('aten::native_batch_norm_backward',), 242297.16799999983, 15.262787638925746%, 105
('aten::hardtanh_',), 1299.4950000000672, 0.0818578128112783%, 84
('aten::clamp_',), 704.0330000000599, 0.04434845961466925%, 84
('aten::clamp',), 520.4649999999288, 0.032785140800706374%, 84
('aten::unsqueeze',), 256.4350000004597, 0.016153358210917852%, 84
('aten::hardtanh_backward',), 2298.776000000187, 0.14480453984283484%, 84
('aten::_convolution_nogroup',), 10918.085999999628, 0.6877522730332641%, 72
('aten::_nnpack_available',), 41.54299999982459, 0.0026168774159226467%, 72
('aten::thnn_conv2d',), 10495.831999999838, 0.661153641341111%, 72
('aten::thnn_conv2d_forward',), 10228.842000000175, 0.6443354023771639%, 72
('aten::detach',), 55.19900000038615, 0.0034770964177631516%, 72
('aten::thnn_conv2d_backward',), 20410.794999999955, 1.2857171720085765%, 72
('aten::sum',), 1395.2659999997286, 0.08789062139516729%, 66
('aten::expand',), 450.86900000016067, 0.028401148295622125%, 66
('aten::matmul',), 1530.2030000000723, 0.09639057536755119%, 54
('aten::relu_',), 1161.5809999998382, 0.07317033160044424%, 45
('aten::threshold_',), 708.745000000109, 0.044645278004867554%, 45
('aten::threshold_backward',), 1553.9060000001045, 0.09788367517714512%, 45
('aten::div_',), 760.8380000001198, 0.04792672121378993%, 39
('aten::mkldnn_convolution',), 15048.636000000035, 0.9479439541922078%, 36
('aten::mean',), 1786.541999999965, 0.11253788634467722%, 36
('aten::mkldnn_convolution_backward',), 38316.4770000002, 2.413632220095887%, 36
('aten::mkldnn_convolution_backward_weights',), 27083.070000000065, 1.7060172408625178%, 36
('aten::mkldnn_convolution_backward_input',), 10699.081999999937, 0.6739567690591088%, 33
('aten::adaptive_avg_pool2d',), 1719.938999999902, 0.10834242895032446%, 30
('aten::expand_as',), 279.23900000031153, 0.01758982819605528%, 27
('aten::zeros',), 59.47000000010337, 0.003746135327873466%, 6
('aten::dropout',), 176.0930000001099, 0.011092453477223598%, 3
('aten::bernoulli_',), 69.1459999999206, 0.004355646096862132%, 3
('aten::addmm',), 1243.409999999989, 0.07832490546532721%, 3
('aten::random_',), 26.951000000015483, 0.001697697885007572%, 3
('aten::log_softmax',), 175.8239999999205, 0.011075508624290931%, 3
('aten::_log_softmax',), 157.87299999999232, 0.00994473890392317%, 3
('aten::nll_loss',), 71.06600000000617, 0.0044765907719895096%, 3
('aten::nll_loss_forward',), 56.998000000050524, 0.00359041905865058%, 3
('aten::ones_like',), 30.66799999997602, 0.0019318392169990575%, 3
('aten::nll_loss_backward',), 73.72399999994377, 0.00464402355660758%, 3
('aten::_log_softmax_backward_data',), 35.189999999900465, 0.002216689123713894%, 3
Total time: 1587502.713999981us
