kList(4),            Time(us),                Time%,   Calls (Top 294, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 620113.146999986, 39.062178699367784%, 109269
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 617607.98299999, 38.90437336285381%, 108882
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 18436.549000002124, 1.1613554318624204%, 762
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 25776.989999997848, 1.623744625610647%, 585
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 6207.882999997428, 0.3910470794947883%, 585
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 18671.219999999983, 1.1761378317870521%, 438
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 8662.467000001954, 0.5456662797240457%, 381
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 12905.053000001237, 0.8129153346443596%, 381
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 14434.09500000102, 0.9092327762786546%, 381
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 14051.552000000782, 0.8851356206248948%, 381
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 9130.29400000014, 0.575135646665751%, 381
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 12372.127000000532, 0.7793452503036589%, 381
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 37620.3639999998, 2.3697826572660743%, 381
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 37460.95599999913, 2.3597412256140293%, 381
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 43351.568999999174, 2.730802827465257%, 381
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 40566.57799999925, 2.555370623448253%, 381
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 6218.225999997783, 0.3916986059400121%, 381
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 7891.123999996635, 0.4970778273577634%, 381
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 7465.827999999892, 0.47028757394615583%, 381
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 7707.711000001611, 0.48552427230695766%, 381
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 10731.253000002675, 0.6759832852797757%, 381
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 15451.876000003569, 0.9733448556487792%, 380
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 21717.881000002497, 1.3680531572308705%, 378
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 23104.308000002115, 1.4553869921763416%, 378
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 15461.860000001412, 0.9739737679592778%, 378
('aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 2495.567999999289, 0.15720086510663558%, 315
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 10454.225000000763, 0.6585327324360648%, 254
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::zeros_like'), 4217.114000000758, 0.26564452223045515%, 231
('aten::empty_strided', 'aten::zero_', 'aten::zeros_like', 'aten::empty_like'), 4223.319000000745, 0.2660353877039605%, 231
('aten::zero_', 'aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 4233.607000000688, 0.2666834495881522%, 231
('aten::empty_like', 'aten::empty', 'aten::select', 'aten::as_strided'), 2023.427999998958, 0.1274598135898987%, 210
('aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty'), 1770.7549999997427, 0.11154343135187635%, 210
('aten::zero_', 'aten::zero_', 'aten::zero_', 'aten::zero_'), 3073.8570000001055, 0.19362845637315504%, 204
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::reshape'), 868.1669999991909, 0.054687591545068776%, 144
('aten::select', 'aten::as_strided', 'aten::reshape', 'aten::view'), 916.2940000000299, 0.05771920840949446%, 144
('aten::t', 'aten::transpose', 'aten::as_strided', 'aten::conj'), 1112.6590000003343, 0.07008863608155996%, 114
('aten::transpose', 'aten::as_strided', 'aten::conj', 'aten::mm'), 6990.63900000001, 0.4403544597656728%, 114
('aten::as_strided', 'aten::conj', 'aten::mm', 'aten::empty'), 6862.190000000846, 0.43226319800804625%, 114
('aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 394443.14499999996, 24.846769805270686%, 105
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 589601.4079999996, 37.14018267813851%, 105
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty'), 392734.81800000026, 24.73915883963679%, 105
('aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty'), 196206.42699999985, 12.359438838729583%, 105
('aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select'), 196491.43699999937, 12.377392193863153%, 105
('aten::empty', 'aten::empty', 'aten::select', 'aten::as_strided'), 701.3739999992754, 0.044180963837979544%, 105
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like'), 934.8069999996301, 0.058885379644122056%, 105
('aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty'), 1106.9160000000293, 0.06972687292048575%, 105
('aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select'), 1161.9099999994164, 0.07319105597443598%, 105
('aten::native_batch_norm_backward', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 243247.7320000002, 15.32266558380215%, 105
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 832.8780000002589, 0.05246466621160491%, 105
('aten::empty', 'aten::empty_like', 'aten::empty', 'aten::select'), 846.3819999990374, 0.053315310426552597%, 105
