kList(3),            Time(us),                Time%,   Calls (Top 249, sorted by time)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::select'), 572316.4160000089, 36.05136614588589%, 109269
('aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 394368.47199999983, 24.842066002288707%, 105
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 393705.37099999964, 24.800295931966787%, 105
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 392593.4030000001, 24.730250823369918%, 105
('aten::as_strided', 'aten::select', 'aten::as_strided'), 358232.7969999713, 22.5658069016678%, 109413
('aten::native_batch_norm_backward', 'aten::empty_like', 'aten::empty'), 242961.772, 15.304652386251158%, 105
('aten::native_batch_norm', 'aten::empty', 'aten::empty'), 196131.75399999978, 12.354735035747606%, 105
('aten::empty', 'aten::native_batch_norm', 'aten::empty'), 196112.1250000001, 12.353498565420558%, 105
('aten::mm', 'aten::add', 'aten::batch_norm'), 118633.46899999974, 7.472961649374614%, 69
('aten::as_strided_', 'aten::add', 'aten::batch_norm'), 84306.4689999998, 5.310634637441054%, 36
('aten::conv2d', 'aten::convolution', 'aten::_convolution'), 81903.05299999958, 5.159238612804069%, 108
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty'), 47624.39000000038, 2.9999564460587718%, 33
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 45936.91100000033, 2.893658738022219%, 36
('aten::sqrt', 'aten::empty', 'aten::div'), 38310.45699999941, 2.4132530081457153%, 381
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 37021.00800000009, 2.332028013150252%, 381
('aten::convolution', 'aten::_convolution', 'aten::_convolution_nogroup'), 34137.369999999246, 2.15038183550467%, 72
('aten::addcmul', 'aten::sqrt', 'aten::empty'), 30981.52499999877, 1.9515887895357096%, 381
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 30667.184000000154, 1.9317878155136508%, 36
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 27319.09100000054, 1.7208846800120094%, 36
('aten::empty', 'aten::conv2d', 'aten::convolution'), 26805.24200000015, 1.6885162944042984%, 52
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 25758.399000000107, 1.6225735409987094%, 33
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 25754.362000000358, 1.6223192422208776%, 33
('aten::div', 'aten::to', 'aten::empty_strided'), 24567.095999999656, 1.547530960630531%, 585
('aten::_convolution', 'aten::_convolution_nogroup', 'aten::_nnpack_available'), 22416.227999999188, 1.4120434442293153%, 72
('aten::_convolution_nogroup', 'aten::_nnpack_available', 'aten::thnn_conv2d'), 21455.46099999929, 1.3515227917902977%, 72
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 21116.662000001204, 1.3301811589848693%, 378
('aten::thnn_conv2d', 'aten::thnn_conv2d_forward', 'aten::empty'), 20784.284000000363, 1.309243997928725%, 72
('aten::_nnpack_available', 'aten::thnn_conv2d', 'aten::thnn_conv2d_forward'), 20766.216999999837, 1.3081059211341974%, 72
('aten::thnn_conv2d_backward', 'aten::empty', 'aten::empty'), 20501.529000000126, 1.2914326897963573%, 72
('aten::empty', 'aten::div', 'aten::to'), 18338.742999999602, 1.1551944345211256%, 438
('aten::mul_', 'aten::to', 'aten::empty_strided'), 17202.422000001476, 1.0836152813028628%, 762
('aten::to', 'aten::empty_strided', 'aten::copy_'), 15528.169000000753, 0.978150705700207%, 1851
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 15366.939000000039, 0.9679945025908296%, 36
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 15198.553000001732, 0.9573875285987016%, 380
