kList(1),            Time(us),                Time%,   Calls (Top 93, sorted by calls)
-------------------------------------------------------------
('aten::as_strided',), 90589.71200000995, 0.2510619577872193%, 189691
('aten::select',), 544314.1650000145, 1.5085220705437739%, 189393
('aten::empty',), 6689.397999995885, 0.01853911797728965%, 464
('aten::copy_',), 152090.5610000065, 0.42150651727001787%, 260
('aten::empty_strided',), 815.8519999963464, 0.002261066912142062%, 171
('aten::expand',), 789.532999998075, 0.0021881259619978876%, 151
('aten::to',), 1207.5219999990659, 0.0033465481973369206%, 132
('aten::as_strided_',), 445.33300000894815, 0.0012342038889525337%, 132
('aten::alias',), 277.07500000018626, 0.000767890640318328%, 103
('aten::view',), 689.7890000039479, 0.0019116936457537297%, 85
('aten::empty_like',), 1956.2940000081435, 0.005421708390566261%, 76
('aten::unfold',), 229.54500000039116, 0.0006361651431275014%, 72
('aten::repeat',), 6998.582999993116, 0.01939599884934428%, 69
('aten::expand_as',), 346.86400000192225, 0.0009613051306132762%, 69
('aten::fill_',), 142126.7090000026, 0.3938925185609503%, 64
('aten::_convolution',), 5301390.799999998, 14.692369849271694%, 56
('aten::mkldnn_convolution',), 4836980.945000004, 13.405296021153504%, 54
('aten::add',), 731373.8679999993, 2.026942697140609%, 48
('aten::zero_',), 142150.29600000422, 0.39395788799714776%, 42
('aten::convolution',), 4276794.940999999, 11.852786450428464%, 42
('aten::conv2d',), 3826172.9179999996, 10.603924467994911%, 40
('aten::sum',), 1019.034999997355, 0.0028241719341486247%, 39
('aten::mean',), 1974.5190000017174, 0.005472217483464781%, 37
('aten::div_',), 924.8019999982789, 0.0025630129024483313%, 37
('aten::zeros_like',), 122010.74200000614, 0.3381427656772933%, 34
('aten::add_',), 41941.59199999506, 0.11623768270982446%, 31
('aten::mul_',), 30356.38700000057, 0.08413023712412067%, 30
('aten::leaky_relu_backward',), 44920.366000005975, 0.12449311056953911%, 29
('aten::mkldnn_convolution_backward',), 3918529.8830000004, 10.859884222543897%, 28
