kList(4),            Time(us),                Time%,   Calls (Top 368, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 1268456.9090000382, 3.5154243005236547%, 189344
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 1268183.0880000317, 3.5146654280774667%, 189308
('aten::repeat', 'aten::expand', 'aten::as_strided', 'aten::empty'), 7908.503999998327, 0.021917770280662965%, 69
('aten::expand', 'aten::as_strided', 'aten::empty', 'aten::alias'), 991.2780000050552, 0.002747245684947547%, 69
('aten::as_strided', 'aten::empty', 'aten::alias', 'aten::unfold'), 825.4940000041388, 0.002287788924448939%, 69
('aten::empty', 'aten::alias', 'aten::unfold', 'aten::as_strided'), 784.4480000077747, 0.002174033301532065%, 69
('aten::unfold', 'aten::as_strided', 'aten::expand_as', 'aten::expand'), 824.5010000024922, 0.002285036906377659%, 69
('aten::as_strided', 'aten::expand_as', 'aten::expand', 'aten::as_strided'), 677.5970000061207, 0.0018779045175931724%, 69
('aten::expand_as', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 4983.163000006229, 0.013810427598602584%, 69
('aten::alias', 'aten::unfold', 'aten::as_strided', 'aten::expand_as'), 679.9360000039451, 0.001884386864271988%, 68
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::repeat'), 2670.07200000016, 0.007399885582512978%, 51
('aten::as_strided', 'aten::copy_', 'aten::repeat', 'aten::expand'), 2732.336000001058, 0.007572445152410795%, 51
('aten::copy_', 'aten::repeat', 'aten::expand', 'aten::as_strided'), 2743.1479999977164, 0.0076024097237382335%, 51
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 8221973.542000001, 22.78652540951904%, 47
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 15301756.481999995, 42.40756323360174%, 40
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 11476936.90499999, 31.80738943920443%, 40
('aten::sum', 'aten::empty', 'aten::as_strided', 'aten::fill_'), 1282.5999999935739, 0.003554620717375046%, 39
('aten::mean', 'aten::sum', 'aten::empty', 'aten::as_strided'), 2863.3029999961145, 0.007935409452642527%, 37
('aten::empty', 'aten::as_strided', 'aten::fill_', 'aten::div_'), 1173.077999996487, 0.003251089475990401%, 37
('aten::as_strided', 'aten::fill_', 'aten::div_', 'aten::to'), 1598.8279999983497, 0.004431020686372928%, 37
('aten::fill_', 'aten::div_', 'aten::to', 'aten::empty_strided'), 1685.5159999988973, 0.004671269369322639%, 37
('aten::div_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 1746.6339999958873, 0.004840652894190031%, 37
('aten::view', 'aten::mean', 'aten::sum', 'aten::empty'), 2935.042000000365, 0.00813422820803014%, 36
('aten::empty', 'aten::select', 'aten::as_strided', 'aten::select'), 1259.2130000074394, 0.003489805564819003%, 34
('aten::alias', 'aten::view', 'aten::mean', 'aten::sum'), 2713.881000001915, 0.007521298633358526%, 34
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::copy_'), 912.5620000031777, 0.002529090746231681%, 34
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 244237.83200001158, 0.6768851220944618%, 34
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 519.0399999981746, 0.0014384767949080766%, 28
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 30689.095000004396, 0.08505231006163505%, 28
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 5503581.305999995, 15.252724255546243%, 26
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 3904782.2189999856, 10.821783699177136%, 26
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 2307649.7179999817, 6.395461949234769%, 26
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty'), 2315291.4229999958, 6.416640307966451%, 24
('aten::empty', 'aten::as_strided_', 'aten::empty', 'aten::as_strided_'), 969.7920000050217, 0.0026876989979570417%, 24
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 2301439.4039999982, 6.378250573275112%, 22
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 100464.42600000557, 0.27842891783923374%, 19
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::leaky_relu'), 1163302.1309999991, 3.2239964567595933%, 18
('aten::empty', 'aten::as_strided_', 'aten::leaky_relu', 'aten::empty'), 14978.990000002086, 0.04151304239796337%, 18
('aten::as_strided_', 'aten::leaky_relu', 'aten::empty', 'aten::conv2d'), 1097619.6050000023, 3.0419627223994783%, 18
('aten::leaky_relu', 'aten::empty', 'aten::conv2d', 'aten::convolution'), 2180531.7140000006, 6.043164825757488%, 18
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 3249390.9110000003, 9.005420435949356%, 18
('aten::empty_like', 'aten::empty_strided', 'aten::zero_', 'aten::fill_'), 243201.40900000185, 0.6740127607442226%, 18
('aten::as_strided_', 'aten::empty', 'aten::as_strided_', 'aten::add'), 621071.8989999983, 1.721249835627567%, 18
('aten::instance_norm', 'aten::repeat', 'aten::expand', 'aten::as_strided'), 1221230.8829999939, 3.3845412423450396%, 17
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::view'), 522.019000000786, 0.0014467328491154646%, 17
('aten::as_strided', 'aten::copy_', 'aten::view', 'aten::batch_norm'), 1213372.5100000068, 3.3627624060197987%, 17
('aten::copy_', 'aten::view', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 2426134.1660000063, 6.723831880273084%, 17
('aten::view', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 2425998.8970000036, 6.723456993332627%, 17
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 3638286.2490000026, 10.08321197294632%, 17
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty'), 2425451.980000002, 6.721941257718328%, 17
('aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty'), 1212758.8470000052, 3.3610616893401613%, 17
('aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select'), 1212816.6900000074, 3.361221996471117%, 17
('aten::empty', 'aten::empty', 'aten::select', 'aten::as_strided'), 228.3820000081323, 0.0006329419840234853%, 17
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::empty_like'), 1074.8420000015758, 0.00297883645807701%, 17
('aten::select', 'aten::as_strided', 'aten::empty_like', 'aten::empty'), 2002.0120000024326, 0.005548412078339117%, 17
('aten::as_strided', 'aten::empty_like', 'aten::empty', 'aten::select'), 2018.7280000015162, 0.005594739101501975%, 17
