kList(5),            Time(us),                Time%,   Calls (Top 402, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 1812159.381000049, 5.0222511140812305%, 189308
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 1358336.2010000395, 3.7645173875405002%, 189308
('aten::repeat', 'aten::expand', 'aten::as_strided', 'aten::empty', 'aten::alias'), 7989.860999998171, 0.022143244534291825%, 69
('aten::expand', 'aten::as_strided', 'aten::empty', 'aten::alias', 'aten::unfold'), 1203.18000000529, 0.0033345147004300163%, 69
('aten::as_strided', 'aten::empty', 'aten::alias', 'aten::unfold', 'aten::as_strided'), 890.0390000063926, 0.0024666700987917844%, 69
('aten::unfold', 'aten::as_strided', 'aten::expand_as', 'aten::expand', 'aten::as_strided'), 883.488000006415, 0.0024485145395218943%, 69
('aten::as_strided', 'aten::expand_as', 'aten::expand', 'aten::as_strided', 'aten::copy_'), 5046.628000008408, 0.013986315641513144%, 69
('aten::empty', 'aten::alias', 'aten::unfold', 'aten::as_strided', 'aten::expand_as'), 1080.6010000091046, 0.002994797054317636%, 68
('aten::alias', 'aten::unfold', 'aten::as_strided', 'aten::expand_as', 'aten::expand'), 881.1900000022724, 0.002442145820963268%, 68
('aten::expand_as', 'aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::repeat'), 2925.7850000006147, 0.008108573191672727%, 51
('aten::expand', 'aten::as_strided', 'aten::copy_', 'aten::repeat', 'aten::expand'), 2884.965000002645, 0.007995443909217746%, 51
('aten::as_strided', 'aten::copy_', 'aten::repeat', 'aten::expand', 'aten::as_strided'), 2788.699000001885, 0.0077286505847336965%, 51
('aten::copy_', 'aten::repeat', 'aten::expand', 'aten::as_strided', 'aten::empty'), 2968.125000001397, 0.008225915029484356%, 51
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 15303109.822999995, 42.41131390719936%, 40
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 11477084.93599999, 31.8077996949813%, 40
('aten::mean', 'aten::sum', 'aten::empty', 'aten::as_strided', 'aten::fill_'), 2958.2409999975935, 0.008198522334034309%, 37
