kList(3),            Time(us),                Time%,   Calls (Top 319, sorted by time)
-------------------------------------------------------------
('aten::conv2d', 'aten::convolution', 'aten::_convolution'), 11477165.416999996, 31.808022741472787%, 40
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 11475583.563999996, 31.803638765606834%, 40
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 8221804.664000003, 22.786057377991277%, 47
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty'), 5503485.116999993, 15.25245767562094%, 26
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 4838820.165000008, 13.410393268553989%, 54
('aten::threshold_', 'aten::conv2d', 'aten::convolution'), 3408652.871999999, 9.446801900211954%, 10
('aten::view', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 2425986.5860000043, 6.723422874405722%, 17
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 2425685.7230000016, 6.722589057274188%, 17
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 2425387.133, 6.721761539575752%, 17
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 2315047.2509999955, 6.415963605292345%, 24
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 2307024.9099999834, 6.393730345101613%, 26
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 2306746.49099999, 6.392958729675531%, 26
('aten::empty', 'aten::conv2d', 'aten::convolution'), 2166603.907000001, 6.004565050839316%, 18
('aten::relu_', 'aten::threshold_', 'aten::conv2d'), 1744959.0160000003, 4.836010813406403%, 10
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 1598756.724999996, 4.430823153560063%, 26
('aten::_convolution_double_backward', 'aten::_convolution', 'aten::mkldnn_convolution'), 1595993.8680000026, 4.423166121959119%, 7
('aten::add', 'aten::conv2d', 'aten::convolution'), 1555310.612999999, 4.310415817051908%, 6
('aten::conv_transpose2d', 'aten::convolution', 'aten::_convolution'), 1353319.8909999998, 3.7506150957496023%, 2
('aten::convolution', 'aten::_convolution', 'aten::_convolution_nogroup'), 1353250.0700000003, 3.750421592573938%, 2
('aten::_convolution', 'aten::_convolution_nogroup', 'aten::slow_conv_transpose2d'), 1353175.345999999, 3.7502145011358503%, 2
('aten::instance_norm', 'aten::repeat', 'aten::expand'), 1221182.674999996, 3.384407637826456%, 17
('aten::copy_', 'aten::view', 'aten::batch_norm'), 1213359.8700000066, 3.3627273752963704%, 17
('aten::native_batch_norm', 'aten::empty', 'aten::empty'), 1212746.536000006, 3.3610275704132553%, 17
('aten::empty', 'aten::native_batch_norm', 'aten::empty'), 1212677.6840000022, 3.360836752741614%, 17
('aten::select', 'aten::as_strided', 'aten::select'), 1178272.810000034, 3.2654864659027103%, 189344
('aten::leaky_relu', 'aten::empty', 'aten::conv2d'), 1097560.407000001, 3.041798659997145%, 18
('aten::as_strided_', 'aten::instance_norm', 'aten::repeat'), 1009986.256999996, 2.7990940849947377%, 15
('aten::empty', 'aten::as_strided_', 'aten::instance_norm'), 1009338.0979999956, 2.797297765480028%, 15
('aten::_convolution_nogroup', 'aten::slow_conv_transpose2d', 'aten::empty_like'), 902188.8629999999, 2.5003424477006893%, 2
('aten::view', 'aten::add', 'aten::conv2d'), 798250.0949999997, 2.212284675929997%, 5
('aten::_convolution', 'aten::contiguous', 'aten::empty_like'), 746681.388000004, 2.06936623349171%, 7
('aten::as_strided', 'aten::_convolution', 'aten::contiguous'), 746584.8450000007, 2.069098672484435%, 7
('aten::transpose', 'aten::as_strided', 'aten::_convolution'), 739779.4510000013, 2.050238081105658%, 7
('aten::copy_', 'aten::mkldnn_convolution', 'aten::empty'), 733296.019000005, 2.032269781006645%, 7
('aten::empty', 'aten::copy_', 'aten::mkldnn_convolution'), 733215.6620000042, 2.0320470781710056%, 7
('aten::as_strided', 'aten::select', 'aten::as_strided'), 724580.2130000219, 2.008114639437709%, 189357
('aten::empty', 'aten::as_strided_', 'aten::add'), 621223.7749999948, 1.7216707475066109%, 20
('aten::threshold_', 'aten::conv_transpose2d', 'aten::convolution'), 537898.7800000012, 1.4907423571248604%, 1
('aten::resize_', 'aten::conv2d', 'aten::convolution'), 521216.3139999998, 1.4445082706904249%, 1
('aten::slow_conv_transpose2d', 'aten::empty_like', 'aten::empty'), 451226.851999999, 1.2505382164066399%, 2
('aten::as_strided_', 'aten::add', 'aten::add'), 416627.8919999972, 1.1546500361351186%, 13
('aten::add', 'aten::conv_transpose2d', 'aten::convolution'), 384581.62499999907, 1.065836435173559%, 1
('aten::zero_', 'aten::fill_', 'aten::zeros_like'), 313401.1300000027, 0.8685655306037275%, 11
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 279717.95900000446, 0.7752153844443015%, 13
('aten::relu_', 'aten::threshold_', 'aten::conv_transpose2d'), 273895.1869999999, 0.7590780493562997%, 1
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 264712.12100000307, 0.7336279350160729%, 14
('aten::empty', 'aten::resize_', 'aten::conv2d'), 260626.45699999994, 0.7223048522944783%, 1
('aten::empty_strided', 'aten::zero_', 'aten::fill_'), 242821.660000002, 0.6729603175329262%, 18
('aten::as_strided', 'aten::instance_norm', 'aten::repeat'), 211128.36700000055, 0.5851249550659005%, 2
('aten::select', 'aten::as_strided', 'aten::instance_norm'), 210960.36900000088, 0.5846593623859695%, 2
('aten::sqrt', 'aten::empty', 'aten::div'), 202622.3599999994, 0.5615512542203581%, 14
('aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 202504.25800000317, 0.5612239442125988%, 11
('aten::view', 'aten::add', 'aten::conv_transpose2d'), 200791.76199999917, 0.5564779019858198%, 1
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 161539.73299999908, 0.44769412256658897%, 14
