kList(3),            Time(us),                Time%,   Calls (Top 300, sorted by calls)
-------------------------------------------------------------
('aten::as_strided', 'aten::slice', 'aten::as_strided'), 5741.188000006982, 0.05352827744449495%, 1060
('aten::slice', 'aten::as_strided', 'aten::slice'), 7715.0849999944985, 0.07193201309329438%, 847
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 3206.4849999871885, 0.029895836663198772%, 476
('aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze'), 3667.2889999917643, 0.03419216772912938%, 340
('aten::sum', 'aten::empty', 'aten::fill_'), 1280518.7139999974, 11.938985623842377%, 321
('aten::slice', 'aten::as_strided', 'aten::copy_'), 12670.15199999747, 0.11813084879278683%, 285
('aten::zeros', 'aten::empty', 'aten::zero_'), 309657.7430000148, 2.887110747831415%, 277
('aten::as_strided', 'aten::select', 'aten::as_strided'), 1334.4670000008264, 0.012441975391936337%, 243
('aten::to', 'aten::empty_strided', 'aten::copy_'), 2817.801999996971, 0.026271929649282894%, 242
('aten::sub', 'aten::empty', 'aten::exp'), 3322543.3780000005, 30.977913240036237%, 205
('aten::empty', 'aten::exp', 'aten::empty'), 1719913.1910000038, 16.03570384181512%, 205
('aten::slice_backward', 'aten::zeros', 'aten::empty'), 28080.561000012793, 0.261810632225233%, 182
('aten::empty', 'aten::zero_', 'aten::slice'), 5126.055000010878, 0.04779305158374697%, 174
('aten::zero_', 'aten::slice', 'aten::as_strided'), 4950.141000005417, 0.046152907871565486%, 174
('aten::unsqueeze', 'aten::as_strided', 'aten::add'), 555549.9349999999, 5.17969992533165%, 158
('aten::select', 'aten::as_strided', 'aten::slice'), 2170.9589999958116, 0.020241053885059635%, 158
('aten::slice', 'aten::as_strided', 'aten::select'), 1608.4470000056244, 0.014996442769503788%, 152
('aten::empty', 'aten::fill_', 'aten::sum'), 964442.4159999974, 8.9920311306343%, 151
('aten::fill_', 'aten::sum', 'aten::empty'), 965037.8230000031, 8.997582440065148%, 151
('aten::empty_strided', 'aten::copy_', 'aten::resize_'), 1021.0379999954603, 0.00951970312504359%, 133
('aten::logsumexp', 'aten::empty', 'aten::amax'), 2322960.084999999, 21.658244238338177%, 132
('aten::empty', 'aten::amax', 'aten::empty'), 234042.27700000306, 2.1821058528273705%, 132
('aten::amax', 'aten::empty', 'aten::amax'), 466834.2500000021, 4.352554428554235%, 132
('aten::empty', 'aten::amax', 'aten::resize_'), 233605.15600000136, 2.1780303314953957%, 132
('aten::amax', 'aten::resize_', 'aten::fill_'), 239516.28599999734, 2.233143072386284%, 132
('aten::resize_', 'aten::fill_', 'aten::squeeze'), 7314.582999994382, 0.068197910992291%, 132
('aten::fill_', 'aten::squeeze', 'aten::as_strided'), 6950.034999994914, 0.06479902795871267%, 132
('aten::squeeze', 'aten::as_strided', 'aten::abs'), 7827.005999997336, 0.07297551460204307%, 132
('aten::as_strided', 'aten::abs', 'aten::empty'), 7207.170000001144, 0.06719644006592933%, 132
('aten::abs', 'aten::empty', 'aten::abs'), 13010.879000001005, 0.12130763544199559%, 132
('aten::empty', 'aten::abs', 'aten::resize_'), 6629.7480000035175, 0.06181281475730148%, 132
('aten::abs', 'aten::resize_', 'aten::eq'), 12870.804000003536, 0.12000163858857552%, 132
('aten::resize_', 'aten::eq', 'aten::empty'), 6949.153000004402, 0.0647908045840038%, 132
('aten::eq', 'aten::empty', 'aten::eq'), 11940.22900000182, 0.11132537214634403%, 132
('aten::empty', 'aten::eq', 'aten::item'), 5942.883000000238, 0.05540879170718644%, 132
('aten::eq', 'aten::item', 'aten::_local_scalar_dense'), 5946.6390000032425, 0.05544381097675958%, 132
('aten::item', 'aten::_local_scalar_dense', 'aten::to'), 1647.2040000017605, 0.015357795759286903%, 132
('aten::_local_scalar_dense', 'aten::to', 'aten::empty_strided'), 1467.8050000011517, 0.013685159460791562%, 132
('aten::copy_', 'aten::resize_', 'aten::masked_fill_'), 5364.8549999945335, 0.050019516324642924%, 132
('aten::resize_', 'aten::masked_fill_', 'aten::sub'), 710770.7659999935, 6.626909754886546%, 132
('aten::sum', 'aten::resize_', 'aten::as_strided'), 213054.2759999973, 1.9864230881221774%, 132
('aten::resize_', 'aten::as_strided', 'aten::fill_'), 5282.279000000104, 0.0492496145137367%, 132
('aten::as_strided', 'aten::fill_', 'aten::log_'), 8802.995000000228, 0.08207520093436078%, 132
('aten::fill_', 'aten::log_', 'aten::log'), 12296.990000003525, 0.11465165266345013%, 132
('aten::log_', 'aten::log', 'aten::add_'), 10280.998000003798, 0.09585544200082485%, 132
('aten::unsqueeze', 'aten::as_strided', 'aten::sub'), 1053965.4760000054, 9.826704231977573%, 131
('aten::as_strided', 'aten::sub', 'aten::empty'), 999343.3590000058, 9.3174319640466%, 122
('aten::exp', 'aten::empty', 'aten::sum'), 771087.099999997, 7.189272363598032%, 107
('aten::empty', 'aten::sum', 'aten::resize_'), 191989.65900000226, 1.7900259899891098%, 107
('aten::as_strided', 'aten::add', 'aten::transpose'), 539983.6119999972, 5.03456646927103%, 106
('aten::add', 'aten::transpose', 'aten::as_strided'), 540035.6549999964, 5.035051695001837%, 106
('aten::transpose', 'aten::as_strided', 'aten::logsumexp'), 2076257.6709999954, 19.358100912113223%, 106
('aten::as_strided', 'aten::logsumexp', 'aten::empty'), 2074942.237999998, 19.34583640125181%, 106
('aten::exp', 'aten::empty', 'aten::mul'), 2274232.4170000073, 21.203929185090725%, 106
('aten::empty', 'aten::mul', 'aten::empty'), 1134921.8989999974, 10.581505829008046%, 106
('aten::slice', 'aten::as_strided', 'aten::unsqueeze'), 1381.8640000047744, 0.01288388389001112%, 104
('aten::masked_fill_', 'aten::sub', 'aten::empty'), 609020.7739999979, 5.678238190439556%, 103
('aten::squeeze', 'aten::as_strided', 'aten::add'), 53437.261000003666, 0.49822519880530064%, 100
('aten::select', 'aten::as_strided', 'aten::select'), 499.87499999953434, 0.0046606116517190245%, 91
