kList(4),            Time(us),                Time%,   Calls (Top 359, sorted by calls)
-------------------------------------------------------------
('aten::slice', 'aten::as_strided', 'aten::slice', 'aten::as_strided'), 8197.23200000236, 0.07642733677637535%, 847
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::slice'), 4988.771999995981, 0.046513086093468464%, 562
('aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 3915.063999985634, 0.03650231136899371%, 340
('aten::sub', 'aten::empty', 'aten::exp', 'aten::empty'), 3324594.1100000045, 30.99703335097153%, 205
('aten::slice_backward', 'aten::zeros', 'aten::empty', 'aten::zero_'), 35344.033000015654, 0.329532007039296%, 182
('aten::zeros', 'aten::empty', 'aten::zero_', 'aten::slice'), 7814.482000016142, 0.07285874640951787%, 174
('aten::empty', 'aten::zero_', 'aten::slice', 'aten::as_strided'), 5235.481000008527, 0.048813290824738266%, 174
('aten::zero_', 'aten::slice', 'aten::as_strided', 'aten::copy_'), 6300.954000000842, 0.05874728608027381%, 174
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::add'), 555697.351000001, 5.181074366396426%, 158
('aten::select', 'aten::as_strided', 'aten::slice', 'aten::as_strided'), 2268.1279999955077, 0.021147014322338738%, 158
('aten::slice', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 1699.8500000010317, 0.01584864359327186%, 152
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::sum'), 1190589.8079999988, 11.10052859532459%, 151
('aten::empty', 'aten::fill_', 'aten::sum', 'aten::empty'), 966404.0089999959, 9.010320149272424%, 151
('aten::fill_', 'aten::sum', 'aten::empty', 'aten::fill_'), 984873.9710000036, 9.18252584090358%, 151
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::resize_'), 2211.1599999951504, 0.020615870087125853%, 133
('aten::logsumexp', 'aten::empty', 'aten::amax', 'aten::empty'), 2323045.783000002, 21.65904324828535%, 132
('aten::empty', 'aten::amax', 'aten::empty', 'aten::amax'), 466990.0340000031, 4.354006889120491%, 132
('aten::amax', 'aten::empty', 'aten::amax', 'aten::resize_'), 467405.9510000006, 4.357884713809339%, 132
('aten::empty', 'aten::amax', 'aten::resize_', 'aten::fill_'), 239601.98400000008, 2.233942082333455%, 132
('aten::amax', 'aten::resize_', 'aten::fill_', 'aten::squeeze'), 240262.3399999945, 2.240098947285412%, 132
('aten::resize_', 'aten::fill_', 'aten::squeeze', 'aten::as_strided'), 7521.735999993416, 0.0701293132138163%, 132
('aten::fill_', 'aten::squeeze', 'aten::as_strided', 'aten::abs'), 13823.833999996074, 0.12888726544010268%, 132
('aten::squeeze', 'aten::as_strided', 'aten::abs', 'aten::empty'), 7953.223999998287, 0.07415231496505713%, 132
('aten::as_strided', 'aten::abs', 'aten::empty', 'aten::abs'), 13218.03200000004, 0.12323903766352086%, 132
('aten::abs', 'aten::empty', 'aten::abs', 'aten::resize_'), 13503.547000004677, 0.12590105223869147%, 132
('aten::empty', 'aten::abs', 'aten::resize_', 'aten::eq'), 12997.022000004486, 0.12117843895158957%, 132
('aten::abs', 'aten::resize_', 'aten::eq', 'aten::empty'), 12960.015000003297, 0.12083340218159533%, 132
('aten::resize_', 'aten::eq', 'aten::empty', 'aten::eq'), 12432.897000005492, 0.11591878894303992%, 132
('aten::eq', 'aten::empty', 'aten::eq', 'aten::item'), 12310.157000001207, 0.11477441590147452%, 132
('aten::empty', 'aten::eq', 'aten::item', 'aten::_local_scalar_dense'), 6035.8500000030035, 0.05627557456977939%, 132
('aten::eq', 'aten::item', 'aten::_local_scalar_dense', 'aten::to'), 7130.948000002851, 0.06648578011832301%, 132
('aten::item', 'aten::_local_scalar_dense', 'aten::to', 'aten::empty_strided'), 1837.7330000005386, 0.017134203215922073%, 132
('aten::_local_scalar_dense', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 1915.23100000066, 0.017856760018694413%, 132
('aten::empty_strided', 'aten::copy_', 'aten::resize_', 'aten::masked_fill_'), 5555.383999993312, 0.0517959237812781%, 132
('aten::copy_', 'aten::resize_', 'aten::masked_fill_', 'aten::sub'), 711218.191999993, 6.631081355444449%, 132
('aten::sum', 'aten::resize_', 'aten::as_strided', 'aten::fill_'), 217685.28599999804, 2.0296005608208536%, 132
('aten::resize_', 'aten::as_strided', 'aten::fill_', 'aten::log_'), 9288.572000001484, 0.08660250440825872%, 132
('aten::as_strided', 'aten::fill_', 'aten::log_', 'aten::log'), 12462.682000001652, 0.11619649100461267%, 132
('aten::fill_', 'aten::log_', 'aten::log', 'aten::add_'), 14912.008000004518, 0.13903291469950108%, 132
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::select'), 1461.5510000054346, 0.013626849952914761%, 132
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::slice'), 1475.544999996804, 0.013757323770197068%, 132
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::sub'), 1054088.4429999995, 9.827850721465845%, 131
('aten::exp', 'aten::empty', 'aten::sum', 'aten::resize_'), 771446.7619999972, 7.192625691745835%, 107
('aten::empty', 'aten::sum', 'aten::resize_', 'aten::as_strided'), 192119.45600000085, 1.791236159352555%, 107
('aten::unsqueeze', 'aten::as_strided', 'aten::add', 'aten::transpose'), 540779.2469999952, 5.041984615310559%, 106
('aten::as_strided', 'aten::add', 'aten::transpose', 'aten::as_strided'), 540141.5699999951, 5.036039199244069%, 106
('aten::add', 'aten::transpose', 'aten::as_strided', 'aten::logsumexp'), 2614676.7639999953, 24.378080503703373%, 106
('aten::transpose', 'aten::as_strided', 'aten::logsumexp', 'aten::empty'), 2076400.8419999967, 19.359435774690457%, 106
('aten::as_strided', 'aten::logsumexp', 'aten::empty', 'aten::amax'), 2306249.8209999977, 21.502445186371624%, 106
('aten::exp', 'aten::empty', 'aten::mul', 'aten::empty'), 2275417.7930000005, 21.214981102464552%, 106
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::unsqueeze'), 1512.3250000041953, 0.014100244093447548%, 104
('aten::slice', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided'), 1457.7430000033783, 0.013591345858532472%, 104
('aten::resize_', 'aten::masked_fill_', 'aten::sub', 'aten::empty'), 609236.9379999955, 5.680253607207892%, 103
('aten::masked_fill_', 'aten::sub', 'aten::empty', 'aten::exp'), 1185438.0169999935, 11.05249559275021%, 103
('aten::empty', 'aten::exp', 'aten::empty', 'aten::sum'), 768913.5819999987, 7.169007450737771%, 103
('aten::as_strided', 'aten::slice', 'aten::as_strided', 'aten::copy_'), 2882.190999999759, 0.02687226398017724%, 103
('aten::unsqueeze', 'aten::as_strided', 'aten::sub', 'aten::empty'), 999622.991000006, 9.320039128152416%, 102
('aten::as_strided', 'aten::sub', 'aten::empty', 'aten::exp'), 2138173.4660000075, 19.93537618213627%, 102
('aten::empty', 'aten::exp', 'aten::empty', 'aten::mul'), 2271449.7820000076, 21.177985136871687%, 102
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze'), 857.3239999873831, 0.007993306773980056%, 99
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 546.9810000015423, 0.005099806995505849%, 91
('aten::select_backward', 'aten::zeros', 'aten::empty', 'aten::zero_'), 11659.892000003718, 0.10871163493484047%, 90
('aten::view', 'aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze'), 2088.867000000413, 0.019475664674373307%, 79
