kList(1),            Time(us),                Time%,   Calls (Top 76, sorted by time)
-------------------------------------------------------------
('aten::exp',), 2315524.3949999968, 21.588917179668282%, 263
('aten::logsumexp',), 2089003.5059999991, 19.47693739545798%, 132
('aten::sub',), 1759323.4680000017, 16.40314769514612%, 283
('aten::sum',), 1450226.7809999995, 13.52126798333557%, 454
('aten::mul',), 1185529.4250000045, 11.053347840191893%, 132
('aten::add',), 617220.5930000045, 5.754689647250666%, 394
('aten::amax',), 466748.5519999994, 4.351755418607064%, 264
('aten::fill_',), 204618.9410000038, 1.907775785122108%, 670
('aten::zero_',), 156483.2750000004, 1.458980294603318%, 329
('aten::zeros',), 155409.29700000642, 1.448967002519364%, 277
('aten::gather_backward',), 143693.16399999987, 1.3397310015731851%, 1
('aten::slice_backward',), 19198.347000004724, 0.17899682865126348%, 182
('aten::copy_',), 17367.171999998147, 0.16192376930367622%, 660
('aten::abs',), 12884.661000000055, 0.12013083507898152%, 264
('aten::eq',), 11851.01800000206, 0.11049360855332421%, 264
('aten::empty',), 10801.983000013137, 0.1007128738816283%, 1854
('aten::slice',), 9420.727999997649, 0.0878346680360202%, 1547
('aten::add_',), 8511.232000001612, 0.07935493279265472%, 235
('aten::bmm',), 5416.850000000297, 0.05050429452490942%, 9
('aten::select_backward',), 4974.817999998573, 0.046382985218297534%, 90
('aten::masked_fill_',), 4538.324999997203, 0.04231331907835841%, 132
('aten::log_',), 4006.2930000013803, 0.03735288989452202%, 132
('aten::contiguous',), 3957.996999999999, 0.036902599521252556%, 5
('aten::unsqueeze',), 3925.5490000061063, 0.03660006883488765%, 725
('aten::norm',), 3765.1739999987185, 0.03510480383127762%, 27
('aten::log',), 3659.687000001424, 0.0341212900702519%, 132
('aten::squeeze',), 3628.6659999928766, 0.033832064095582336%, 463
('aten::zeros_like',), 3436.9490000000224, 0.0320445802566223%, 52
('aten::transpose',), 3409.807000001654, 0.0317915203487584%, 326
('aten::as_strided',), 3362.7199999959666, 0.03135250215246691%, 3673
('aten::mul_',), 3258.0619999989867, 0.030376717617869288%, 78
('aten::stack',), 3038.0460000007297, 0.028325386518779628%, 28
('aten::empty_strided',), 2380.814999998769, 0.022197657673602458%, 456
('aten::div',), 2224.6290000020526, 0.020741449038602183%, 27
('aten::select',), 2220.282999994859, 0.020700928872016706%, 407
('aten::resize_',), 2187.539000000135, 0.02039563841360322%, 569
('aten::einsum',), 2142.579999999999, 0.01997646074068406%, 3
('aten::addcdiv_',), 2108.0930000022054, 0.01965491932728531%, 26
('aten::sqrt',), 2008.234999999404, 0.01872388785275498%, 26
('aten::cat',), 1993.0470000008936, 0.018582281711700854%, 28
('aten::addcdiv',), 1985.0839999988675, 0.01850803824965111%, 25
('aten::to',), 1885.593999999377, 0.017580437843094304%, 299
('aten::_cat',), 1861.2800000005227, 0.017353744946480825%, 28
('aten::view',), 1627.992000005357, 0.01517867163618383%, 259
('aten::addcmul_',), 1425.825000002049, 0.013293756655819989%, 26
('aten::mm',), 1376.9010000005364, 0.012837611090516739%, 20
('aten::addcmul',), 1319.962000001222, 0.012306737238385141%, 26
('aten::addmm',), 901.3379999999988, 0.008403673688304136%, 10
('aten::reshape',), 883.6230000006115, 0.008238506925798661%, 104
('aten::log_softmax',), 805.8309999999997, 0.0075132089980893026%, 3
('aten::_log_softmax',), 792.038, 0.007384609215119123%, 3
('aten::scatter_add_',), 695.4060000004247, 0.006483655526442247%, 1
('aten::unbind',), 528.6110000009649, 0.004928533304993522%, 28
('aten::clone',), 519.1890000000003, 0.004840686777387555%, 2
('aten::_log_softmax_backward_data',), 514.9879999998957, 0.004801518526226009%, 3
('aten::item',), 422.98799999851144, 0.003943751540549588%, 153
('aten::empty_like',), 353.2800000033394, 0.0032938252249790335%, 58
('aten::t',), 317.14799999909786, 0.0029569465648743337%, 50
('aten::threshold_backward',), 305.4590000016615, 0.0028479635399480093%, 8
('aten::view_as',), 297.50500000009197, 0.0027738039898902497%, 52
('aten::permute',), 207.09200000192288, 0.0019308334847465008%, 30
('aten::gather',), 182.05299999999988, 0.0016973810113152155%, 1
('aten::relu',), 149.592000000001, 0.001394729118688885%, 8
('aten::new_empty_strided',), 131.3129999982193, 0.0012243038715968018%, 26
('aten::_local_scalar_dense',), 119.40800000287345, 0.0011133069589844974%, 153
('aten::detach',), 99.35299999715335, 0.0009263230796107116%, 55
('aten::threshold',), 84.04599999999925, 0.0007836074356203821%, 8
('aten::expand',), 80.13299999994325, 0.0007471243680665846%, 15
('aten::lt',), 44.96399999875575, 0.0004192242906772502%, 2
('aten::neg',), 36.212999999988824, 0.000337633867954601%, 4
('aten::mean',), 33.544999999925494, 0.00031275862536976856%, 1
('aten::conj',), 22.74200000334531, 0.00021203626946553436%, 26
('aten::div_',), 15.402999999932945, 0.00014361070521866964%, 1
('aten::is_nonzero',), 13.629000000655651, 0.00012707072008880918%, 1
('aten::reciprocal',), 9.322999999858439, 8.692349573064702e-05%, 1
('aten::ones_like',), 8.095999999903142, 7.548349473748628e-05%, 1
Total time: 10725523.544000067us
