kList(5),            Time(us),                Time%,   Calls (Top 407, sorted by time)
-------------------------------------------------------------
('aten::sub', 'aten::empty', 'aten::exp', 'aten::empty', 'aten::mul'), 3269345.847000009, 30.481923176877494%, 102
('aten::add', 'aten::transpose', 'aten::as_strided', 'aten::logsumexp', 'aten::empty'), 2614819.934999997, 24.379415366280607%, 106
('aten::as_strided', 'aten::add', 'aten::transpose', 'aten::as_strided', 'aten::logsumexp'), 2614782.6789999944, 24.37906800794561%, 106
('aten::logsumexp', 'aten::empty', 'aten::amax', 'aten::empty', 'aten::amax'), 2555993.5400000024, 23.83094428457847%, 132
('aten::transpose', 'aten::as_strided', 'aten::logsumexp', 'aten::empty', 'aten::amax'), 2307708.424999996, 21.516044559810272%, 106
('aten::as_strided', 'aten::logsumexp', 'aten::empty', 'aten::amax', 'aten::empty'), 2306322.3369999994, 21.50312129322743%, 106
('aten::empty', 'aten::exp', 'aten::empty', 'aten::mul', 'aten::empty'), 2272597.843000001, 21.18868914582084%, 102
('aten::as_strided', 'aten::sub', 'aten::empty', 'aten::exp', 'aten::empty'), 2139337.640000008, 19.946230421514187%, 102
('aten::unsqueeze', 'aten::as_strided', 'aten::sub', 'aten::empty', 'aten::exp'), 2138559.8600000096, 19.93897874753475%, 102
('aten::sub', 'aten::empty', 'aten::exp', 'aten::empty', 'aten::sum'), 1375698.435999998, 12.826398919888375%, 103
('aten::sum', 'aten::empty', 'aten::fill_', 'aten::sum', 'aten::empty'), 1192551.4009999973, 11.118817613962714%, 151
('aten::masked_fill_', 'aten::sub', 'aten::empty', 'aten::exp', 'aten::empty'), 1186324.5749999967, 11.060761464307586%, 103
('aten::resize_', 'aten::masked_fill_', 'aten::sub', 'aten::empty', 'aten::exp'), 1185654.180999991, 11.054511009518544%, 103
('aten::unsqueeze', 'aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::sub'), 1054823.7490000017, 9.834706386804564%, 131
('aten::as_strided', 'aten::unsqueeze', 'aten::as_strided', 'aten::sub', 'aten::empty'), 999708.1709999987, 9.320833308498424%, 102
