kList(4),            Time(us),                Time%,   Calls (Top 161, sorted by time)
-------------------------------------------------------------
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 9299202.86600001, 36.24187104070249%, 60
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 6975336.844000007, 27.185046074217855%, 60
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 6630245.443999999, 25.84011810606014%, 57
('aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 5798334.059000002, 22.597902018625657%, 45
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 4650418.858000005, 18.124121278513783%, 60
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 4495776.867999994, 17.52143359228754%, 57
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution'), 3925254.1220000023, 15.29792991307238%, 45
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 3145835.0700000017, 12.260292690151884%, 60
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty', 'aten::as_strided_'), 2574723.820999998, 10.034495432643958%, 60
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 2363117.5139999883, 9.209800176480305%, 57
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 2362399.4649999915, 9.207001717339905%, 57
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::add'), 2326791.4310000027, 9.0682261905731%, 60
('aten::as_strided_', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 2098978.5930000036, 8.180369068281514%, 60
('aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 2098866.880999999, 8.179933692050218%, 60
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty'), 2096901.1669999994, 8.172272696337203%, 60
('aten::native_batch_norm_backward', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 1321172.340999995, 5.1490174260130805%, 60
('aten::relu_', 'aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices'), 1188590.6419999986, 4.632305519976134%, 3
('aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty'), 1159807.7279999987, 4.520129597760521%, 3
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 1157144.6039999994, 4.509750579476464%, 24
('aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty'), 1131103.8139999984, 4.408261562990043%, 3
('aten::empty', 'aten::as_strided_', 'aten::add', 'aten::batch_norm'), 1051957.0089999994, 4.099801973342717%, 60
('aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select'), 1048553.3120000008, 4.086536712920601%, 60
