kList(2),            Time(us),                Time%,   Calls (Top 116, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided'), 1810083.9730007353, 1.7860801209468442%, 478080
('aten::as_strided', 'aten::select'), 1807030.0590007561, 1.7830667054546327%, 477603
('aten::empty_strided', 'aten::copy_'), 20751.2999998061, 0.020476113244632804%, 2099
('aten::to', 'aten::empty_strided'), 13550.459999896586, 0.013370764890746224%, 1938
('aten::mul_', 'aten::to'), 72698.97199991345, 0.0717348977390586%, 966
('aten::empty_like', 'aten::empty'), 14978.286000109627, 0.014779656231253397%, 642
('aten::copy_', 'aten::empty'), 2525.239999967627, 0.002491752334056027%, 489
('aten::div', 'aten::to'), 98977.92699994985, 0.09766536274782348%, 486
('aten::copy_', 'aten::add_'), 57612.29199996777, 0.05684828494047194%, 483
('aten::add_', 'aten::mul_'), 89580.94900001213, 0.08839299977847478%, 483
('aten::copy_', 'aten::addcmul_'), 50469.7290000394, 0.049800440764693844%, 483
('aten::addcmul_', 'aten::addcmul'), 97020.57600003667, 0.09573396853473361%, 483
('aten::addcmul', 'aten::sqrt'), 105072.31599997729, 0.1036789329493324%, 483
('aten::sqrt', 'aten::empty'), 58972.93199996278, 0.05819088124650267%, 483
('aten::empty', 'aten::div'), 81764.96999993362, 0.08068066989433378%, 483
('aten::empty', 'aten::add_'), 21623.890000034124, 0.02133713167051312%, 483
('aten::add_', 'aten::to'), 23744.651000089943, 0.023429768874078653%, 483
('aten::copy_', 'aten::addcdiv_'), 67281.42100012675, 0.06638918986623893%, 483
('aten::addcdiv_', 'aten::addcdiv'), 130047.42600007541, 0.1283228434833206%, 482
('aten::addcdiv', 'aten::mul_'), 97579.1579999458, 0.09628514307737236%, 480
('aten::empty', 'aten::select'), 6731.953000011315, 0.006642679349586063%, 477
('aten::empty', 'aten::as_strided_'), 11684.021000036038, 0.011529077077177876%, 474
('aten::zeros_like', 'aten::empty_like'), 193222.35299996845, 0.1906599963114956%, 328
('aten::empty_like', 'aten::empty_strided'), 2793.989999999292, 0.0027569383915654294%, 325
('aten::empty', 'aten::empty'), 3578.397000053177, 0.0035309432280400655%, 324
('aten::empty_strided', 'aten::zero_'), 44020.75599998236, 0.043436988765928414%, 322
('aten::empty', 'aten::empty_like'), 3486.261000062339, 0.003440029060265636%, 318
('aten::zero_', 'aten::zeros_like'), 21517.89099997841, 0.021232538342433483%, 229
('aten::zero_', 'aten::zero_'), 24358.30099996738, 0.024035281149944583%, 228
('aten::as_strided_', 'aten::add'), 935798.5839999849, 0.9233887891519934%, 207
('aten::zero_', 'aten::fill_'), 481956.3099999912, 0.47556499990927736%, 190
('aten::new_empty_strided', 'aten::empty_strided'), 2981.960000000894, 0.0029424156872848487%, 161
('aten::conv2d', 'aten::convolution'), 17131390.609000005, 16.904208129187126%, 159
('aten::convolution', 'aten::_convolution'), 17128889.337000042, 16.901740027009076%, 159
('aten::_convolution', 'aten::mkldnn_convolution'), 17125428.838000048, 16.89832541831432%, 159
('aten::mkldnn_convolution', 'aten::empty'), 8566113.21899999, 8.452516437053523%, 159
('aten::add', 'aten::batch_norm'), 5646598.144999959, 5.571717582273546%, 159
('aten::batch_norm', 'aten::_batch_norm_impl_index'), 11286343.198999995, 11.136672953630598%, 159
('aten::_batch_norm_impl_index', 'aten::empty'), 5642815.823000021, 5.567985418332054%, 159
('aten::empty', 'aten::native_batch_norm'), 5640965.916999994, 5.566160044271207%, 159
('aten::native_batch_norm', 'aten::empty'), 5641300.323999991, 5.56649001663929%, 159
('aten::as_strided', 'aten::empty_like'), 4505.3010000380455, 0.004445555385869726%, 159
('aten::native_batch_norm_backward', 'aten::empty_like'), 7834209.694999954, 7.730318818508633%, 159
('aten::mkldnn_convolution_backward_weights', 'aten::empty'), 8596785.235000001, 8.482781705883106%, 159
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input'), 25454630.046999983, 25.117071578526396%, 156
('aten::mkldnn_convolution_backward_input', 'aten::empty'), 8598227.722000062, 8.484205063801282%, 156
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 8263114.289999986, 8.153535631838212%, 156
('aten::relu_', 'aten::threshold_'), 623601.2079999658, 0.6153315192116363%, 147
('aten::threshold_backward', 'aten::empty'), 1518449.0550000155, 1.4983126265186524%, 147
('aten::threshold_', 'aten::conv2d'), 7290555.940999971, 7.193874555600892%, 141
('aten::as_strided', 'aten::relu_'), 130964.18699997739, 0.12922744714923218%, 99
('aten::fill_', 'aten::zeros_like'), 66951.64499997906, 0.06606378708547585%, 92
('aten::fill_', 'aten::zero_'), 23124.563999999315, 0.022817904960227522%, 92
('aten::as_strided', 'aten::add_'), 315502.70900000876, 0.3113187703195932%, 48
('aten::add_', 'aten::relu_'), 497740.7499999951, 0.4911401195859343%, 48
('aten::t', 'aten::transpose'), 226.22500000335276, 0.00022322498922375906%, 15
('aten::transpose', 'aten::as_strided'), 82.22700000181794, 8.113657283251549e-05%, 15
('aten::empty', 'aten::zero_'), 145633.75799997724, 0.14370248230601682%, 14
('aten::as_strided', 'aten::conv2d'), 1120411.9910000013, 1.1055540042587648%, 12
('aten::zeros', 'aten::empty'), 83.78499999321991, 8.267391190329089e-05%, 6
('aten::empty', 'aten::resize_'), 161.58299999986775, 0.0001594402185133322%, 6
