kList(5),            Time(us),                Time%,   Calls (Top 170, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 5099812.061001926, 5.032182527764304%, 477126
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 3927383.7570016743, 3.8753020082717304%, 477126
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 101788.40199986007, 0.10043856752872439%, 486
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 94743.37999996729, 0.09348697084407899%, 483
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 94458.58799996413, 0.09320595552247096%, 483
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 93947.59199993871, 0.0927017359331357%, 483
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 93924.98999989964, 0.09267943366232088%, 483
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 93410.78199995495, 0.0921720446679802%, 483
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 86782.42699997127, 0.08563158948654279%, 483
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 100850.4089999795, 0.09951301342423903%, 483
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 155903.15100000612, 0.15383569102181754%, 483
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 156851.23699999042, 0.15477120428130062%, 483
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 236449.28599995933, 0.23331368910829575%, 483
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 189995.06099989824, 0.18747550201631635%, 483
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 142973.41799984872, 0.14107742155741954%, 483
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 86715.01099982858, 0.08556506750221242%, 483
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 26573.930999929085, 0.026221529278391744%, 483
