kList(1),            Time(us),                Time%,   Calls (Top 62, sorted by time)
-------------------------------------------------------------
('aten::mkldnn_convolution_backward',), 17193467.483999975, 16.96546179148222%, 159
('aten::mkldnn_convolution_backward_weights',), 8595435.147999983, 8.481449522631804%, 159
('aten::mkldnn_convolution_backward_input',), 8594176.572000014, 8.480207636836571%, 156
('aten::conv2d',), 8566356.25599999, 8.45275625109576%, 159
('aten::convolution',), 8565034.353000013, 8.451451878091362%, 159
('aten::_convolution',), 8563854.984000027, 8.450288148917712%, 159
('aten::mkldnn_convolution',), 8561573.85400002, 8.448037269396607%, 159
('aten::native_batch_norm_backward',), 7831073.871999958, 7.727224580226519%, 159
('aten::batch_norm',), 5643725.872999993, 5.5688833999938225%, 159
('aten::_batch_norm_impl_index',), 5642617.326000001, 5.567789553636773%, 159
('aten::native_batch_norm',), 5640767.419999974, 5.565964179575927%, 159
('aten::threshold_backward',), 1516405.900000019, 1.4962965661678957%, 147
('aten::select',), 1491820.4800004028, 1.4720371778845731%, 478080
('aten::add',), 935141.6979999903, 0.9227406142364543%, 207
('aten::max_pool2d',), 593599.8840000007, 0.5857280482137738%, 3
('aten::max_pool2d_with_indices',), 593573.0980000017, 0.5857016174277818%, 3
('aten::add_',), 431677.42000010516, 0.42595286739412297%, 1336
('aten::as_strided',), 318287.441000337, 0.3140665734835013%, 478101
('aten::relu_',), 313179.2409999836, 0.3090261142503715%, 147
('aten::threshold_',), 310421.96699998213, 0.3063054049612648%, 147
('aten::zero_',), 242546.98799994926, 0.23933052837547342%, 662
('aten::fill_',), 240835.6389999995, 0.23764187388518182%, 199
('aten::max_pool2d_with_indices_backward',), 220217.429000007, 0.21729708570972237%, 3
('aten::zeros_like',), 191325.8869999675, 0.1887886796912849%, 328
('aten::div',), 95786.29899996147, 0.09451605950594882%, 486
('aten::mul_',), 66965.9799999632, 0.06607793198642373%, 966
('aten::addcdiv_',), 65979.19800010882, 0.06510423588174728%, 483
('aten::addcdiv',), 64076.609999965876, 0.06322687844634947%, 482
('aten::sqrt',), 57663.73999998905, 0.05689905067922834%, 483
('aten::addcmul_',), 49612.00000004843, 0.04895408626462952%, 483
('aten::addcmul',), 47408.57599998824, 0.04677988227010408%, 483
('aten::empty',), 23137.51700006709, 0.02283068618821073%, 2916
('aten::copy_',), 18248.19499990996, 0.018006202374395333%, 2102
('aten::to',), 12057.324999993667, 0.011897430625046116%, 1941
('aten::mm',), 11066.794999998994, 0.010920036223139414%, 6
('aten::empty_like',), 10499.506000070964, 0.010360270145589122%, 967
('aten::addmm',), 7686.936999993399, 0.0075849991334371114%, 3
('aten::empty_strided',), 3583.634999891743, 0.0035361117658121977%, 2424
('aten::adaptive_avg_pool2d',), 2564.7790000019595, 0.0025307670002354997%, 3
('aten::mean',), 2548.6980000035837, 0.002514899253296428%, 3
('aten::sum',), 2441.410000000149, 0.0024090340189313027%, 6
('aten::new_empty_strided',), 1876.3340000072494, 0.0018514515943223939%, 161
('aten::as_strided_',), 1605.7570000068954, 0.0015844627650224447%, 474
('aten::log_softmax',), 298.4210000000894, 0.00029446358496265266%, 3
('aten::_log_softmax',), 277.7350000012666, 0.0002740519057638397%, 3
('aten::resize_',), 192.2209999896877, 0.00018967192242520632%, 18
('aten::nll_loss_backward',), 175.19400000106543, 0.00017287072057343565%, 3
('aten::_log_softmax_backward_data',), 175.1749999988824, 0.00017285197253372964%, 3
('aten::t',), 162.04400000162423, 0.00015989510511040463%, 15
('aten::div_',), 143.472999997437, 0.00014157037850747532%, 3
('aten::nll_loss',), 77.06699999701232, 7.604500052419296e-05%, 3
('aten::zeros',), 67.37700000035761, 6.648350137600238e-05%, 6
('aten::nll_loss_forward',), 64.84399999957532, 6.398409194791074e-05%, 3
('aten::transpose',), 64.18100000172853, 6.332988411335442e-05%, 15
('aten::view',), 62.03100000414997, 6.120839565591848e-05%, 9
('aten::flatten',), 49.01500000059605, 4.836500319051142e-05%, 3
('aten::reshape',), 44.837000004947186, 4.424240841101419e-05%, 3
('aten::expand',), 38.020000003278255, 3.7515809883493544e-05%, 6
('aten::resize_as_',), 37.90699999872595, 3.7404308392508467e-05%, 6
('aten::random_',), 36.89699999988079, 3.640770218693938e-05%, 3
('aten::ones_like',), 35.58300000615418, 3.511112738558986e-05%, 3
('aten::conj',), 8.88399999216199, 8.766187656027604e-06%, 6
Total time: 101343940.38500166us
