kList(4),            Time(us),                Time%,   Calls (Top 161, sorted by calls)
-------------------------------------------------------------
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 5685075.0340039935, 4.318460080264104%, 613539
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 5680217.173004151, 4.314769983180457%, 613062
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 97586.13499998301, 0.07412775132501342%, 966
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 115877.53700000606, 0.08802214829896673%, 486
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 5074.048999982886, 0.0038543164198656904%, 486
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 59435.17399995774, 0.045147764057143346%, 483
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 100715.84600012377, 0.07650512223674831%, 483
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 103346.42000003904, 0.07850334191526924%, 483
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 102800.7199998945, 0.07808882079596492%, 483
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 53293.41899983585, 0.040482403682452074%, 483
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 96778.92899987102, 0.07351458670235088%, 483
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 182431.12399996817, 0.13857715539010418%, 483
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 182910.67100005224, 0.13894142579358817%, 483
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 231001.3600000851, 0.17547176522391417%, 483
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 187188.04800006002, 0.14219057936012675%, 483
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 101105.12800012156, 0.07680082612225567%, 483
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 23457.493999939412, 0.017818630504587624%, 483
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 25963.45399984345, 0.019722191699047775%, 483
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 25363.177999850363, 0.019266213910257707%, 483
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 25648.82099987194, 0.01948319220613277%, 483
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 71510.48999990523, 0.05432033782097997%, 483
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 133354.91899999604, 0.10129820464352579%, 482
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 176617.15400011837, 0.13416078494608538%, 480
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 178399.43699999526, 0.13551463127892452%, 480
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 111773.07200008258, 0.08490434103222128%, 480
