kList(1),            Time(us),                Time%,   Calls (Top 62, sorted by time)
-------------------------------------------------------------
('aten::mkldnn_convolution_backward',), 21490271.225999992, 16.324301411755844%, 159
('aten::conv2d',), 11375889.673000012, 8.64128004230396%, 159
('aten::convolution',), 11374449.481999999, 8.640186053692673%, 159
('aten::_convolution',), 11373175.146999976, 8.639218051547836%, 159
('aten::mkldnn_convolution',), 11370672.189999975, 8.63731677147282%, 159
('aten::mkldnn_convolution_backward_input',), 10997825.334000017, 8.35409724419179%, 156
('aten::mkldnn_convolution_backward_weights',), 10488382.94200002, 7.967117895654188%, 159
('aten::native_batch_norm_backward',), 10175696.949999996, 7.729597376393977%, 159
('aten::batch_norm',), 7693451.21700004, 5.844049860618009%, 159
('aten::_batch_norm_impl_index',), 7692222.495000017, 5.843116506726441%, 159
('aten::native_batch_norm',), 7690136.319, 5.841531819150184%, 159
('aten::select',), 2238554.5140004484, 1.7004363615931752%, 614016
('aten::threshold_backward',), 2219403.6639999477, 1.6858891162647278%, 147
('aten::add',), 983134.0399999705, 0.7468019471852871%, 207
('aten::as_strided',), 606754.8260015754, 0.4608991928730901%, 614037
('aten::max_pool2d',), 588832.9600000078, 0.4472855004541347%, 3
('aten::max_pool2d_with_indices',), 588796.3449999976, 0.44725768720366105%, 3
('aten::add_',), 434528.7339998777, 0.33007391815980264%, 1336
('aten::relu_',), 424026.77100000944, 0.32209648466805846%, 147
('aten::threshold_',), 420936.51899996423, 0.31974908734782426%, 147
('aten::zero_',), 218340.95499993453, 0.16585474992224986%, 662
('aten::fill_',), 216396.10100004915, 0.1643774124534897%, 191
('aten::max_pool2d_with_indices_backward',), 196017.22899999842, 0.1488973449633252%, 3
('aten::zeros_like',), 166409.06899998803, 0.12640658516765996%, 328
('aten::div',), 111825.03900000174, 0.084943815869985%, 486
('aten::mul_',), 88116.03900013492, 0.06693413799766046%, 966
('aten::sqrt',), 86455.65600001812, 0.06567288855749195%, 483
('aten::addcdiv_',), 67023.39699996263, 0.05091188113733314%, 483
('aten::addcdiv',), 64738.597000069916, 0.049176316077609576%, 482
('aten::addcmul_',), 48639.58099997416, 0.03694728523595652%, 483
('aten::addcmul',), 46494.48099999502, 0.035317838190371945%, 483
('aten::empty',), 26133.982999978667, 0.019851727839768265%, 2916
('aten::copy_',), 21437.969999990426, 0.01628457269132203%, 2102
('aten::to',), 11759.046999790706, 0.008932331542998218%, 1941
('aten::empty_like',), 11606.35100007357, 0.008816341591194531%, 967
('aten::mm',), 11219.748999998905, 0.00852267346996714%, 6
('aten::addmm',), 7743.061999997124, 0.005881734884059584%, 3
('aten::empty_strided',), 4563.530000009574, 0.0034665192653137366%, 2424
('aten::adaptive_avg_pool2d',), 2620.523000000976, 0.001990584802703625%, 3
('aten::mean',), 2597.292000000365, 0.0019729382201119795%, 3
('aten::sum',), 2453.6419999934733, 0.0018638197323437029%, 6
('aten::new_empty_strided',), 2232.1889999844134, 0.001695601030836028%, 161
('aten::as_strided_',), 1838.0649999970628, 0.0013962190964834993%, 474
('aten::log_softmax',), 285.49100000038743, 0.00021686283459798682%, 3
('aten::_log_softmax',), 265.37899999693036, 0.00020158548669497585%, 3
('aten::nll_loss_backward',), 231.8779999986291, 0.0001761376728532474%, 3
('aten::_log_softmax_backward_data',), 206.1499999910593, 0.00015659433519927215%, 3
('aten::t',), 172.81299999263138, 0.00013127109798113796%, 15
('aten::div_',), 159.26199999824166, 0.00012097757464619336%, 3
('aten::resize_',), 139.2320000118052, 0.00010576251506795673%, 18
('aten::zeros',), 82.67800000062584, 6.28033298387821e-05%, 6
('aten::nll_loss',), 78.66899999789894, 5.975803907832552e-05%, 3
('aten::transpose',), 72.59800000023097, 5.5146425162871574e-05%, 15
('aten::view',), 66.82099999114871, 5.0758137625119164e-05%, 9
('aten::nll_loss_forward',), 63.804000003263354, 4.8466383526552056e-05%, 3
('aten::flatten',), 50.59200000297278, 3.8430369183656034e-05%, 3
('aten::reshape',), 49.77600000333041, 3.78105245197116e-05%, 3
('aten::random_',), 40.560000002384186, 3.080992595843459e-05%, 3
('aten::resize_as_',), 36.71599998977035, 2.7889971427717326e-05%, 6
('aten::expand',), 35.29099999926984, 2.680752211323237e-05%, 6
('aten::ones_like',), 34.31600000523031, 2.6066898897648875e-05%, 3
('aten::conj',), 7.912999999709427, 6.010822092845402e-06%, 6
Total time: 131645885.99499829us
