kList(1),            Time(us),                Time%,   Calls (Top 70, sorted by calls)
-------------------------------------------------------------
('aten::as_strided',), 115077.19399998273, 0.8549285881166487%, 146076
('aten::select',), 400872.94999999786, 2.978155212558498%, 145620
('aten::empty',), 19572.06600000329, 0.14540429923857187%, 3255
('aten::empty_strided',), 2557.276999994996, 0.018998457809366025%, 2559
('aten::copy_',), 191500.5189999967, 1.4226908272745789%, 2354
('aten::to',), 10237.16500000679, 0.07605368809891462%, 2136
('aten::add_',), 15274.703000002075, 0.11347843839236184%, 1360
('aten::empty_like',), 10724.574999989512, 0.07967474218126588%, 1156
('aten::mul_',), 14051.36599999736, 0.10439005399705721%, 1020
('aten::zero_',), 42609.01900000684, 0.3165498496141362%, 698
('aten::div',), 18829.154999993043, 0.1398850835689998%, 513
('aten::addcmul_',), 6127.417999999365, 0.04552165930932225%, 510
('aten::addcmul',), 4142.90699999989, 0.030778380225442565%, 510
('aten::sqrt',), 7909.896000002045, 0.05876399992367115%, 510
('aten::addcdiv_',), 9021.876999996603, 0.06702510113142243%, 510
('aten::addcdiv',), 7314.916999998502, 0.054343796938602175%, 509
('aten::as_strided_',), 874.0289999923189, 0.006493314209039122%, 501
('aten::zeros_like',), 29503.429999998305, 0.21918613825864325%, 346
('aten::narrow',), 3490.8710000010324, 0.025934290814639466%, 330
('aten::slice',), 2604.120999995561, 0.019346470073049002%, 330
('aten::view',), 1399.86200000206, 0.010399819474396367%, 195
('aten::add',), 16175.265999997064, 0.12016887832519445%, 177
('aten::new_empty_strided',), 1257.586000000243, 0.009342826202519614%, 170
('aten::conv2d',), 841933.690000005, 6.254872541293042%, 168
('aten::convolution',), 840983.9039999974, 6.247816415089622%, 168
('aten::_convolution',), 840026.2680000061, 6.240701969864251%, 168
('aten::mkldnn_convolution',), 813814.3819999957, 6.045969287297566%, 168
('aten::batch_norm',), 1082537.2479999987, 8.042358427825935%, 168
('aten::_batch_norm_impl_index',), 1081543.4919999999, 8.034975640807234%, 168
('aten::native_batch_norm',), 1080067.7259999989, 8.024011917249885%, 168
('aten::native_batch_norm_backward',), 1256110.6469999969, 9.331865547209627%, 168
('aten::mkldnn_convolution_backward',), 1703649.260999998, 12.656708134132282%, 168
('aten::mkldnn_convolution_backward_weights',), 1006353.1700000055, 7.476373596448202%, 168
('aten::mkldnn_convolution_backward_input',), 694441.2600000037, 5.159125499200465%, 165
('aten::relu_',), 40266.71499999869, 0.2991484637959588%, 111
('aten::threshold_',), 38881.700000002704, 0.28885894527965633%, 111
('aten::transpose',), 932.5340000040596, 0.0069279580799855205%, 111
('aten::threshold_backward',), 135008.33599999768, 1.003000525720791%, 111
('aten::resize_',), 1554.355000000127, 0.01154757497460671%, 105
('aten::reshape',), 83002.45999999775, 0.616639783013977%, 96
('aten::cat',), 123427.40700000006, 0.9169637799947126%, 87
('aten::_cat',), 122385.43900000292, 0.9092228176012394%, 87
('aten::contiguous',), 107831.03300000308, 0.8010955915197777%, 87
('aten::fill_',), 40888.537999999244, 0.30376809554896284%, 59
('aten::clone',), 81467.05499999668, 0.6052329909015592%, 48
('aten::_unsafe_view',), 420.32299999927636, 0.003122653033600988%, 48
('aten::chunk',), 986.9820000007749, 0.007332461788713194%, 39
('aten::split',), 830.6129999983241, 0.006170769156571611%, 39
('aten::t',), 148.20099999930244, 0.0011010111324655527%, 15
('aten::zeros',), 60.33700000013596, 0.00044825411906826825%, 6
('aten::sum',), 1531.3259999996517, 0.011376488508454715%, 6
('aten::expand',), 33.324999999953434, 0.0002475772497455211%, 6
('aten::resize_as_',), 29.917999999714084, 0.00022226605124759378%, 6
('aten::conj',), 7.758000000147149, 5.763553799144388e-05%, 6
('aten::mm',), 5583.692000000388, 0.04148222381959778%, 6
('aten::unsqueeze',), 57.60999999940395, 0.0004279947594212103%, 6
('aten::max_pool2d',), 220894.64600000012, 1.641064934441618%, 3
('aten::max_pool2d_with_indices',), 220866.8980000003, 1.6408587896996556%, 3
('aten::mean',), 1629.5389999999898, 0.012106130051721767%, 3
('aten::div_',), 119.44500000041444, 0.0008873777823255122%, 3
('aten::addmm',), 3915.482999999542, 0.029088807578892224%, 3
('aten::random_',), 36.328999999328516, 0.00026989449079824033%, 3
('aten::log_softmax',), 273.76499999978114, 0.0020338480353075204%, 3
('aten::_log_softmax',), 251.7539999996079, 0.0018703244690899908%, 3
('aten::nll_loss',), 74.22599999979138, 0.0005514379276694698%, 3
('aten::nll_loss_forward',), 57.47199999948498, 0.0004269695333013342%, 3
('aten::ones_like',), 31.90299999981653, 0.00023701296319870885%, 3
('aten::nll_loss_backward',), 158.85700000042561, 0.0011801764189942857%, 3
('aten::_log_softmax_backward_data',), 183.66000000038184, 0.0013644422412129175%, 3
('aten::max_pool2d_with_indices_backward',), 54020.628000000026, 0.4013286874654039%, 3
Total time: 13460445.187999878us
