kList(2),            Time(us),                Time%,   Calls (Top 140, sorted by time)
-------------------------------------------------------------
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input'), 2309583.751000002, 17.15830136925203%, 165
('aten::batch_norm', 'aten::_batch_norm_impl_index'), 2164080.7399999984, 16.077334068633167%, 168
('aten::conv2d', 'aten::convolution'), 1682917.5940000024, 12.502688956382663%, 168
('aten::convolution', 'aten::_convolution'), 1681010.1720000035, 12.48851838495387%, 168
('aten::_convolution', 'aten::mkldnn_convolution'), 1363781.2720000034, 10.131769439660347%, 129
('aten::native_batch_norm_backward', 'aten::empty_like'), 1258889.3239999958, 9.35250882431666%, 168
('aten::add', 'aten::batch_norm'), 1084545.4089999967, 8.057277406893494%, 168
('aten::_batch_norm_impl_index', 'aten::empty'), 1081717.3190000006, 8.03626703197278%, 168
('aten::native_batch_norm', 'aten::empty'), 1080317.4629999949, 8.025867257073404%, 168
('aten::empty', 'aten::native_batch_norm'), 1080241.5529999996, 8.025303308415427%, 168
('aten::mkldnn_convolution_backward_weights', 'aten::empty'), 1007433.8680000091, 7.484402290781188%, 168
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 918229.1430000036, 6.821684797012614%, 165
('aten::mkldnn_convolution', 'aten::empty'), 817185.0509999974, 6.071010576444575%, 168
('aten::mkldnn_convolution_backward_input', 'aten::empty'), 697715.089000007, 5.183447347061203%, 165
('aten::select', 'aten::as_strided'), 514381.10199998046, 3.821427113410457%, 145620
('aten::as_strided', 'aten::select'), 512015.0059999742, 3.8038489726657834%, 145116
('aten::max_pool2d', 'aten::max_pool2d_with_indices'), 441761.54400000046, 3.281923724141274%, 3
('aten::as_strided', 'aten::conv2d'), 368337.22800000024, 2.73644164702945%, 96
('aten::threshold_', 'aten::conv2d'), 310344.45200000424, 2.305603177795928%, 57
('aten::cat', 'aten::_cat'), 245812.846000003, 1.8261865975959517%, 87
('aten::threshold_', 'aten::max_pool2d'), 231734.59000000008, 1.721596773088856%, 3
('aten::max_pool2d_with_indices', 'aten::empty'), 220875.41100000028, 1.6409220342646091%, 3
('aten::empty', 'aten::copy_'), 187755.67199999467, 1.3948697043644642%, 135
('aten::_convolution', 'aten::contiguous'), 181807.59400000208, 1.3506803932613267%, 39
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights'), 176969.04099999997, 1.3147339373126354%, 3
('aten::reshape', 'aten::clone'), 163706.80799999728, 1.2162064903019965%, 48
('aten::copy_', 'aten::mkldnn_convolution'), 156016.75799999846, 1.1590757647383683%, 39
('aten::threshold_backward', 'aten::empty'), 136460.4589999977, 1.0137886012986672%, 111
