kList(4),            Time(us),                Time%,   Calls (Top 200, sorted by time)
-------------------------------------------------------------
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 3244322.292999998, 24.102637377048598%, 168
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 2731147.7770000026, 20.290174201926458%, 129
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 2313195.8240000037, 17.185136090909094%, 165
('aten::as_strided_', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 2166402.923999994, 16.094585979454557%, 168
('aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 2166262.7279999973, 16.09354443886627%, 168
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty'), 2162034.7819999955, 16.062134289046185%, 168
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 2049727.2710000004, 15.227782160038458%, 129
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 1615944.2320000106, 12.005132144073816%, 165
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 1366663.7520000008, 10.153183887397686%, 129
('aten::native_batch_norm_backward', 'aten::empty_like', 'aten::empty', 'aten::empty_like'), 1261590.5779999946, 9.372576912424229%, 168
('aten::as_strided', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 1103381.658000003, 8.197215193028526%, 96
('aten::empty', 'aten::as_strided_', 'aten::add', 'aten::batch_norm'), 1088230.100999996, 8.084651627794333%, 168
('aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select'), 1081272.7460000007, 8.032964221450612%, 168
('aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty'), 1080674.8489999997, 8.028522340133536%, 168
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 1024560.3289999497, 7.611637763016602%, 145116
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 1020644.5099999462, 7.582546459234953%, 144612
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty', 'aten::as_strided_'), 1008591.6900000052, 7.493003952790319%, 168
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 922545.1400000103, 6.853749093101828%, 165
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 920190.9800000058, 6.836259626987413%, 165
('aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 894137.1170000039, 6.642700924908013%, 57
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::add'), 819507.234999993, 6.088262487265963%, 168
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution'), 621047.6920000028, 4.613871854354959%, 57
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::contiguous'), 497358.6830000053, 3.6949645873778794%, 39
('aten::relu_', 'aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices'), 463523.3740000008, 3.4435961628760734%, 3
('aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty'), 452610.00100000034, 3.362518807353465%, 3
('aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty'), 441772.5590000009, 3.282005556501545%, 3
('aten::select', 'aten::as_strided', 'aten::conv2d', 'aten::convolution'), 420691.76699999825, 3.1253926681046864%, 57
('aten::convolution', 'aten::_convolution', 'aten::contiguous', 'aten::empty_like'), 340147.1660000026, 2.527012749201246%, 39
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 329019.1870000063, 2.4443410481945294%, 57
('aten::slice', 'aten::as_strided', 'aten::conv2d', 'aten::convolution'), 315664.89400000154, 2.345129671353069%, 39
('aten::cat', 'aten::_cat', 'aten::empty', 'aten::resize_'), 247324.54899999988, 1.837417303407559%, 87
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::max_pool2d'), 242658.24400000073, 1.8027505079574413%, 3
('aten::view', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 235982.9610000006, 1.7531586638039416%, 9
('aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty', 'aten::resize_'), 220991.93700000076, 1.6417877262857345%, 3
('aten::contiguous', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 216311.52700000006, 1.6070161423252474%, 87
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::conv2d'), 210613.64999999903, 1.5646856181826974%, 57
('aten::_convolution', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 183011.07200000127, 1.3596212416745137%, 39
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 177023.962000001, 1.3151419550210688%, 3
('aten::copy_', 'aten::view', 'aten::conv2d', 'aten::convolution'), 176878.71699999837, 1.3140629045292462%, 9
('aten::reshape', 'aten::clone', 'aten::empty_like', 'aten::empty'), 165197.2069999954, 1.2272789249739702%, 48
('aten::clone', 'aten::empty_like', 'aten::empty', 'aten::copy_'), 163144.072999993, 1.212025833628724%, 48
('aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::conv2d'), 158127.429, 1.174756308513274%, 39
('aten::relu_', 'aten::threshold_', 'aten::cat', 'aten::_cat'), 157563.20100000175, 1.1705645600820909%, 48
('aten::empty', 'aten::copy_', 'aten::mkldnn_convolution', 'aten::empty'), 157289.2379999993, 1.1685292410701562%, 39
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::mkldnn_convolution'), 157220.23599999765, 1.168016613151555%, 39
('aten::copy_', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 156818.9700000005, 1.165035537901868%, 39
('aten::threshold_', 'aten::cat', 'aten::_cat', 'aten::empty'), 148723.352000001, 1.1048917767785968%, 48
('aten::zero_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 124922.82800000068, 0.9280735239824804%, 2
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 121708.28600000001, 0.9041921296073042%, 1
('aten::_cat', 'aten::empty', 'aten::resize_', 'aten::narrow'), 111140.22299999831, 0.8256801424300656%, 78
('aten::empty', 'aten::copy_', 'aten::view', 'aten::conv2d'), 98388.55099999742, 0.730945742327392%, 9
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::cat'), 87762.33199999965, 0.6520017040613236%, 48
('aten::as_strided', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 85239.96600000001, 0.6332626061728798%, 48
('aten::transpose', 'aten::as_strided', 'aten::contiguous', 'aten::empty_like'), 84960.7270000045, 0.631188090834825%, 48
('aten::view', 'aten::transpose', 'aten::as_strided', 'aten::contiguous'), 84545.98100000527, 0.6281068703090062%, 48
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::view'), 84250.74199999706, 0.6259134881742799%, 48
('aten::fill_', 'aten::zero_', 'aten::conv2d', 'aten::convolution'), 83999.36300000083, 0.6240459496457599%, 2
('aten::empty_like', 'aten::empty', 'aten::copy_', 'aten::_unsafe_view'), 82097.34099999559, 0.6099154957607658%, 48
('aten::empty', 'aten::copy_', 'aten::_unsafe_view', 'aten::view'), 81379.19999999623, 0.6045803007507256%, 48
('aten::select', 'aten::as_strided', 'aten::relu_', 'aten::threshold_'), 79469.23599999865, 0.5903908443596373%, 111
('aten::max_pool2d_with_indices_backward', 'aten::zeros_like', 'aten::empty_like', 'aten::empty'), 78368.61899999972, 0.5822141682941224%, 3
('aten::copy_', 'aten::view', 'aten::chunk', 'aten::split'), 64835.0929999986, 0.4816712381682571%, 39
('aten::empty', 'aten::copy_', 'aten::view', 'aten::chunk'), 64622.80300000007, 0.48009409865293273%, 39
