kList(5),            Time(us),                Time%,   Calls (Top 213, sorted by time)
-------------------------------------------------------------
('aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm'), 3246330.4539999967, 24.11755635611616%, 168
('aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty'), 3244572.0299999937, 24.104492716872116%, 168
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 3231086.7230000086, 24.004308014125378%, 165
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 2733786.2010000036, 20.309775514982235%, 129
('aten::empty', 'aten::as_strided_', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index'), 2169773.5929999957, 16.119627268601565%, 168
('aten::as_strided_', 'aten::add', 'aten::batch_norm', 'aten::_batch_norm_impl_index', 'aten::empty'), 2166576.7509999946, 16.0958773706201%, 168
('aten::_batch_norm_impl_index', 'aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty'), 2162218.3409999995, 16.06349798094077%, 168
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 2049971.3269999968, 15.229595294720019%, 129
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::add', 'aten::batch_norm'), 1902044.4829999916, 14.130620915091896%, 168
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 1616986.4000000139, 12.012874592302293%, 165
('aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select'), 1419124.9379999368, 10.542927207675872%, 144612
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::add'), 1368236.9399999995, 10.16487137602103%, 129
('aten::native_batch_norm_backward', 'aten::empty_like', 'aten::empty', 'aten::empty_like', 'aten::empty'), 1261778.4439999927, 9.373972601774575%, 168
('aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 1185288.6530000037, 8.805716575085498%, 57
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::select', 'aten::as_strided'), 1133190.9299999285, 8.418673484961548%, 144612
('aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select', 'aten::as_strided'), 1081526.2750000013, 8.034847732704954%, 168
('aten::empty', 'aten::native_batch_norm', 'aten::empty', 'aten::empty', 'aten::select'), 1081446.5730000015, 8.034255612616157%, 168
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty'), 923464.8090000091, 6.860581474848152%, 165
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::empty', 'aten::as_strided_'), 920404.709000002, 6.837847457085239%, 165
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 912785.0610000045, 6.781239760284909%, 57
('aten::as_strided', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 839575.3069999996, 6.2373517017735%, 57
('aten::select', 'aten::as_strided', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 630479.855000001, 4.683945041892672%, 57
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution'), 621074.4830000044, 4.614070889376665%, 57
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::contiguous', 'aten::empty_like'), 498021.9260000045, 3.699891935550512%, 39
('aten::as_strided', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::contiguous'), 497378.4880000044, 3.6951117221845102%, 39
('aten::slice', 'aten::as_strided', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 473138.4880000018, 3.5150285253700932%, 39
('aten::relu_', 'aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty'), 463531.8870000008, 3.443659407441027%, 3
('aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices'), 463525.14200000104, 3.4436092976570967%, 3
('aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty'), 452612.50300000084, 3.362537395148783%, 3
('aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty', 'aten::resize_'), 441886.58300000086, 3.282852660727352%, 3
('aten::as_strided', 'aten::select', 'aten::as_strided', 'aten::conv2d', 'aten::convolution'), 420720.06899999763, 3.125602928609477%, 57
('aten::convolution', 'aten::_convolution', 'aten::contiguous', 'aten::empty_like', 'aten::empty'), 340687.4010000026, 2.5310262494418%, 39
('aten::select', 'aten::as_strided', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 329154.91300000495, 2.4453493803715336%, 57
('aten::narrow', 'aten::slice', 'aten::as_strided', 'aten::conv2d', 'aten::convolution'), 315803.7580000013, 2.3461613162805603%, 39
