kList(2),            Time(us),                Time%,   Calls (Top 106, sorted by calls)
-------------------------------------------------------------
('aten::empty_strided', 'aten::copy_'), 2991.1920000013197, 0.0298955288585239%, 685
('aten::to', 'aten::empty_strided'), 4290.37500000291, 0.04288023959224947%, 633
('aten::mul_', 'aten::to'), 9651.848999995971, 0.09646559977339043%, 312
('aten::empty', 'aten::as_strided_'), 4951.763999998293, 0.04949050531108781%, 309
('aten::div', 'aten::to'), 21001.209000003873, 0.20989700752182763%, 159
('aten::copy_', 'aten::empty'), 584.4799999985844, 0.005841597165003122%, 159
('aten::copy_', 'aten::add_'), 2528.0630000010133, 0.025266776713986746%, 156
('aten::add_', 'aten::mul_'), 5081.016000002855, 0.050782317035696814%, 156
('aten::copy_', 'aten::addcmul_'), 2684.010999995284, 0.026825402149684537%, 156
('aten::addcmul_', 'aten::addcmul'), 4214.053999999538, 0.04211744781622466%, 156
('aten::addcmul', 'aten::sqrt'), 10723.478000005474, 0.10717601745817999%, 156
('aten::sqrt', 'aten::empty'), 9794.921000003582, 0.09789553576715893%, 156
('aten::empty', 'aten::div'), 5495.23900000006, 0.054922277175425485%, 156
('aten::empty', 'aten::add_'), 2449.5349999964237, 0.024481927031873952%, 156
('aten::add_', 'aten::to'), 3101.8309999988414, 0.03100131257862701%, 156
('aten::copy_', 'aten::addcdiv_'), 3688.80100000347, 0.03686779609898224%, 156
('aten::addcdiv_', 'aten::addcdiv'), 6081.931000000564, 0.0607859822191246%, 155
('aten::addcdiv', 'aten::mul_'), 7578.180999997538, 0.07574028306455885%, 153
('aten::zeros_like', 'aten::empty_like'), 77557.32399999956, 0.7751482411797209%, 116
('aten::empty_like', 'aten::empty_strided'), 781.3090000010561, 0.007808808580975649%, 107
('aten::empty_strided', 'aten::zero_'), 2013.557999999728, 0.020124546099774595%, 104
('aten::zero_', 'aten::zeros_like'), 1742.563999998616, 0.017416091093370296%, 87
('aten::zero_', 'aten::zero_'), 1409.0439999960363, 0.014082718717084315%, 86
('aten::conv2d', 'aten::convolution'), 1870882.2240000027, 18.698570174855636%, 78
