kList(1),            Time(us),                Time%,   Calls (Top 60, sorted by time)
-------------------------------------------------------------
('aten::mkldnn_convolution_backward',), 1558141.066, 15.57287235464445%, 78
('aten::conv2d',), 935731.3560000012, 9.35218593694801%, 78
('aten::convolution',), 935150.8680000014, 9.346384237907623%, 78
('aten::_convolution',), 934511.6850000009, 9.339995910504237%, 78
('aten::mkldnn_convolution',), 933536.5070000011, 9.330249474287113%, 78
('aten::max_pool2d',), 903629.9379999998, 9.031347666379569%, 9
('aten::max_pool2d_with_indices',), 903558.121, 9.03062988992255%, 9
('aten::mkldnn_convolution_backward_weights',), 844942.8979999964, 8.444798859769804%, 78
('aten::mkldnn_convolution_backward_input',), 711355.9600000005, 7.109661509810672%, 75
('aten::threshold_backward',), 268025.25600000075, 2.6787838345240766%, 78
('aten::max_pool2d_with_indices_backward',), 210480.6510000002, 2.1036531175961377%, 9
('aten::zero_',), 135002.55199999688, 1.349285732673964%, 238
('aten::fill_',), 134191.06000000017, 1.3411752594899113%, 56
('aten::cat',), 91010.00600000058, 0.9096013431388723%, 24
('aten::_cat',), 90601.34100000036, 0.9055169325423712%, 24
('aten::relu_',), 89405.28299999933, 0.8935629067040152%, 78
('aten::threshold_',), 88163.07499999924, 0.8811476337585555%, 78
('aten::zeros_like',), 76902.16399999813, 0.7686002313271322%, 116
('aten::dropout',), 25807.132999999914, 0.2579299120072939%, 3
('aten::div',), 20049.287000000593, 0.20038300386637878%, 159
('aten::mul',), 18185.110000000102, 0.18175144918821484%, 6
('aten::bernoulli_',), 14293.300000000396, 0.142854675538502%, 3
('aten::add',), 13251.994000000064, 0.13244732168975198%, 24
('aten::sqrt',), 8938.597000004025, 0.08933698825358505%, 156
('aten::mul_',), 7862.0469999986235, 0.07857738753494473%, 312
('aten::empty',), 6870.555999995395, 0.06866791070980272%, 798
('aten::add_',), 6665.005999997491, 0.06661353708323371%, 416
('aten::adaptive_avg_pool2d',), 4765.293999999762, 0.04762682712988026%, 3
('aten::mean',), 4745.707000000635, 0.04743106446278114%, 3
('aten::sum',), 4530.232000000775, 0.04527749522323269%, 3
('aten::to',), 3747.564000001061, 0.037455104089322094%, 636
('aten::addcdiv_',), 3437.4930000002496, 0.03435609321716426%, 156
('aten::addcdiv',), 2651.098000000464, 0.02649645250647698%, 155
('aten::div_',), 2604.19700000016, 0.026027699514692405%, 6
('aten::addcmul_',), 2429.172999998089, 0.02427841861162971%, 156
('aten::copy_',), 2112.039999999921, 0.021108826437863763%, 685
('aten::addcmul',), 1784.8810000014491, 0.017839029204594948%, 156
('aten::empty_strided',), 1136.7910000011325, 0.011361680609813447%, 792
('aten::resize_',), 767.2119999988208, 0.007667915829729574%, 60
('aten::empty_like',), 741.1700000012061, 0.0074076385347709%, 122
('aten::new_empty_strided',), 627.9539999990957, 0.006276098936073043%, 52
('aten::narrow',), 583.3749999996508, 0.005830553220195576%, 48
('aten::as_strided_',), 486.8229999973555, 0.004865562306066511%, 309
('aten::slice',), 420.0439999977825, 0.00419813824180393%, 48
('aten::log_softmax',), 326.8239999996731, 0.003266449069014671%, 3
('aten::_log_softmax',), 313.07700000028126, 0.003129054399866129%, 3
('aten::nll_loss_backward',), 160.70200000004843, 0.0016061393847743091%, 3
('aten::_log_softmax_backward_data',), 143.80800000031013, 0.0014372919605608666%, 3
('aten::flatten',), 91.95100000046659, 0.0009190061266822281%, 3
('aten::view',), 88.09799999929965, 0.0008804972403497131%, 6
('aten::as_strided',), 87.043999999878, 0.00086996301606736%, 51
('aten::nll_loss',), 79.31100000010338, 0.0007926753913825771%, 3
('aten::resize_as_',), 77.2019999998156, 0.0007715969482832365%, 12
('aten::nll_loss_forward',), 68.27900000021327, 0.0006824158445651861%, 3
('aten::zeros',), 61.14299999997206, 0.0006110949484336294%, 6
('aten::random_',), 48.13099999993574, 0.0004810462516237867%, 3
('aten::expand',), 34.500000000116415, 0.0003448109468138788%, 3
('aten::ones_like',), 33.34600000001956, 0.00033327727050503036%, 3
('aten::reshape',), 24.308000000193715, 0.00024294679696203701%, 3
('aten::conj',), 8.179999999585561, 8.175517521116255e-05%, 3
Total time: 10005482.806999959us
