kList(3),            Time(us),                Time%,   Calls (Top 129, sorted by time)
-------------------------------------------------------------
('aten::conv2d', 'aten::convolution', 'aten::_convolution'), 2805393.9090000037, 28.03856608535987%, 78
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 2803199.060000004, 28.01662962269898%, 78
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty'), 2120412.944, 21.192509995784842%, 75
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 1869629.2020000007, 18.68604682116874%, 78
('aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty'), 1807200.9919999996, 18.06210681543183%, 9
('aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices'), 1149117.3829999997, 11.484876893657376%, 3
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 935283.4249999997, 9.347709081521423%, 78
('aten::threshold_', 'aten::conv2d', 'aten::convolution'), 912019.0980000005, 9.115193295439383%, 48
('aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty'), 903579.2069999997, 9.03084063437543%, 9
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 845944.8759999956, 8.454813149128219%, 78
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 713136.3030000005, 7.1274551838825975%, 75
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 696064.5019999966, 6.956830723980868%, 75
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 695303.0799999982, 6.949220676423088%, 75
('aten::resize_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices'), 686192.4939999995, 6.858164740635313%, 6
('aten::relu_', 'aten::threshold_', 'aten::max_pool2d'), 616617.1899999997, 6.162792959562199%, 3
('aten::relu_', 'aten::threshold_', 'aten::conv2d'), 500783.94800000015, 5.005095282854772%, 48
('aten::empty', 'aten::conv2d', 'aten::convolution'), 453865.3240000002, 4.536166147649271%, 4
('aten::empty', 'aten::resize_', 'aten::max_pool2d'), 343205.297999999, 3.4301722827397034%, 6
('aten::resize_', 'aten::conv2d', 'aten::convolution'), 339866.09600000107, 3.3967985609072917%, 24
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 301397.60699999984, 3.0123244706306265%, 3
('aten::max_pool2d_with_indices_backward', 'aten::zeros_like', 'aten::empty_like'), 284816.64599999937, 2.8466057210226587%, 9
('aten::threshold_', 'aten::cat', 'aten::_cat'), 206666.49400000006, 2.065532448423315%, 24
('aten::zero_', 'aten::conv2d', 'aten::convolution'), 194858.13899999973, 1.9475136058769156%, 2
('aten::cat', 'aten::_cat', 'aten::empty'), 181706.35100000154, 1.81606779507809%, 24
('aten::as_strided_', 'aten::relu_', 'aten::threshold_'), 177734.26599999855, 1.7763687113194921%, 78
('aten::mul', 'aten::empty', 'aten::conv2d'), 162402.22699999972, 1.6231323378656064%, 3
('aten::empty', 'aten::zero_', 'aten::fill_'), 148089.17600000033, 1.480080260558694%, 9
('aten::zero_', 'aten::fill_', 'aten::resize_as_'), 148076.33400000038, 1.4799519109303187%, 9
('aten::relu_', 'aten::threshold_', 'aten::cat'), 141504.06599999918, 1.4142652456611207%, 24
('aten::empty', 'aten::resize_', 'aten::conv2d'), 116080.80600000086, 1.1601719601056062%, 15
('aten::resize_', 'aten::zero_', 'aten::fill_'), 116021.22199999925, 1.159576446614144%, 9
('aten::fill_', 'aten::zero_', 'aten::conv2d'), 97695.0140000002, 0.9764147906151173%, 2
('aten::_cat', 'aten::empty', 'aten::resize_'), 91208.48499999987, 0.9115850455131389%, 24
('aten::empty', 'aten::as_strided_', 'aten::relu_'), 91152.20099999783, 0.9110225139383242%, 78
('aten::zeros_like', 'aten::empty_like', 'aten::empty'), 74565.06299999868, 0.7452420281791104%, 12
('aten::empty_like', 'aten::empty', 'aten::zero_'), 74336.17800000007, 0.7429544324237264%, 12
('aten::fill_', 'aten::resize_as_', 'aten::resize_'), 74056.35099999944, 0.7401576958204226%, 9
('aten::resize_as_', 'aten::resize_', 'aten::zero_'), 58129.495999998995, 0.580976421840742%, 12
('aten::resize_', 'aten::resize_', 'aten::conv2d'), 54398.81300000059, 0.5436900352468998%, 9
('aten::resize_', 'aten::dropout', 'aten::empty_like'), 25932.285999999847, 0.2591807561935672%, 3
('aten::dropout', 'aten::empty_like', 'aten::empty'), 25926.103999999817, 0.25911897006970613%, 3
('aten::empty', 'aten::resize_', 'aten::dropout'), 25871.71699999983, 0.25857539809972646%, 3
('aten::div', 'aten::to', 'aten::empty_strided'), 21138.78800000483, 0.21127204361608495%, 159
('aten::bernoulli_', 'aten::empty', 'aten::div_'), 16762.804000000586, 0.1675361831442369%, 3
('aten::relu_', 'aten::threshold_', 'aten::adaptive_avg_pool2d'), 16541.373999999836, 0.1653230965369036%, 3
('aten::to', 'aten::div', 'aten::to'), 15449.0550000004, 0.15440589222932902%, 3
('aten::as_strided', 'aten::to', 'aten::div'), 15418.941000000574, 0.15410491724810416%, 3
('aten::threshold_', 'aten::adaptive_avg_pool2d', 'aten::mean'), 15361.201000000467, 0.15352783365190115%, 3
('aten::sqrt', 'aten::empty', 'aten::div'), 14433.836000004085, 0.14425926542901052%, 156
('aten::empty_like', 'aten::empty', 'aten::bernoulli_'), 14412.271000000299, 0.14404373360091424%, 3
('aten::empty', 'aten::bernoulli_', 'aten::empty'), 14350.817000000505, 0.143429530356701%, 3
('aten::adaptive_avg_pool2d', 'aten::mean', 'aten::sum'), 14041.233000001172, 0.1403353868158941%, 3
('aten::empty', 'aten::as_strided_', 'aten::add'), 13335.104999999283, 0.13327797625787613%, 24
