kList(5),            Time(us),                Time%,   Calls (Top 149, sorted by time)
-------------------------------------------------------------
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 3740511.4260000037, 37.38461699602438%, 78
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 2814847.135999997, 28.133046553542577%, 75
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 2804945.978000002, 28.034089229933283%, 78
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::relu_'), 1959200.393, 19.581267898729678%, 78
('aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty', 'aten::resize_'), 1807385.065, 18.063946536748144%, 9
('aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 1793138.625000003, 17.92156020442613%, 48
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 1408289.3499999982, 14.075176352456891%, 75
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 1382837.989000001, 13.820802210889319%, 48
('aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices'), 1177181.1579999994, 11.765360859712127%, 3
('aten::relu_', 'aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty'), 1177176.5589999994, 11.76531489491374%, 3
('aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty'), 1149125.7329999995, 11.484960347901023%, 3
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::relu_', 'aten::threshold_'), 1112851.7829999982, 11.122419621983992%, 78
('aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution'), 942104.7220000008, 9.415884672160875%, 48
('aten::empty', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 907473.7319999996, 9.06976454314748%, 4
('aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_'), 903813.2059999998, 9.033179342107118%, 9
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty', 'aten::as_strided_'), 846367.4009999962, 8.45903608377466%, 78
