kList(4),            Time(us),                Time%,   Calls (Top 142, sorted by calls)
-------------------------------------------------------------
('aten::mul_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 360909.51899990067, 0.18599684076144085%, 192
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::add_'), 431534.7809999287, 0.2223939844177096%, 96
('aten::empty_strided', 'aten::copy_', 'aten::add_', 'aten::mul_'), 608068.9339999706, 0.31337189720729625%, 96
('aten::copy_', 'aten::add_', 'aten::mul_', 'aten::to'), 608816.2959999591, 0.3137570546043309%, 96
('aten::add_', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 608631.5960000046, 0.3136618683743434%, 96
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 279643.9309999421, 0.1441161425950472%, 96
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 556226.9759999774, 0.2866548396090214%, 96
('aten::copy_', 'aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 2312111.0499999486, 1.1915600119977066%, 96
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt', 'aten::empty'), 2313468.4390000254, 1.1922595503928097%, 96
('aten::addcmul', 'aten::sqrt', 'aten::empty', 'aten::div'), 2767115.4389999583, 1.4260491967692916%, 96
('aten::sqrt', 'aten::empty', 'aten::div', 'aten::to'), 2490678.696999889, 1.2835858978657995%, 96
('aten::empty', 'aten::div', 'aten::to', 'aten::empty_strided'), 734832.566999916, 0.37870028014041324%, 96
('aten::div', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 733570.9629997946, 0.37805010510772136%, 96
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::empty'), 2312.17599979043, 0.0011915934842537754%, 96
('aten::empty_strided', 'aten::copy_', 'aten::empty', 'aten::add_'), 137315.9249998927, 0.07076656860419918%, 96
('aten::copy_', 'aten::empty', 'aten::add_', 'aten::to'), 138029.73299993575, 0.07113443375025061%, 96
('aten::empty', 'aten::add_', 'aten::to', 'aten::empty_strided'), 137802.9229999818, 0.07101754588439038%, 96
('aten::add_', 'aten::to', 'aten::empty_strided', 'aten::copy_'), 137236.62600003555, 0.0707257013987848%, 96
('aten::to', 'aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 405987.0299999751, 0.20922780086090348%, 96
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 808969.6009998843, 0.41690723612657943%, 95
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 989608.966999907, 0.5100007945515738%, 93
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_', 'aten::to'), 990241.8749999367, 0.5103269674073753%, 93
('aten::addcdiv', 'aten::mul_', 'aten::to', 'aten::empty_strided'), 585616.4159999415, 0.301800860159792%, 93
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 903002.1949999593, 0.4653674858342686%, 64
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 86307266.17699999, 44.47895663201716%, 39
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 64731394.52799995, 33.35970443133068%, 39
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 43154441.852999955, 22.23989511754468%, 39
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::relu_'), 22070115.17899997, 11.373963507280742%, 39
