kList(1),            Time(us),                Time%,   Calls (Top 60, sorted by time)
-------------------------------------------------------------
('aten::mkldnn_convolution_backward',), 42950207.605999984, 22.13464179858942%, 39
('aten::mkldnn_convolution_backward_weights',), 22222024.808999985, 11.452251027486742%, 39
('aten::conv2d',), 21577650.48000002, 11.120168931691978%, 39
('aten::convolution',), 21577154.507999983, 11.119913329608195%, 39
('aten::_convolution',), 21576627.545999985, 11.119641756645885%, 39
('aten::mkldnn_convolution',), 21575833.64299999, 11.119232614071095%, 39
('aten::mkldnn_convolution_backward_input',), 20726585.00399998, 10.681567339093965%, 36
('aten::threshold_backward',), 2624199.8749999627, 1.3523968213115913%, 45
('aten::max_pool2d',), 2531859.7269999874, 1.3048087835922424%, 15
('aten::max_pool2d_with_indices',), 2531672.990000001, 1.3047125475823225%, 15
('aten::sqrt',), 1755993.111999955, 0.9049613657625154%, 96
('aten::zero_',), 1664787.27699999, 0.8579579029111866%, 173
('aten::fill_',), 1663988.1529999636, 0.8575460696633591%, 105
('aten::max_pool2d_with_indices_backward',), 1546016.4440000001, 0.7967486564113488%, 15
('aten::zeros_like',), 1283339.1319999825, 0.6613763605874639%, 82
('aten::mm',), 1159120.943999989, 0.5973597876881609%, 18
('aten::add_',), 750587.3330000341, 0.3868195913491556%, 256
('aten::div',), 732074.272999946, 0.37727877712406915%, 96
('aten::addmm',), 543800.1809999924, 0.280250617805196%, 9
('aten::relu_',), 492584.0780000041, 0.25385609825772737%, 45
('aten::threshold_',), 491193.2159999947, 0.2531393093554736%, 45
('aten::addcdiv_',), 404772.7859999724, 0.20860203308248668%, 96
('aten::addcdiv',), 403856.76199994236, 0.2081299547329342%, 95
('aten::mul_',), 358345.2160000466, 0.18467531214659685%, 192
('aten::addcmul_',), 278427.2730000131, 0.14348913074758746%, 96
('aten::addcmul',), 277455.375, 0.14298825740391474%, 96
('aten::copy_',), 246378.66799985245, 0.1269726938928343%, 431
('aten::_adaptive_avg_pool2d_backward',), 28734.277999995276, 0.014808378965370446%, 3
('aten::adaptive_avg_pool2d',), 16418.977999998257, 0.008461616764760689%, 3
('aten::_adaptive_avg_pool2d',), 16396.099999995902, 0.008449826453063813%, 3
('aten::empty',), 10121.212999975343, 0.005216026576094705%, 531
('aten::dropout',), 3898.332000011578, 0.0020090282967615%, 6
('aten::to',), 3818.0609999261796, 0.0019676601653195315%, 390
('aten::mul',), 2235.3369999937713, 0.0011519940543217226%, 12
('aten::bernoulli_',), 1982.1469999980181, 0.001021511100471973%, 6
('aten::empty_strided',), 1840.9929998889565, 0.0009487665573136844%, 489
('aten::empty_like',), 1429.4199999887496, 0.0007366599940501968%, 91
('aten::resize_',), 1013.3080000225455, 0.0005222142304385697%, 60
('aten::new_empty_strided',), 931.5140000078827, 0.0004800612120362684%, 32
('aten::t',), 857.2930000331253, 0.0004418109836917407%, 45
('aten::sum',), 643.5670000072569, 0.00033166603405575707%, 9
('aten::div_',), 589.6910000089556, 0.0003039007209647765%, 6
('aten::as_strided_',), 583.0839999624877, 0.0003004957646783394%, 153
('aten::transpose',), 416.6710000000894, 0.0002147338475629075%, 45
('aten::log_softmax',), 350.51099999807775, 0.0001806379029082738%, 3
('aten::_log_softmax',), 333.7460000049323, 0.00017199796167665586%, 3
('aten::_log_softmax_backward_data',), 255.98200000450015, 0.000131921827455721%, 3
('aten::nll_loss_backward',), 245.5840000025928, 0.0001265631570722093%, 3
('aten::resize_as_',), 177.89999999664724, 9.168181006288678e-05%, 18
('aten::view',), 155.5939999911934, 8.018628192459948e-05%, 15
('aten::as_strided',), 127.2320000026375, 6.55697586193528e-05%, 54
('aten::nll_loss',), 87.17200000025332, 4.492460228766618e-05%, 3
('aten::zeros',), 77.11999998736383, 3.9744245031054384e-05%, 6
('aten::reshape',), 76.58900000341237, 3.947059106999226e-05%, 3
('aten::flatten',), 72.40999999642372, 3.731691886706502e-05%, 3
('aten::nll_loss_forward',), 70.47100000083447, 3.631764382878001e-05%, 3
('aten::expand',), 63.952999986708164, 3.295855423183631e-05%, 9
('aten::conj',), 54.04399999603629, 2.785189287672082e-05%, 24
('aten::ones_like',), 37.05299999192357, 1.9095481211825212e-05%, 3
('aten::random_',), 34.71899999305606, 1.7892640601443074e-05%, 3
Total time: 194040671.6169994us
