kList(3),            Time(us),                Time%,   Calls (Top 133, sorted by time)
-------------------------------------------------------------
('aten::conv2d', 'aten::convolution', 'aten::_convolution'), 64731432.533999994, 33.359724017946064%, 39
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 64729615.69699997, 33.35878770032518%, 39
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty'), 62777487.77599996, 32.35274710856041%, 36
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 43154240.01999997, 22.239791101722485%, 39
('aten::threshold_', 'aten::conv2d', 'aten::convolution'), 32191713.545999996, 16.590188684535438%, 24
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 22222783.591999963, 11.452642070763213%, 39
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 21577814.306999967, 11.120253360898793%, 39
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 21322993.011999995, 10.98892970958566%, 36
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 21321560.08299998, 10.988191241207831%, 36
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_'), 20728839.303999983, 10.682729105841739%, 36
('aten::relu_', 'aten::threshold_', 'aten::conv2d'), 16484164.814000007, 8.495211172293155%, 24
('aten::resize_', 'aten::conv2d', 'aten::convolution'), 8362787.138999996, 4.309811478856659%, 12
('aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices'), 5296299.160999991, 2.7294788854647503%, 15
('aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty'), 5063583.9039999945, 2.6095477106957135%, 15
('aten::resize_', 'aten::resize_', 'aten::conv2d'), 4182199.7300000135, 2.155321198977762%, 12
('aten::relu_', 'aten::threshold_', 'aten::max_pool2d'), 2997894.570000002, 1.544982577630578%, 15
('aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty'), 2531738.5960000027, 1.3047463580198224%, 15
('aten::sqrt', 'aten::empty', 'aten::div'), 2489660.0639999583, 1.2830609393653767%, 96
('aten::max_pool2d_with_indices_backward', 'aten::zeros_like', 'aten::empty_like'), 2378132.2419999875, 1.225584421133103%, 15
('aten::addcmul_', 'aten::addcmul', 'aten::sqrt'), 2311875.759999968, 1.1914387539140177%, 96
('aten::addcmul', 'aten::sqrt', 'aten::empty'), 2035041.1660000123, 1.0487704196452223%, 96
('aten::zero_', 'aten::conv2d', 'aten::convolution'), 1898004.9830000028, 0.9781480177239933%, 2
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 1802688.5409999862, 0.9290261294076337%, 3
('aten::empty', 'aten::zero_', 'aten::fill_'), 1662557.1599999983, 0.8568085990145305%, 15
('aten::zero_', 'aten::fill_', 'aten::resize_as_'), 1662431.6759999655, 0.8567439300979642%, 15
('aten::mm', 'aten::empty', 'aten::t'), 1159919.4919999894, 0.5977713240909912%, 18
('aten::conj', 'aten::mm', 'aten::empty'), 1159525.9089999665, 0.5975684887798458%, 18
('aten::as_strided', 'aten::conj', 'aten::mm'), 1159207.4889999833, 0.5974043891623122%, 18
('aten::zero_', 'aten::fill_', 'aten::zeros_like'), 1125748.1050000153, 0.5801608990624579%, 30
('aten::addcdiv_', 'aten::addcdiv', 'aten::mul_'), 989364.9739999287, 0.5098750513257103%, 93
('aten::as_strided_', 'aten::relu_', 'aten::threshold_'), 983515.0329999812, 0.5068602498662028%, 39
('aten::empty', 'aten::conv2d', 'aten::convolution'), 960633.6399999999, 0.49506818956806853%, 1
('aten::fill_', 'aten::zero_', 'aten::conv2d'), 952653.1999999955, 0.4909554229333723%, 2
('aten::empty_strided', 'aten::zero_', 'aten::fill_'), 900253.4349999949, 0.4639508962208344%, 30
('aten::zeros_like', 'aten::empty_like', 'aten::empty'), 832653.1620000135, 0.4291126984158856%, 18
('aten::empty_like', 'aten::empty', 'aten::zero_'), 832064.1770000197, 0.428809161536176%, 18
('aten::fill_', 'aten::resize_as_', 'aten::resize_'), 831263.3979999516, 0.4283964753743549%, 15
('aten::copy_', 'aten::addcdiv_', 'aten::addcdiv'), 808866.2869999073, 0.41685399264977846%, 95
('aten::empty', 'aten::div', 'aten::to'), 734685.5849999338, 0.37862453210328406%, 96
('aten::div', 'aten::to', 'aten::empty_strided'), 733239.8879998587, 0.37787948366162094%, 96
('aten::fill_', 'aten::zeros_like', 'aten::empty_like'), 676334.7550000139, 0.3485530890838052%, 30
('aten::add_', 'aten::mul_', 'aten::to'), 608522.5580000207, 0.31360567500051345%, 96
('aten::copy_', 'aten::add_', 'aten::mul_'), 607943.9659999944, 0.3133074942143903%, 96
('aten::addcdiv', 'aten::mul_', 'aten::to'), 585497.3989999555, 0.3017395240496898%, 93
('aten::copy_', 'aten::addcmul_', 'aten::addcmul'), 556117.9379999936, 0.28659864623519143%, 96
('aten::transpose', 'aten::as_strided', 'aten::addmm'), 543906.3259999771, 0.28030532025448157%, 9
('aten::addmm', 'aten::empty', 'aten::expand'), 543880.3019999769, 0.2802919086332048%, 9
('aten::as_strided', 'aten::addmm', 'aten::empty'), 543841.933999978, 0.28027213545901447%, 9
('aten::resize_', 'aten::zero_', 'aten::fill_'), 518346.82599999756, 0.26713308178149314%, 18
('aten::empty', 'aten::as_strided_', 'aten::relu_'), 494281.53599997994, 0.2547308932096467%, 39
('aten::zeros_like', 'aten::empty_like', 'aten::empty_strided'), 453012.81699997187, 0.23346281644197556%, 64
('aten::empty_like', 'aten::empty_strided', 'aten::zero_'), 451575.56999996305, 0.2327221227574857%, 64
('aten::empty_strided', 'aten::copy_', 'aten::add_'), 430605.8419999182, 0.22191525024704872%, 96
('aten::empty_strided', 'aten::copy_', 'aten::addcdiv_'), 405126.23999994993, 0.20878418767772286%, 96
('aten::mul_', 'aten::to', 'aten::empty_strided'), 360380.49099998176, 0.18572420307393422%, 192
('aten::empty_strided', 'aten::copy_', 'aten::addcmul_'), 278771.60099997744, 0.14366658220510664%, 96
('aten::resize_as_', 'aten::resize_', 'aten::zero_'), 258303.29499998875, 0.13311812046797694%, 18
('aten::zero_', 'aten::fill_', 'aten::zero_'), 248196.22899999097, 0.1279093846314265%, 30
('aten::zero_', 'aten::zero_', 'aten::fill_'), 248190.68699999526, 0.1279065285291725%, 30
('aten::new_empty_strided', 'aten::empty_strided', 'aten::copy_'), 245905.25800000504, 0.1267287192683897%, 32
('aten::fill_', 'aten::zero_', 'aten::zero_'), 244497.32699999958, 0.1260031337567169%, 28
