kList(5),            Time(us),                Time%,   Calls (Top 145, sorted by time)
-------------------------------------------------------------
('aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty'), 86309045.00799999, 44.47987336302266%, 39
('aten::mkldnn_convolution_backward', 'aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights'), 84098413.18799996, 43.340611268340055%, 36
('aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_'), 64731596.36099993, 33.35980844715287%, 39
('aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 64123721.647999994, 33.04653664287889%, 24
('aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 48416991.39999998, 24.95198094117414%, 24
('aten::_convolution', 'aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::relu_'), 43646742.72499996, 22.49360526392663%, 39
('aten::mkldnn_convolution_backward_input', 'aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty'), 42050212.686999954, 21.670824130107807%, 36
('aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::conv2d', 'aten::convolution'), 32450864.13999997, 16.72374346552047%, 24
('aten::mkldnn_convolution', 'aten::empty', 'aten::as_strided_', 'aten::relu_', 'aten::threshold_'), 22561127.506999973, 11.627009594942802%, 39
('aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty', 'aten::as_strided_'), 22223960.21699994, 11.453248451368975%, 39
('aten::empty', 'aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_'), 21323714.290999975, 10.989301424955416%, 36
('aten::as_strided_', 'aten::mkldnn_convolution_backward_weights', 'aten::empty', 'aten::as_strided_', 'aten::empty'), 21322708.576999985, 10.988783124337505%, 36
('aten::resize_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 16724784.681999985, 8.619216034776274%, 12
('aten::empty', 'aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::conv2d'), 16485402.533999994, 8.495849038566075%, 24
('aten::resize_', 'aten::resize_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution'), 12544603.043000009, 6.464934870850556%, 12
('aten::empty', 'aten::resize_', 'aten::resize_', 'aten::conv2d', 'aten::convolution'), 8363490.5610000035, 4.310173991516581%, 12
('aten::as_strided_', 'aten::relu_', 'aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices'), 5529651.271999998, 2.8497382666838593%, 15
('aten::relu_', 'aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty'), 5529618.747000009, 2.8497215047340485%, 15
('aten::threshold_', 'aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty'), 5296364.766999993, 2.72951269590225%, 15
('aten::max_pool2d', 'aten::max_pool2d_with_indices', 'aten::empty', 'aten::empty', 'aten::resize_'), 5064354.710000011, 2.609944950095883%, 15
('aten::empty', 'aten::empty', 'aten::resize_', 'aten::resize_', 'aten::conv2d'), 4182257.7570000114, 2.155351103533088%, 12
('aten::zero_', 'aten::conv2d', 'aten::convolution', 'aten::_convolution', 'aten::mkldnn_convolution'), 3795882.8040000014, 1.9562305017642778%, 2
